"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-1192300,-4705957800,60012507200,964600,-1192300,-4705957800,"2023-02-09T09:14:00.000Z",1675934040000,2156900,6015400,6015400,2893900,60012507200,15207252500,19913210300,24892044400
-1131900,653492300,97480045300,1646800,60400,5359450100,"2023-02-09T09:16:00.000Z",1675934160000,1586400,3253200,9268600,20000,37467538100,21223396600,15863946500,380195000
-621200,11917427200,134110833200,1336600,510700,11263934900,"2023-02-09T09:18:00.000Z",1675934280000,825900,2214500,11483100,52000,36630787900,23456924900,12192990000,980873000
-921000,4763044000,180144568000,1160600,-299800,-7154383200,"2023-02-09T09:20:00.000Z",1675934400000,1460400,2639700,14122800,18700,46033734800,19392280400,26546663600,94790800
-1393900,-723313100,233058972500,1287100,-472900,-5486357100,"2023-02-09T09:22:00.000Z",1675934520000,1760000,3050200,17173000,3100,52914404500,23703061200,29189418300,21925000
-2329300,-18128556600,272270788400,740100,-935400,-17405243500,"2023-02-09T09:24:00.000Z",1675934640000,1675500,2416400,19589400,800,39211815900,10898200200,28303443700,10172000
-2932500,-26657618500,300052972100,624600,-603200,-8529061900,"2023-02-09T09:26:00.000Z",1675934760000,1227800,1853900,21443300,1500,27782183700,9620324900,18149386800,12472000
-2648100,-22708972400,328526125600,1152300,284400,3948646100,"2023-02-09T09:28:00.000Z",1675934880000,867900,2034400,23477700,14200,28473153500,16099665800,12151019700,222468000
-3053200,-33220667400,376108329600,1197500,-405100,-10511695000,"2023-02-09T09:30:00.000Z",1675935000000,1602600,2805300,26283000,5200,47582204000,18472004500,28983699500,126500000
-3164300,-36056250200,399415623600,827100,-111100,-2835582800,"2023-02-09T09:32:00.000Z",1675935120000,938200,1767200,28050200,1900,23307294000,10227476600,13063059400,16758000
-3069700,-35074047900,431217681300,1019600,94600,982202300,"2023-02-09T09:34:00.000Z",1675935240000,925000,1951000,30001200,6400,31802057700,16350300000,15368097700,83660000
-2983900,-40805022500,466982625500,1167100,85800,-5730974600,"2023-02-09T09:36:00.000Z",1675935360000,1081300,2251500,32252700,3100,35764944200,15001441800,20732416400,31086000
-2590400,-37642205900,498535571500,1231400,393500,3162816600,"2023-02-09T09:38:00.000Z",1675935480000,837900,2079800,34332500,10500,31552946000,17310093800,14147277200,95575000.00000001
-2207000,-30531473500,533802405700,1244600,383400,7110732400,"2023-02-09T09:40:00.000Z",1675935600000,861200,2109200,36441700,3400,35266834200,21169632300,14058899900,38302000
-1430800,-13630389200,573884638400,1543100,776200,16901084300,"2023-02-09T09:42:00.000Z",1675935720000,766900,2323800,38765500,13800,40082232700,28432444500,11531360200,118428000
-398400,-944555900,614677489300,1810600,1032400,12685833300,"2023-02-09T09:44:00.000Z",1675935840000,778200,2594400,41359900,5600,40792850900,26663624600,13977791300,151435000
756800,17352181700,651878865400,1793900,1155200,18296737600,"2023-02-09T09:46:00.000Z",1675935960000,638700,2436000,43795900,3400,37201376100,27736344100,9439606500,25425500
1631400,28167269800,696870093300,1968200,874600,10815088100,"2023-02-09T09:48:00.000Z",1675936080000,1093600,3062100,46858000,300,44991227900,27891275500,17076187400,23765000
3227000,52005197400,740271114100,2240600,1595600,23837927600,"2023-02-09T09:50:00.000Z",1675936200000,645000,2901200,49759200,15600,43401020800,33510439200,9672511600,218070000
4633700,80447360200,799393883300,2689700,1406700,28442162800,"2023-02-09T09:52:00.000Z",1675936320000,1283000,3977200,53736400,4500,59122769200,43738581000,15296418200,87770000
6633100,102951386500,841569544000,2645500,1999400,22504026300,"2023-02-09T09:54:00.000Z",1675936440000,646100,3295700,57032100,4100,42175660700,32306459500,9802433200,66768000
8250000,121396059900,896183083200,2822400,1616900,18444673400,"2023-02-09T09:56:00.000Z",1675936560000,1205500,4028200,61060300,300,54613539200,36517811300,18073137900,22590000
9352500,145848318800,953878819100,2344100,1102500,24452258900,"2023-02-09T09:58:00.000Z",1675936680000,1241600,3588400,64648700,2700,57695735900,41042702400,16590443500,62590000
8867500,130341292300,1012348416400,1416700,-485000,-15507026500,"2023-02-09T10:00:00.000Z",1675936800000,1901700,3320200,67968900,1800,58469597300,21477608200,36984634700,7354400
8370800,124731893100,1050067638400,911200,-496700,-5609399200,"2023-02-09T10:02:00.000Z",1675936920000,1407900,2326200,70295100,7100,37719222000,15961116400,21570515600,187590000
9070100,127046309200,1078470348500,1518700,699300,2314416100,"2023-02-09T10:04:00.000Z",1675937040000,819400,2356600,72651700,18500,28402710100,15173665100,12859249000,369796000
8796600,114616727800,1116567187900,1124500,-273500,-12429581400,"2023-02-09T10:06:00.000Z",1675937160000,1398000,2533900,75185600,11400,38096839400,12763079000,25192660400,141100000
8221200,101562830200,1150548241100,688200,-575400,-13053897600,"2023-02-09T10:08:00.000Z",1675937280000,1263600,1952000,77137600,200,33981053200,10462112800,23516010400,2930000
8091100,105992401200,1174039743900,636100,-130100,4429571000,"2023-02-09T10:10:00.000Z",1675937400000,766200,1402300,78539900,0,23491502800,13960536900,9530965900,0
