"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","rbu","rsd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1497500,18839025000,41653300000,22814275000,113583307000,3472100,1974600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.9,0.8,0.7,3472100,1497500,18839025000,"2023-02-20T09:14:00.000Z",1676884440000,1974600,11151900,11151900,5705200,113583307000,41653300000,22814275000,49115732000
4080900,50188556000,91234034000,41045478000,181650161000,7704000,3623100,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.4,0.9,0.6,4231900,2583400,31349531000,"2023-02-20T09:16:00.000Z",1676884560000,1648500,5926000,17077900,45600,68066854000,49580734000,18231203000,254917000
6651000,86997982000,152732903000,65734921000,268302775000,12472600,5821600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.7,1.1,0.8,4768600,2570100,36809426000,"2023-02-20T09:18:00.000Z",1676884680000,2198500,6999700,24077600,32600,86652614000,61498869000,24689443000,464302000
8794100,117267201000,210231506000,92964305000,354053485000,16731700,7937600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.4,1.1,0.8,4259100,2143100,30269219000,"2023-02-20T09:20:00.000Z",1676884800000,2116000,6468100,30545700,93000,85750710000,57498603000,27229384000,1022723000
9209100,127165491000,251620818000,124455327000,427223559000,19626200,10417100,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.4,0.8,1,2894500,415000,9898290000,"2023-02-20T09:22:00.000Z",1676884920000,2479500,5397600,35943300,23600,73170074000,41389312000,31491022000,289740000
9427400,125509398000,279055248000,153545850000,484208358000,21946500,12519100,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.1,0.5,0.9,2320300,218300,-1656093000,"2023-02-20T09:24:00.000Z",1676885040000,2102000,4453900,40397200,31600,56984799000,27434430000,29090523000,459846000
8842100,117622972000,307531324000,189908352000,549247388000,23894900,15052800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.4,0.5,1.1,1948400,-585300,-7886426000,"2023-02-20T09:26:00.000Z",1676885160000,2533700,4507700,44904900,25600,65039030000,28476076000,36362502000,200452000
8366600,134754792000,358142242000,223387450000,633387299000,25909400,17542800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.8,0.9,1,2014500,-475500,17131820000,"2023-02-20T09:28:00.000Z",1676885280000,2490000,4510500,49415400,6000,84139911000,50610918000,33479098000,49895000
8523400,145066055000,393805733000,248739678000,694706397000,27979100,19455700,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.5,0.7,0.8,2069700,156800,10311263000,"2023-02-20T09:30:00.000Z",1676885400000,1912900,4010900,53426300,28300,61319098000,35663491000,25352228000,303379000
8908700,156658237000,427478687000,270820450000,750577771000,30103200,21194500,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.5,0.6,0.7,2124100,385300,11592182000,"2023-02-20T09:32:00.000Z",1676885520000,1738800,3869300,57295600,6400,55871374000,33672954000,22080772000,117648000
8604900,157820722000,452613558000,294792836000,799806450000,31497800,22892900,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.1,0.5,0.7,1394600,-303800,1162485000,"2023-02-20T09:34:00.000Z",1676885640000,1698400,3101100,60396700,8100,49228679000,25134871000,23972386000,121422000
9421000,173945193000,486769450000,312824257000,852984803000,33533200,24112200,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.7,0.6,0.6,2035400,816100,16124471000,"2023-02-20T09:36:00.000Z",1676885760000,1219300,3276600,63673300,21900,53178353000,34155892000,18031421000,991040000
11572500,215167678000,542315361000,327147683000,922931858000,36719200,25146700,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.9,1,0.4,3186000,2151500,41222485000,"2023-02-20T09:38:00.000Z",1676885880000,1034500,4228000,67901300,7500,69947055000,55545911000,14323426000,77718000
15873300,277367103000,624712192000,347345089000,1025710811000,42599200,26725900,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,2.8,1.5,0.6,5880000,4300800,62199425000,"2023-02-20T09:40:00.000Z",1676886000000,1579200,7474400,75375700,15200,102778953000,82396831000,20197406000,184716000
20964500,346072979000,730390555000,384317576000,1169439965000,50248300,29283800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,3.1,1.9,1.1,7649100,5091200,68705876000,"2023-02-20T09:42:00.000Z",1676886120000,2557900,10279800,85655500,72800,143729154000,105678363000,36972487000,1078304000
23816600,381926013000,806184594000,424258581000,1286355645000,55724300,31907700,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.6,1.4,1.2,5476000,2852100,35853034000,"2023-02-20T09:44:00.000Z",1676886240000,2623900,8135900,93791400,36000,116915680000,75794039000,39941005000,1180636000
25926000,410419673000,867785373000,457365700000,1381209855000,60253500,34327500,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.3,1.1,1,4529200,2109400,28493660000,"2023-02-20T09:46:00.000Z",1676886360000,2419800,6957100,100748500,8100,94854210000,61600779000,33107119000,146312000
27187600,428242124000,919817163000,491575039000,1467767304000,63961800,36774200,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.8,1,1.1,3708300,1261600,17822451000,"2023-02-20T09:48:00.000Z",1676886480000,2446700,6179700,106928200,24700,86557449000,52031790000,34209339000,316320000
28318900,453558738000,981602754000,528044016000,1566469859000,67629700,39310800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.1,1.1,1.1,3667900,1131300,25316614000,"2023-02-20T09:50:00.000Z",1676886600000,2536600,6219400,113147600,14900,98702555000,61785591000,36468977000,447987000
29409500,478014087000,1035208290000,557194203000,1649404239000,70802700,41393200,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.1,1,0.9,3173000,1090600,24455349000,"2023-02-20T09:52:00.000Z",1676886720000,2082400,5263100,118410700,7700,82934380000,53605536000,29150187000,178657000
28612500,474769030000,1073713862000,598944832000,1729839235000,72919700,44307200,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.1,0.7,1.3,2117000,-797000,-3245057000,"2023-02-20T09:54:00.000Z",1676886840000,2914000,5038100,123448800,7100,80434996000,38505572000,41750629000,178795000
28439200,473954208000,1109161350000,635207142000,1801582888000,75177700,46738500,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0,0.6,1.1,2258000,-173300,-814822000,"2023-02-20T09:56:00.000Z",1676886960000,2431300,4693700,128142500,4400,71743653000,35447488000,36262310000,33855000
27264200,456517524000,1129460608000,672943084000,1859734852000,76424100,49159900,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.8,0.4,1.2,1246400,-1175000,-17436684000,"2023-02-20T09:58:00.000Z",1676887080000,2421400,3683000,131825500,15200,58151964000,20299258000,37735942000,116764000
26357100,436550196000,1154867551000,718317355000,1930608280000,78164600,51807500,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.9,0.5,1.4,1740500,-907100,-19967328000,"2023-02-20T10:00:00.000Z",1676887200000,2647600,4394100,136219600,6000,70873428000,25406943000,45374271000,92214000
24835500,413925133000,1175666897000,761741764000,1994878587000,79383500,54548000,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-1,0.4,1.3,1218900,-1521600,-22625063000,"2023-02-20T10:02:00.000Z",1676887320000,2740500,3962900,140182500,3500,64270307000,20799346000,43424409000,46552000
23691700,398023897000,1189380101000,791356204000,2038354666000,80242200,56550500,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.7,0.3,0.9,858700,-1143800,-15901236000,"2023-02-20T10:04:00.000Z",1676887440000,2002500,2871100,143053600,9900,43476079000,13713204000,29614440000,148435000
22496100,384423660000,1213421225000,828997565000,2100451274000,81566200,59070100,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.6,0.4,1.2,1324000,-1195600,-13600237000,"2023-02-20T10:06:00.000Z",1676887560000,2519600,3872900,146926500,29300,62096608000,24041124000,37641361000,414123000
22199900,377310815000,1226238588000,848927773000,2133546855000,82392700,60192800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.3,0.2,0.6,826500,-296200,-7112845000,"2023-02-20T10:08:00.000Z",1676887680000,1122700,1961000,148887500,11800,33095581000,12817363000,19930208000,348010000
22471600,381366901000,1245762409000,864395508000,2168760093000,83670900,61199300,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.2,0.4,0.5,1278200,271700,4056086000,"2023-02-20T10:10:00.000Z",1676887800000,1006500,2302800,151190300,18100,35213238000,19523821000,15467735000,221682000
22775700,388585839000,1268707460000,880121621000,2207439444000,84982300,62206600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.3,0.4,0.5,1311400,304100,7218938000,"2023-02-20T10:12:00.000Z",1676887920000,1007300,2320400,153510700,1700,38679351000,22945051000,15726113000,8187000
23075200,398584504000,1296845656000,898261152000,2253732458000,86427900,63352700,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.5,0.5,0.6,1445600,299500,9998665000,"2023-02-20T10:14:00.000Z",1676888040000,1146100,2593300,156104000,1600,46293014000,28138196000,18139531000,15287000
22887100,395572801000,1310516187000,914943386000,2284346634000,87254400,64367300,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.1,0.3,0.5,826500,-188100,-3011703000,"2023-02-20T10:16:00.000Z",1676888160000,1014600,1854800,157958800,13700,30614176000,13670531000,16682234000,261411000
23039300,399204386000,1329714590000,930510204000,2319165175000,88295900,65256600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.2,0.4,0.5,1041500,152200,3631585000,"2023-02-20T10:18:00.000Z",1676888280000,889300,1941100,159899900,10300,34818541000,19198403000,15566818000,53320000
22954600,398365230000,1344984204000,946618974000,2350576124000,89161300,66206700,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0,0.3,0.5,865400,-84700,-839156000,"2023-02-20T10:20:00.000Z",1676888400000,950100,1817400,161717300,1900,31410949000,15269614000,16108770000,32565000
22839600,398545540000,1362587538000,964041998000,2385602482000,90121000,67281400,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0,0.3,0.5,959700,-115000,180310000,"2023-02-20T10:22:00.000Z",1676888520000,1074700,2034400,163751700,0,35026358000,17603334000,17423024000,0
22704700,398372496000,1385297110000,986924614000,2431215010000,91305100,68600400,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0,0.4,0.7,1184100,-134900,-173044000,"2023-02-20T10:24:00.000Z",1676888640000,1319000,2505300,166257000,2200,45612528000,22709572000,22882616000,20340000
23353500,428209536000,1441614022000,1013404486000,2514541179000,93794800,70441300,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.3,1,0.8,2489700,648800,29837040000,"2023-02-20T10:26:00.000Z",1676888760000,1840900,4358300,170615300,27700,83326169000,56316912000,26479872000,529385000
22966500,422354728000,1467016797000,1044662069000,2571294237000,94978800,72012300,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,-0.3,0.5,1,1184000,-387000,-5854808000,"2023-02-20T10:28:00.000Z",1676888880000,1571000,2758000,173373300,3000,56753058000,25402775000,31257583000,92700000
23307100,435581306000,1506940436000,1071359130000,2637960083000,96542900,73235800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.6,0.7,0.8,1564100,340600,13226578000,"2023-02-20T10:30:00.000Z",1676889000000,1223500,2789300,176162600,1700,66665846000,39923639000,26697061000,45146000
25063700,468070237000,1555101917000,1087031680000,2702016519000,99101300,74037600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.5,0.9,0.5,2558400,1756600,32488931000,"2023-02-20T10:32:00.000Z",1676889120000,801800,3364000,179526600,3800,64056436000,48161481000,15672550000,222405000
26350300,490206059000,1595994890000,1105788831000,2761863367000,101419600,75069300,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1,0.7,0.6,2318300,1286600,22135822000,"2023-02-20T10:34:00.000Z",1676889240000,1031700,3359300,182885900,9300,59846848000,40892973000,18757151000,196724000
27290000,509594702000,1640179730000,1130585028000,2831018081000,103879900,76589900,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.9,0.8,0.8,2460300,939700,19388643000,"2023-02-20T10:36:00.000Z",1676889360000,1520600,3999800,186885700,18900,69154714000,44184840000,24796197000,173677000
28992400,538281619000,1687102884000,1148821265000,2896324609000,106704200,77711800,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.3,0.9,0.6,2824300,1702400,28686917000,"2023-02-20T10:38:00.000Z",1676889480000,1121900,3952300,190838000,6100,65306528000,46923154000,18236237000,147137000
30514000,567111476000,1731346364000,1164234888000,2957975651000,109062000,78548000,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.3,0.8,0.5,2357800,1521600,28829857000,"2023-02-20T10:40:00.000Z",1676889600000,836200,3294500,194132500,100500,61651042000,44243480000,15413623000,1993939000
32490100,604987846000,1785176300000,1180188454000,3027936101000,111906400,79416300,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,1.7,1,0.5,2844400,1976100,37876370000,"2023-02-20T10:42:00.000Z",1676889720000,868300,3723500,197856000,10800,69960450000,53829936000,15953566000,176948000
33266600,618296624000,1821218037000,1202921413000,3086868519000,114113800,80847200,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.6,0.7,0.7,2207400,776500,13308778000,"2023-02-20T10:44:00.000Z",1676889840000,1430900,3644900,201500900,6600,58932418000,36041737000,22732959000,157722000
33982200,631582611000,1851345196000,1219762585000,3133860058000,115703800,81721600,54573600008.6,32441994672.4,89722533232.8,5168288.8,3090480.2,1908120.7,1182359.5,22131605336.2,0.6,0.6,0.5,1590000,715600,13285987000,"2023-02-20T10:46:00.000Z",1676889960000,874400,2465700,203966600,1300,46991539000,30127159000,16841172000,23208000
