┌─────────┬───────────────┬─────────┬──────────┬──────────┬──────────────┬──────────────┬──────────────┬──────────┬──────────────┬────────────────────────────┬────────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────┬───────────┬───────────────┬───────┬─────┬─────┐
│ (index) │   datetime    │   sd    │    bu    │    uk    │    val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │    acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd  │ avg_busd_val  │ rbusd │ rbu │ rsd │
├─────────┼───────────────┼─────────┼──────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼───────────┼───────────────┼───────┼─────┼─────┤
│    0    │ 1676884440000 │ 1974600 │ 3472100  │ 5705200  │ 22814275000  │ 41653300000  │ 49115732000  │ 11151900 │ 113583307000 │ '2023-02-20T09:14:00.000Z' │  113583307000  │ 11151900  │ 1497500  │ 18839025000  │  1497500  │  18839025000  │  41653300000  │  22814275000  │  3472100  │  1974600  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.9  │ 0.8 │ 0.7 │
│    1    │ 1676884560000 │ 1648500 │ 4231900  │  45600   │ 18231203000  │ 49580734000  │  254917000   │ 5926000  │ 68066854000  │ '2023-02-20T09:16:00.000Z' │  181650161000  │ 17077900  │ 2583400  │ 31349531000  │  4080900  │  50188556000  │  91234034000  │  41045478000  │  7704000  │  3623100  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.4  │ 0.9 │ 0.6 │
│    2    │ 1676884680000 │ 2198500 │ 4768600  │  32600   │ 24689443000  │ 61498869000  │  464302000   │ 6999700  │ 86652614000  │ '2023-02-20T09:18:00.000Z' │  268302775000  │ 24077600  │ 2570100  │ 36809426000  │  6651000  │  86997982000  │ 152732903000  │  65734921000  │ 12472600  │  5821600  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.7  │ 1.1 │ 0.8 │
│    3    │ 1676884800000 │ 2116000 │ 4259100  │  93000   │ 27229384000  │ 57498603000  │  1022723000  │ 6468100  │ 85750710000  │ '2023-02-20T09:20:00.000Z' │  354053485000  │ 30545700  │ 2143100  │ 30269219000  │  8794100  │ 117267201000  │ 210231506000  │  92964305000  │ 16731700  │  7937600  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.4  │ 1.1 │ 0.8 │
│    4    │ 1676884920000 │ 2479500 │ 2894500  │  23600   │ 31491022000  │ 41389312000  │  289740000   │ 5397600  │ 73170074000  │ '2023-02-20T09:22:00.000Z' │  427223559000  │ 35943300  │  415000  │  9898290000  │  9209100  │ 127165491000  │ 251620818000  │ 124455327000  │ 19626200  │ 10417100  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.4  │ 0.8 │  1  │
│    5    │ 1676885040000 │ 2102000 │ 2320300  │  31600   │ 29090523000  │ 27434430000  │  459846000   │ 4453900  │ 56984799000  │ '2023-02-20T09:24:00.000Z' │  484208358000  │ 40397200  │  218300  │ -1656093000  │  9427400  │ 125509398000  │ 279055248000  │ 153545850000  │ 21946500  │ 12519100  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.1  │ 0.5 │ 0.9 │
│    6    │ 1676885160000 │ 2533700 │ 1948400  │  25600   │ 36362502000  │ 28476076000  │  200452000   │ 4507700  │ 65039030000  │ '2023-02-20T09:26:00.000Z' │  549247388000  │ 44904900  │ -585300  │ -7886426000  │  8842100  │ 117622972000  │ 307531324000  │ 189908352000  │ 23894900  │ 15052800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.4  │ 0.5 │ 1.1 │
│    7    │ 1676885280000 │ 2490000 │ 2014500  │   6000   │ 33479098000  │ 50610918000  │   49895000   │ 4510500  │ 84139911000  │ '2023-02-20T09:28:00.000Z' │  633387299000  │ 49415400  │ -475500  │ 17131820000  │  8366600  │ 134754792000  │ 358142242000  │ 223387450000  │ 25909400  │ 17542800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.8  │ 0.9 │  1  │
│    8    │ 1676885400000 │ 1912900 │ 2069700  │  28300   │ 25352228000  │ 35663491000  │  303379000   │ 4010900  │ 61319098000  │ '2023-02-20T09:30:00.000Z' │  694706397000  │ 53426300  │  156800  │ 10311263000  │  8523400  │ 145066055000  │ 393805733000  │ 248739678000  │ 27979100  │ 19455700  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.5  │ 0.7 │ 0.8 │
