┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬───────────────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬────────┬───────┬─────┬───────┬────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬──────┬──────┬───────────────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ bu  │ val_bu │ total_vol │ sum_vol │        val        │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd   │  auk  │ rbu │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │ val_uk  │ ruk  │  sd  │      val_sd       │ rsd │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼───────────────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼────────┼───────┼─────┼───────┼────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼──────┼──────┼───────────────────┼─────┤
│    0    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │ 200 │ 620000 │    200    │   200   │      620000       │  620000  │ 1671614760000 │ '2022-12-21T09:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 14.3 │ 1242.9 │ 492.9 │ 14  │  200  │       620000       │  44285.7   │ 3085492.9  │    200    │    620000     │   620000    │      0      │  0.2  │      │         │      │      │                   │     │
│    1    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │        │    300    │   100   │      310000       │  930000  │ 1671615480000 │ '2022-12-21T09:38:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 14.3 │ 1242.9 │ 492.9 │     │   0   │         0          │  44285.7   │ 3085492.9  │    200    │    620000     │   620000    │      0      │   0   │ 100  │ 310000  │ 0.2  │      │                   │     │
│    2    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │        │    600    │   300   │      930000       │ 1860000  │ 1671615600000 │ '2022-12-21T09:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -300  │      -930000       │  44285.7   │ 3085492.9  │   -100    │    -310000    │   620000    │   930000    │  0.3  │      │         │      │ 300  │      930000       │ 0.2 │
│    3    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │        │   1300    │   700   │      2170000      │ 4030000  │ 1671615720000 │ '2022-12-21T09:42:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 14.3 │ 1242.9 │ 492.9 │     │   0   │         0          │  44285.7   │ 3085492.9  │   -100    │    -310000    │   620000    │   930000    │   0   │ 700  │ 2170000 │ 1.4  │      │                   │     │
│    4    │  3  │  3  │  3  │  3  │     │        │   7300    │  6000   │       18000       │ 4048000  │ 1671617880000 │ '2022-12-21T10:18:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 14.3 │ 1242.9 │ 492.9 │     │   0   │         0          │  44285.7   │ 3085492.9  │   -100    │    -310000    │   620000    │   930000    │   0   │ 6000 │  18000  │ 12.2 │      │                   │     │
│    5    │  3  │  3  │  3  │  3  │     │        │   7800    │   500   │       1500        │ 4049500  │ 1671618840000 │ '2022-12-21T10:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -500  │       -1500        │  44285.7   │ 3085492.9  │   -600    │    -311500    │   620000    │   931500    │   0   │      │         │      │ 500  │       1500        │ 0.4 │
│    6    │  3  │  3  │  3  │  3  │     │        │   7900    │   100   │        300        │ 4049800  │ 1671629160000 │ '2022-12-21T13:26:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 14.3 │ 1242.9 │ 492.9 │     │   0   │         0          │  44285.7   │ 3085492.9  │   -600    │    -311500    │   620000    │   931500    │   0   │ 100  │   300   │ 0.2  │      │                   │     │
│    7    │  3  │  3  │  3  │  3  │     │        │   8100    │   200   │        600        │ 4050400  │ 1671629280000 │ '2022-12-21T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -200  │        -600        │  44285.7   │ 3085492.9  │   -800    │    -312100    │   620000    │   932100    │   0   │      │         │      │ 200  │        600        │ 0.2 │
│    8    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   17900   │  9800   │     28420000      │ 32470400 │ 1671630960000 │ '2022-12-21T13:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -9800 │     -28420000      │  44285.7   │ 3085492.9  │  -10600   │   -28732100   │   620000    │  29352100   │  9.3  │      │         │      │ 9800 │     28420000      │ 7.9 │
│    9    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   19600   │  1700   │      4930000      │ 37400400 │ 1671632160000 │ '2022-12-21T14:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -1700 │      -4930000      │  44285.7   │ 3085492.9  │  -12300   │   -33662100   │   620000    │  34282100   │  1.6  │      │         │      │ 1700 │      4930000      │ 1.4 │
│   10    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │     │        │   22600   │  3000   │ 8100000.000000001 │ 45500400 │ 1671632280000 │ '2022-12-21T14:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -3000 │ -8100000.000000001 │  44285.7   │ 3085492.9  │  -15300   │   -41762100   │   620000    │  42382100   │  2.7  │      │         │      │ 3000 │ 8100000.000000001 │ 2.4 │
│   11    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │     │        │   22700   │   100   │      270000       │ 45770400 │ 1671632400000 │ '2022-12-21T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -100  │      -270000       │  44285.7   │ 3085492.9  │  -15400   │   -42032100   │   620000    │  42652100   │  0.1  │      │         │      │ 100  │      270000       │ 0.1 │
│   12    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │     │        │   22900   │   200   │      540000       │ 46310400 │ 1671632760000 │ '2022-12-21T14:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -200  │      -540000       │  44285.7   │ 3085492.9  │  -15600   │   -42572100   │   620000    │  43192100   │  0.2  │      │         │      │ 200  │      540000       │ 0.2 │
│   13    │  3  │  3  │  3  │  3  │     │        │   24500   │  1600   │       4800        │ 46315200 │ 1671634680000 │ '2022-12-21T14:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 14.3 │ 1242.9 │ 492.9 │     │ -1600 │       -4800        │  44285.7   │ 3085492.9  │  -17200   │   -42576900   │   620000    │  43196900   │   0   │      │         │      │ 1600 │       4800        │ 1.3 │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴───────────────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴────────┴───────┴─────┴───────┴────────────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴──────┴──────┴───────────────────┴─────┘

