┌─────────┬─────┬─────┬─────┬─────┬────────┬────────────┬───────────┬─────────┬────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬─────────┬─────┬──────┬─────────┬─────────────┬───────────┬───────────────┐
│ (index) │  c  │  h  │  l  │  o  │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │   asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
├─────────┼─────┼─────┼─────┼─────┼────────┼────────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼─────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│    0    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  300   │  2190000   │    300    │   300   │  2190000   │  2190000   │ 1672365600000 │ '2022-12-30T02:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -300   │  -2190000   │   -300    │   -2190000    │
│    1    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  1600  │  11680000  │   1900    │  1600   │  11680000  │  13870000  │ 1672390800000 │ '2022-12-30T09:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 0.1  │  -1600  │  -11680000  │   -1900   │   -13870000   │
│    2    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  100   │   730000   │   2000    │   100   │   730000   │  14600000  │ 1672391100000 │ '2022-12-30T09:05:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -100   │   -730000   │   -2000   │   -14600000   │
│    3    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  600   │  4380000   │   2600    │   600   │  4380000   │  18980000  │ 1672391400000 │ '2022-12-30T09:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -600   │  -4380000   │   -2600   │   -18980000   │
│    4    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │ 194200 │ 1417660000 │  196800   │ 194200  │ 1417660000 │ 1436640000 │ 1672391700000 │ '2022-12-30T09:15:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 15.2 │ -194200 │ -1417660000 │  -196800  │  -1436640000  │
│    5    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  800   │  5840000   │  197600   │   800   │  5840000   │ 1442480000 │ 1672392000000 │ '2022-12-30T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 0.1  │  -800   │  -5840000   │  -197600  │  -1442480000  │
│    6    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  1400  │  10220000  │  199000   │  1400   │  10220000  │ 1452700000 │ 1672392300000 │ '2022-12-30T09:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 0.1  │  -1400  │  -10220000  │  -199000  │  -1452700000  │
│    7    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  500   │  3650000   │  199500   │   500   │  3650000   │ 1456350000 │ 1672394100000 │ '2022-12-30T09:55:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -500   │  -3650000   │  -199500  │  -1456350000  │
│    8    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  7700  │  56210000  │  207200   │  7700   │  56210000  │ 1512560000 │ 1672394400000 │ '2022-12-30T10:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 0.6  │  -7700  │  -56210000  │  -207200  │  -1512560000  │
