┌─────────┬─────┬─────┬─────┬─────┬──────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │ val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼─────┼─────┼─────┼─────┼──────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼──────────┼─────┤
│    0    │ 5.1 │ 5.1 │ 5.1 │ 5.1 │ 1000 │ 5100000 │   1000    │  1000   │ 5100000  │ 5100000  │ 1672391700000 │ '2022-12-30T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 70  │ 680 │ 100 │ 10  │   0   │     0     │   383000   │  3663000   │     0     │       0       │      0      │      0      │  -0   │     │         │     │      │          │     │
│    1    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │      │         │   1500    │   500   │ 2750000  │ 7850000  │ 1672393800000 │ '2022-12-30T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 70  │ 680 │ 100 │     │  500  │  2750000  │   383000   │  3663000   │    500    │    2750000    │   2750000   │      0      │ -0.8  │ 500 │ 2750000 │ 7.1 │      │          │     │
│    2    │ 5.4 │ 5.4 │ 5.4 │ 5.4 │      │         │   2500    │  1000   │ 5400000  │ 13250000 │ 1672394100000 │ '2022-12-30T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -1000 │ -5400000  │   383000   │  3663000   │   -500    │   -2650000    │   2750000   │   5400000   │  1.6  │     │         │     │ 1000 │ 5400000  │ 1.5 │
│    3    │ 5.3 │ 5.3 │ 5.3 │ 5.3 │      │         │   2900    │   400   │ 2120000  │ 15370000 │ 1672396800000 │ '2022-12-30T10:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -400  │ -2120000  │   383000   │  3663000   │   -900    │   -4770000    │   2750000   │   7520000   │  0.6  │     │         │     │ 400  │ 2120000  │ 0.6 │
│    4    │ 5.4 │ 5.4 │ 5.4 │ 5.4 │      │         │   3000    │   100   │  540000  │ 15910000 │ 1672399500000 │ '2022-12-30T11:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -100  │  -540000  │   383000   │  3663000   │   -1000   │   -5310000    │   2750000   │   8060000   │  0.2  │     │         │     │ 100  │  540000  │ 0.1 │
│    5    │ 5.4 │ 5.4 │ 5.4 │ 5.4 │      │         │   3100    │   100   │  540000  │ 16450000 │ 1672407000000 │ '2022-12-30T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -100  │  -540000  │   383000   │  3663000   │   -1100   │   -5850000    │   2750000   │   8600000   │  0.2  │     │         │     │ 100  │  540000  │ 0.1 │
│    6    │ 5.3 │ 5.4 │ 5.3 │ 5.4 │      │         │   3600    │   500   │ 2670000  │ 19120000 │ 1672407900000 │ '2022-12-30T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -500  │ -2670000  │   383000   │  3663000   │   -1600   │   -8520000    │   2750000   │  11270000   │  0.8  │     │         │     │ 500  │ 2670000  │ 0.7 │
│    7    │ 5.3 │ 5.3 │ 5.3 │ 5.3 │      │         │   3800    │   200   │ 1060000  │ 20180000 │ 1672409700000 │ '2022-12-30T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -200  │ -1060000  │   383000   │  3663000   │   -1800   │   -9580000    │   2750000   │  12330000   │  0.3  │     │         │     │ 200  │ 1060000  │ 0.3 │
│    8    │ 5.4 │ 5.4 │ 5.4 │ 5.4 │      │         │   4000    │   200   │ 1080000  │ 21260000 │ 1672410000000 │ '2022-12-30T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 70  │ 680 │ 100 │     │  200  │  1080000  │   383000   │  3663000   │   -1600   │   -8500000    │   3830000   │  12330000   │ -0.3  │ 200 │ 1080000 │ 2.9 │      │          │     │
│    9    │ 5.4 │ 5.4 │ 5.4 │ 5.4 │      │         │   8500    │  4500   │ 24300000 │ 45560000 │ 1672411500000 │ '2022-12-30T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 70  │ 680 │ 100 │     │ -4500 │ -24300000 │   383000   │  3663000   │   -6100   │   -32800000   │   3830000   │  36630000   │  7.4  │     │         │     │ 4500 │ 24300000 │ 6.6 │
└─────────┴─────┴─────┴─────┴─────┴──────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴──────┴──────────┴─────┘

