┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 14000 │ 14000 │ 14000 │ 14000 │ 200 │ 2800000 │    200    │   200   │ 2800000  │  2800000  │ 1676366280000 │ '2023-02-14T09:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 600 │ 18.2 │  0  │ 11  │ -200  │ -2800000  │ 8968636.4  │  254545.5  │   -200    │   -2800000    │      0      │   2800000   │ -0.3  │      │          │     │
│    1    │ 15000 │ 15000 │ 15000 │ 15000 │     │         │    300    │   100   │ 1500000  │  4300000  │ 1676366400000 │ '2023-02-14T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  100  │  1500000  │ 8968636.4  │  254545.5  │   -100    │   -1300000    │   1500000   │   2800000   │  0.2  │ 100  │ 1500000  │ 0.2 │
│    2    │ 15000 │ 15000 │ 15000 │ 15000 │     │         │    800    │   500   │ 7500000  │ 11800000  │ 1676366640000 │ '2023-02-14T09:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  500  │  7500000  │ 8968636.4  │  254545.5  │    400    │    6200000    │   9000000   │   2800000   │  0.9  │ 500  │ 7500000  │ 0.8 │
│    3    │ 14850 │ 14850 │ 14850 │ 14850 │     │         │   1200    │   400   │ 5940000  │ 17740000  │ 1676369760000 │ '2023-02-14T10:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  400  │  5940000  │ 8968636.4  │  254545.5  │    800    │   12140000    │  14940000   │   2800000   │  0.7  │ 400  │ 5940000  │ 0.7 │
│    4    │ 14900 │ 14900 │ 14900 │ 14900 │     │         │   1300    │   100   │ 1490000  │ 19230000  │ 1676370360000 │ '2023-02-14T10:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  100  │  1490000  │ 8968636.4  │  254545.5  │    900    │   13630000    │  16430000   │   2800000   │  0.2  │ 100  │ 1490000  │ 0.2 │
│    5    │ 14950 │ 14950 │ 14950 │ 14950 │     │         │   1400    │   100   │ 1495000  │ 20725000  │ 1676370480000 │ '2023-02-14T10:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  100  │  1495000  │ 8968636.4  │  254545.5  │   1000    │   15125000    │  17925000   │   2800000   │  0.2  │ 100  │ 1495000  │ 0.2 │
│    6    │ 14950 │ 14950 │ 14950 │ 14950 │     │         │   1700    │   300   │ 4485000  │ 25210000  │ 1676371320000 │ '2023-02-14T10:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  300  │  4485000  │ 8968636.4  │  254545.5  │   1300    │   19610000    │  22410000   │   2800000   │  0.5  │ 300  │ 4485000  │ 0.5 │
│    7    │ 14950 │ 14950 │ 14950 │ 14950 │     │         │   2100    │   400   │ 5980000  │ 31190000  │ 1676373840000 │ '2023-02-14T11:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  400  │  5980000  │ 8968636.4  │  254545.5  │   1700    │   25590000    │  28390000   │   2800000   │  0.7  │ 400  │ 5980000  │ 0.7 │
│    8    │ 14950 │ 14950 │ 14950 │ 14950 │     │         │   5500    │  3400   │ 50830000 │ 82020000  │ 1676383200000 │ '2023-02-14T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │ 3400  │ 50830000  │ 8968636.4  │  254545.5  │   5100    │   76420000    │  79220000   │   2800000   │  5.8  │ 3400 │ 50830000 │ 5.7 │
│    9    │ 14950 │ 14950 │ 14950 │ 14950 │     │         │   5600    │   100   │ 1495000  │ 83515000  │ 1676383440000 │ '2023-02-14T14:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │  100  │  1495000  │ 8968636.4  │  254545.5  │   5200    │   77915000    │  80715000   │   2800000   │  0.2  │ 100  │ 1495000  │ 0.2 │
│   10    │ 14950 │ 14950 │ 14950 │ 14950 │     │         │   6800    │  1200   │ 17940000 │ 101455000 │ 1676384280000 │ '2023-02-14T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 18.2 │  0  │     │ 1200  │ 17940000  │ 8968636.4  │  254545.5  │   6400    │   95855000    │  98655000   │   2800000   │  2.1  │ 1200 │ 17940000 │  2  │
