┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ uk  │ val_uk  │ ruk │ sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼─────┼─────────┼─────┤
│    0    │ 3900 │ 3900 │ 3900 │ 3900 │ 100 │ 390000 │    100    │   100   │ 390000  │  390000  │ 1679648400000 │ '2023-03-24T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10  │ 130 │ 100 │ 10  │  100  │  390000   │   39000    │   390000   │    100    │    390000     │   390000    │      0      │ -1.1  │     │         │     │     │         │     │
│    1    │ 3400 │ 3400 │ 3400 │ 3400 │     │        │    300    │   200   │ 680000  │ 1070000  │ 1679649000000 │ '2023-03-24T09:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 10  │ 130 │ 100 │     │   0   │     0     │   39000    │   390000   │    100    │    390000     │   390000    │      0      │  -0   │ 200 │ 680000  │  2  │     │         │     │
│    2    │ 3400 │ 3400 │ 3400 │ 3400 │     │        │    500    │   200   │ 680000  │ 1750000  │ 1679649300000 │ '2023-03-24T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 10  │ 130 │ 100 │     │   0   │     0     │   39000    │   390000   │    100    │    390000     │   390000    │      0      │  -0   │ 200 │ 680000  │  2  │     │         │     │
│    3    │ 3200 │ 3200 │ 3200 │ 3200 │     │        │   1000    │   500   │ 1600000 │ 3350000  │ 1679652000000 │ '2023-03-24T10:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 10  │ 130 │ 100 │     │   0   │     0     │   39000    │   390000   │    100    │    390000     │   390000    │      0      │  -0   │ 500 │ 1600000 │  5  │     │         │     │
│    4    │ 3000 │ 3000 │ 3000 │ 3000 │     │        │   1300    │   300   │ 900000  │ 4250000  │ 1679654100000 │ '2023-03-24T10:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 130 │ 100 │     │ -300  │  -900000  │   39000    │   390000   │   -200    │    -510000    │   390000    │   900000    │  2.6  │     │         │     │ 300 │ 900000  │ 2.3 │
│    5    │ 3000 │ 3000 │ 3000 │ 3000 │     │        │   1400    │   100   │ 300000  │ 4550000  │ 1679657100000 │ '2023-03-24T11:25:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 10  │ 130 │ 100 │     │   0   │     0     │   39000    │   390000   │   -200    │    -510000    │   390000    │   900000    │  -0   │ 100 │ 300000  │  1  │     │         │     │
│    6    │ 3000 │ 3000 │ 3000 │ 3000 │     │        │   1600    │   200   │ 600000  │ 5150000  │ 1679663100000 │ '2023-03-24T13:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 130 │ 100 │     │ -200  │  -600000  │   39000    │   390000   │   -400    │   -1110000    │   390000    │   1500000   │  1.7  │     │         │     │ 200 │ 600000  │ 1.5 │
│    7    │ 3000 │ 3000 │ 3000 │ 3000 │     │        │   2100    │   500   │ 1500000 │ 6650000  │ 1679664000000 │ '2023-03-24T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 130 │ 100 │     │ -500  │ -1500000  │   39000    │   390000   │   -900    │   -2610000    │   390000    │   3000000   │  4.3  │     │         │     │ 500 │ 1500000 │ 3.8 │
│    8    │ 3000 │ 3000 │ 3000 │ 3000 │     │        │   2300    │   200   │ 600000  │ 7250000  │ 1679665800000 │ '2023-03-24T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 130 │ 100 │     │ -200  │  -600000  │   39000    │   390000   │   -1100   │   -3210000    │   390000    │   3600000   │  1.7  │     │         │     │ 200 │ 600000  │ 1.5 │
│    9    │ 3000 │ 3000 │ 3000 │ 3000 │     │        │   2400    │   100   │ 300000  │ 7550000  │ 1679667900000 │ '2023-03-24T14:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 130 │ 100 │     │ -100  │  -300000  │   39000    │   390000   │   -1200   │   -3510000    │   390000    │   3900000   │  0.9  │     │         │     │ 100 │ 300000  │ 0.8 │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴─────┴─────────┴─────┘

