┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  bu  │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 36000 │ 36000 │ 35900 │ 35900 │ 2000 │ 71930000 │   2000    │  2000   │ 71930000 │ 71930000  │ 1679649600000 │ '2023-03-24T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 222.2 │ 722.2 │  0  │  9  │ 2000  │ 71930000  │ 7992222.2  │ 26023888.9 │   2000    │   71930000    │  71930000   │      0      │  -4   │      │          │     │
│    1    │ 36000 │ 36000 │ 36000 │ 36000 │      │          │   2100    │   100   │ 3600000  │ 75530000  │ 1679650200000 │ '2023-03-24T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -100  │ -3600000  │ 7992222.2  │ 26023888.9 │   1900    │   68330000    │  71930000   │   3600000   │  0.2  │ 100  │ 3600000  │ 0.1 │
│    2    │ 36050 │ 36050 │ 36050 │ 36050 │      │          │   2700    │   600   │ 21630000 │ 97160000  │ 1679650500000 │ '2023-03-24T09:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -600  │ -21630000 │ 7992222.2  │ 26023888.9 │   1300    │   46700000    │  71930000   │  25230000   │  1.2  │ 600  │ 21630000 │ 0.8 │
│    3    │ 36050 │ 36050 │ 36050 │ 36050 │      │          │   3500    │   800   │ 28840000 │ 126000000 │ 1679651100000 │ '2023-03-24T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -800  │ -28840000 │ 7992222.2  │ 26023888.9 │    500    │   17860000    │  71930000   │  54070000   │  1.6  │ 800  │ 28840000 │ 1.1 │
│    4    │ 36100 │ 36150 │ 36100 │ 36150 │      │          │   4500    │  1000   │ 36145000 │ 162145000 │ 1679652600000 │ '2023-03-24T10:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -1000 │ -36145000 │ 7992222.2  │ 26023888.9 │   -500    │   -18285000   │  71930000   │  90215000   │   2   │ 1000 │ 36145000 │ 1.4 │
│    5    │ 36100 │ 36100 │ 36100 │ 36100 │      │          │   4900    │   400   │ 14440000 │ 176585000 │ 1679652900000 │ '2023-03-24T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -400  │ -14440000 │ 7992222.2  │ 26023888.9 │   -900    │   -32725000   │  71930000   │  104655000  │  0.8  │ 400  │ 14440000 │ 0.6 │
│    6    │ 36000 │ 36000 │ 36000 │ 36000 │      │          │   5000    │   100   │ 3600000  │ 180185000 │ 1679655000000 │ '2023-03-24T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -100  │ -3600000  │ 7992222.2  │ 26023888.9 │   -1000   │   -36325000   │  71930000   │  108255000  │  0.2  │ 100  │ 3600000  │ 0.1 │
│    7    │ 36000 │ 36000 │ 36000 │ 36000 │      │          │   7000    │  2000   │ 72000000 │ 252185000 │ 1679655600000 │ '2023-03-24T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -2000 │ -72000000 │ 7992222.2  │ 26023888.9 │   -3000   │  -108325000   │  71930000   │  180255000  │   4   │ 2000 │ 72000000 │ 2.8 │
│    8    │ 35950 │ 36000 │ 35950 │ 36000 │      │          │   8500    │  1500   │ 53960000 │ 306145000 │ 1679655900000 │ '2023-03-24T11:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 222.2 │ 722.2 │  0  │     │ -1500 │ -53960000 │ 7992222.2  │ 26023888.9 │   -4500   │  -162285000   │  71930000   │  234215000  │   3   │ 1500 │ 53960000 │ 2.1 │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

