┌─────────┬───────┬───────┬───────┬───────┬──────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 25200 │ 25200 │ 25200 │ 25200 │ 5000 │ 126000000 │   5000    │  5000   │ 126000000 │ 126000000 │ 1679651100000 │ '2023-03-24T09:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 50  │ 1080 │ 500 │ 10  │   0   │     0     │  1260000   │  27228000  │     0     │       0       │      0      │      0      │  -0   │      │          │     │     │         │     │
│    1    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   5900    │   900   │ 22680000  │ 148680000 │ 1679652900000 │ '2023-03-24T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -900  │ -22680000 │  1260000   │  27228000  │   -900    │   -22680000   │      0      │  22680000   │  0.9  │ 900  │ 22680000 │ 0.8 │     │         │     │
│    2    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   6800    │   900   │ 22680000  │ 171360000 │ 1679654700000 │ '2023-03-24T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -900  │ -22680000 │  1260000   │  27228000  │   -1800   │   -45360000   │      0      │  45360000   │  0.9  │ 900  │ 22680000 │ 0.8 │     │         │     │
│    3    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   7700    │   900   │ 22680000  │ 194040000 │ 1679656200000 │ '2023-03-24T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -900  │ -22680000 │  1260000   │  27228000  │   -2700   │   -68040000   │      0      │  68040000   │  0.9  │ 900  │ 22680000 │ 0.8 │     │         │     │
│    4    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   8000    │   300   │  7560000  │ 201600000 │ 1679662800000 │ '2023-03-24T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 50  │ 1080 │ 500 │     │  300  │  7560000  │  1260000   │  27228000  │   -2400   │   -60480000   │   7560000   │  68040000   │ -0.3  │      │          │     │ 300 │ 7560000 │  6  │
│    5    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   11500   │  3500   │ 88200000  │ 289800000 │ 1679663100000 │ '2023-03-24T13:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -3500 │ -88200000 │  1260000   │  27228000  │   -5900   │  -148680000   │   7560000   │  156240000  │  3.4  │ 3500 │ 88200000 │ 3.2 │     │         │     │
│    6    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   11700   │   200   │  5040000  │ 294840000 │ 1679665500000 │ '2023-03-24T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 50  │ 1080 │ 500 │     │  200  │  5040000  │  1260000   │  27228000  │   -5700   │  -143640000   │  12600000   │  156240000  │ -0.2  │      │          │     │ 200 │ 5040000 │  4  │
│    7    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   13700   │  2000   │ 50400000  │ 345240000 │ 1679666400000 │ '2023-03-24T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -2000 │ -50400000 │  1260000   │  27228000  │   -7700   │  -194040000   │  12600000   │  206640000  │  1.9  │ 2000 │ 50400000 │ 1.9 │     │         │     │
│    8    │ 25200 │ 25200 │ 25200 │ 25200 │      │           │   15700   │  2000   │ 50400000  │ 395640000 │ 1679667300000 │ '2023-03-24T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -2000 │ -50400000 │  1260000   │  27228000  │   -9700   │  -244440000   │  12600000   │  257040000  │  1.9  │ 2000 │ 50400000 │ 1.9 │     │         │     │
│    9    │ 25400 │ 25400 │ 25400 │ 25400 │      │           │   16300   │   600   │ 15240000  │ 410880000 │ 1679667600000 │ '2023-03-24T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 50  │ 1080 │ 500 │     │ -600  │ -15240000 │  1260000   │  27228000  │  -10300   │  -259680000   │  12600000   │  272280000  │  0.6  │ 600  │ 15240000 │ 0.6 │     │         │     │
└─────────┴───────┴───────┴───────┴───────┴──────┴───────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘
