┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼─────────┼─────┤
│    0    │ 600 │ 600 │ 600 │ 600 │ 700 │ 420000 │    700    │   700   │ 420000  │  420000  │ 1679649000000 │ '2023-03-24T09:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 2222.2 │ 77.8 │  0  │  9  │ -700  │  -420000  │ 1333333.3  │  46666.7   │   -700    │    -420000    │      0      │   420000    │ -0.3  │       │         │     │
│    1    │ 600 │ 600 │ 600 │ 600 │     │        │    800    │   100   │  60000  │  480000  │ 1679649300000 │ '2023-03-24T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │  100  │   60000   │ 1333333.3  │  46666.7   │   -600    │    -360000    │    60000    │   420000    │   0   │  100  │  60000  │  0  │
│    2    │ 600 │ 600 │ 600 │ 600 │     │        │   3400    │  2600   │ 1560000 │ 2040000  │ 1679653800000 │ '2023-03-24T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │ 2600  │  1560000  │ 1333333.3  │  46666.7   │   2000    │    1200000    │   1620000   │   420000    │  1.2  │ 2600  │ 1560000 │ 1.2 │
│    3    │ 600 │ 600 │ 600 │ 600 │     │        │   13400   │  10000  │ 6000000 │ 8040000  │ 1679662800000 │ '2023-03-24T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │ 10000 │  6000000  │ 1333333.3  │  46666.7   │   12000   │    7200000    │   7620000   │   420000    │  4.7  │ 10000 │ 6000000 │ 4.5 │
│    4    │ 600 │ 600 │ 600 │ 600 │     │        │   15400   │  2000   │ 1200000 │ 9240000  │ 1679665500000 │ '2023-03-24T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │ 2000  │  1200000  │ 1333333.3  │  46666.7   │   14000   │    8400000    │   8820000   │   420000    │  0.9  │ 2000  │ 1200000 │ 0.9 │
│    5    │ 600 │ 600 │ 600 │ 600 │     │        │   18400   │  3000   │ 1800000 │ 11040000 │ 1679666100000 │ '2023-03-24T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │ 3000  │  1800000  │ 1333333.3  │  46666.7   │   17000   │   10200000    │  10620000   │   420000    │  1.4  │ 3000  │ 1800000 │ 1.4 │
│    6    │ 600 │ 600 │ 600 │ 600 │     │        │   18700   │   300   │ 180000  │ 11220000 │ 1679667000000 │ '2023-03-24T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │  300  │  180000   │ 1333333.3  │  46666.7   │   17300   │   10380000    │  10800000   │   420000    │  0.1  │  300  │ 180000  │ 0.1 │
│    7    │ 600 │ 600 │ 600 │ 600 │     │        │   19700   │  1000   │ 600000  │ 11820000 │ 1679667300000 │ '2023-03-24T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │ 1000  │  600000   │ 1333333.3  │  46666.7   │   18300   │   10980000    │  11400000   │   420000    │  0.5  │ 1000  │ 600000  │ 0.5 │
│    8    │ 600 │ 600 │ 600 │ 600 │     │        │   20700   │  1000   │ 600000  │ 12420000 │ 1679667600000 │ '2023-03-24T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2222.2 │ 77.8 │  0  │     │ 1000  │  600000   │ 1333333.3  │  46666.7   │   19300   │   11580000    │  12000000   │   420000    │  0.5  │ 1000  │ 600000  │ 0.5 │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴─────────┴─────┘

