┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┬─────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu   │ rbu │ sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┼─────┼──────────┼─────┤
│    0    │ 34250 │ 34250 │ 34250 │ 34250 │ 100 │ 3425000 │    100    │   100   │  3425000  │  3425000  │ 1678871700000 │ '2023-03-15T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 593.3 │ 126.7 │ 6.7 │ 14.9 │   0   │     0     │ 20453333.3 │ 4350333.3  │     0     │       0       │      0      │      0      │   0   │      │           │     │     │          │     │
│    1    │ 34500 │ 34500 │ 34500 │ 34500 │     │         │    200    │   100   │  3450000  │  6875000  │ 1678872000000 │ '2023-03-15T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │  100  │  3450000  │ 20453333.3 │ 4350333.3  │    100    │    3450000    │   3450000   │      0      │  0.2  │ 100  │  3450000  │ 0.2 │     │          │     │
│    2    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │    300    │   100   │  3435000  │ 10310000  │ 1678874100000 │ '2023-03-15T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 593.3 │ 126.7 │ 6.7 │      │ -100  │ -3435000  │ 20453333.3 │ 4350333.3  │     0     │     15000     │   3450000   │   3435000   │ -0.2  │      │           │     │ 100 │ 3435000  │ 0.8 │
│    3    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │    700    │   400   │ 13740000  │ 24050000  │ 1678874400000 │ '2023-03-15T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 593.3 │ 126.7 │ 6.7 │      │ -400  │ -13740000 │ 20453333.3 │ 4350333.3  │   -400    │   -13725000   │   3450000   │  17175000   │ -0.9  │      │           │     │ 400 │ 13740000 │ 3.2 │
│    4    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │    800    │   100   │  3435000  │ 27485000  │ 1678877100000 │ '2023-03-15T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │  100  │  3435000  │ 20453333.3 │ 4350333.3  │   -300    │   -10290000   │   6885000   │  17175000   │  0.2  │ 100  │  3435000  │ 0.2 │     │          │     │
│    5    │ 34300 │ 34300 │ 34300 │ 34300 │     │         │   1000    │   200   │  6860000  │ 34345000  │ 1678885200000 │ '2023-03-15T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 593.3 │ 126.7 │ 6.7 │      │ -200  │ -6860000  │ 20453333.3 │ 4350333.3  │   -500    │   -17150000   │   6885000   │  24035000   │ -0.4  │      │           │     │ 200 │ 6860000  │ 1.6 │
│    6    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │   1200    │   200   │  6870000  │ 41215000  │ 1678886400000 │ '2023-03-15T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │  200  │  6870000  │ 20453333.3 │ 4350333.3  │   -300    │   -10280000   │  13755000   │  24035000   │  0.4  │ 200  │  6870000  │ 0.3 │     │          │     │
│    7    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │   1300    │   100   │  3435000  │ 44650000  │ 1678887000000 │ '2023-03-15T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │  100  │  3435000  │ 20453333.3 │ 4350333.3  │   -200    │   -6845000    │  17190000   │  24035000   │  0.2  │ 100  │  3435000  │ 0.2 │     │          │     │
│    8    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │   2900    │  1600   │ 54960000  │ 99610000  │ 1678887900000 │ '2023-03-15T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │ 1600  │ 54960000  │ 20453333.3 │ 4350333.3  │   1400    │   48115000    │  72150000   │  24035000   │  3.4  │ 1600 │ 54960000  │ 2.7 │     │          │     │
│    9    │ 34500 │ 34500 │ 34500 │ 34500 │     │         │   4900    │  2000   │ 69000000  │ 168610000 │ 1678888200000 │ '2023-03-15T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │ 2000  │ 69000000  │ 20453333.3 │ 4350333.3  │   3400    │   117115000   │  141150000  │  24035000   │  4.3  │ 2000 │ 69000000  │ 3.4 │     │          │     │
│   10    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │   5800    │   900   │ 30915000  │ 199525000 │ 1678888500000 │ '2023-03-15T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 593.3 │ 126.7 │ 6.7 │      │ -900  │ -30915000 │ 20453333.3 │ 4350333.3  │   2500    │   86200000    │  141150000  │  54950000   │ -1.9  │      │           │     │ 900 │ 30915000 │ 7.1 │
│   11    │ 34350 │ 34350 │ 34350 │ 34350 │     │         │   6100    │   300   │ 10305000  │ 209830000 │ 1678889100000 │ '2023-03-15T14:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 593.3 │ 126.7 │ 6.7 │      │ -300  │ -10305000 │ 20453333.3 │ 4350333.3  │   2200    │   75895000    │  141150000  │  65255000   │ -0.6  │      │           │     │ 300 │ 10305000 │ 2.4 │
│   12    │ 34450 │ 34450 │ 34450 │ 34450 │     │         │   9100    │  3000   │ 103350000 │ 313180000 │ 1678890000000 │ '2023-03-15T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │ 3000  │ 103350000 │ 20453333.3 │ 4350333.3  │   5200    │   179245000   │  244500000  │  65255000   │  6.4  │ 3000 │ 103350000 │ 5.1 │     │          │     │
│   13    │ 34500 │ 34500 │ 34500 │ 34500 │     │         │   10400   │  1300   │ 44850000  │ 358030000 │ 1678890300000 │ '2023-03-15T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │ 1300  │ 44850000  │ 20453333.3 │ 4350333.3  │   6500    │   224095000   │  289350000  │  65255000   │  2.8  │ 1300 │ 44850000  │ 2.2 │     │          │     │
│   14    │ 34900 │ 34900 │ 34900 │ 34900 │     │         │   10900   │   500   │ 17450000  │ 375480000 │ 1678891500000 │ '2023-03-15T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 593.3 │ 126.7 │ 6.7 │      │  500  │ 17450000  │ 20453333.3 │ 4350333.3  │   7000    │   241545000   │  306800000  │  65255000   │  1.1  │ 500  │ 17450000  │ 0.8 │     │          │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴─────┴──────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴───────────┴─────┴─────┴──────────┴─────┘

