┌─────────┬───────────────┬──────────┬──────────┬──────────┬──────────────┬──────────────┬────────────────────┬──────────┬──────────────┬────────────────────────────┬────────────────┬───────────┬───────────┬───────────────┬────────────┬────────────────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │    val_sd    │    val_bu    │       val_uk       │ sum_vol  │     val      │            date            │    acum_val    │ total_vol │   bu-sd   │   bu-sd_val   │ acum_busd  │ acum_busd_val  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼──────────────┼──────────────┼────────────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼───────────┼───────────────┼────────────┼────────────────┤
│    0    │ 1671527640000 │ 4208600  │ 3538000  │ 2215600  │ 79641391000  │ 57781616000  │    35294560000     │ 9962200  │ 172717567000 │ '2022-12-20T09:14:00.000Z' │  172717567000  │  9962200  │  -670600  │ -21859775000  │  -670600   │  -21859775000  │
│    1    │ 1671527760000 │ 2073700  │ 2956100  │  32600   │ 38283752000  │ 51184613000  │     547685000      │ 5062400  │ 90016050000  │ '2022-12-20T09:16:00.000Z' │  262733617000  │ 15024600  │  882400   │  12900861000  │   211800   │  -8958914000   │
│    2    │ 1671527880000 │ 4192100  │ 2243600  │  59100   │ 74671615000  │ 37978760000  │     1154183000     │ 6494800  │ 113804558000 │ '2022-12-20T09:18:00.000Z' │  376538175000  │ 21519400  │ -1948500  │ -36692855000  │  -1736700  │  -45651769000  │
│    3    │ 1671528000000 │ 4680400  │ 2207800  │  22800   │ 74909887000  │ 37056605000  │     309217000      │ 6911000  │ 112275709000 │ '2022-12-20T09:20:00.000Z' │  488813884000  │ 28430400  │ -2472600  │ -37853282000  │  -4209300  │  -83505051000  │
│    4    │ 1671528120000 │ 2860500  │ 3384800  │  15300   │ 48253850000  │ 59100870000  │     305085000      │ 6260600  │ 107659805000 │ '2022-12-20T09:22:00.000Z' │  596473689000  │ 34691000  │  524300   │  10847020000  │  -3685000  │  -72658031000  │
│    5    │ 1671528240000 │ 2539600  │ 3585300  │  62700   │ 39689712000  │ 60381593000  │     1125645000     │ 6187600  │ 101196950000 │ '2022-12-20T09:24:00.000Z' │  697670639000  │ 40878600  │  1045700  │  20691881000  │  -2639300  │  -51966150000  │
│    6    │ 1671528360000 │ 1229100  │ 3735300  │  37200   │ 19139168000  │ 60019057000  │     612460000      │ 5001600  │ 79770685000  │ '2022-12-20T09:26:00.000Z' │  777441324000  │ 45880200  │  2506200  │  40879889000  │  -133100   │  -11086261000  │
│    7    │ 1671528480000 │ 1892500  │ 3876200  │  18400   │ 31832818000  │ 62809968000  │     204863000      │ 5787100  │ 94847649000  │ '2022-12-20T09:28:00.000Z' │  872288973000  │ 51667300  │  1983700  │  30977150000  │  1850600   │  19890889000   │
│    8    │ 1671528600000 │ 1894800  │ 2866200  │   3500   │ 33317348000  │ 44263537000  │      76928000      │ 4764500  │ 77657813000  │ '2022-12-20T09:30:00.000Z' │  949946786000  │ 56431800  │  971400   │  10946189000  │  2822000   │  30837078000   │
│    9    │ 1671528720000 │ 3719200  │ 1720300  │  23300   │ 58739520000  │ 25689023000  │     445860000      │ 5462800  │ 84874403000  │ '2022-12-20T09:32:00.000Z' │ 1034821189000  │ 61894600  │ -1998900  │ -33050497000  │   823100   │  -2213419000   │
│   10    │ 1671528840000 │ 4066900  │ 1614100  │   9500   │ 68026640000  │ 27552665000  │      75148000      │ 5690500  │ 95654453000  │ '2022-12-20T09:34:00.000Z' │ 1130475642000  │ 67585100  │ -2452800  │ -40473975000  │  -1629700  │  -42687394000  │
│   11    │ 1671528960000 │ 4654100  │ 1232500  │  108300  │ 76110710000  │ 19987901000  │     1562920000     │ 5994900  │ 97661531000  │ '2022-12-20T09:36:00.000Z' │ 1228137173000  │ 73580000  │ -3421600  │ -56122809000  │  -5051300  │  -98810203000  │
│   12    │ 1671529080000 │ 4868100  │ 1012300  │  14500   │ 82877695000  │ 17684774000  │     367825000      │ 5894900  │ 100930294000 │ '2022-12-20T09:38:00.000Z' │ 1329067467000  │ 79474900  │ -3855800  │ -65192921000  │  -8907100  │ -164003124000  │
│   13    │ 1671529200000 │ 4420300  │ 1959500  │  71900   │ 71310882000  │ 37924688000  │     1395487000     │ 6451700  │ 110631057000 │ '2022-12-20T09:40:00.000Z' │ 1439698524000  │ 85926600  │ -2460800  │ -33386194000  │ -11367900  │ -197389318000  │
│   14    │ 1671529320000 │ 2791000  │ 2683100  │   9400   │ 50629376000  │ 44878216000  │     199975000      │ 5483500  │ 95707567000  │ '2022-12-20T09:42:00.000Z' │ 1535406091000  │ 91410100  │  -107900  │  -5751160000  │ -11475800  │ -203140478000  │
