"c","h","l","o","t","v","av","r","date","updown"
10.55,10.55,10.55,10.55,1674008100,1800,12568.702290076335,"0.14","2023-01-18T09:15:00.000Z","-"
10.5,10.55,10.5,10.55,1674008400,1100,12568.702290076335,"0.09","2023-01-18T09:20:00.000Z","down"
10.3,10.35,10.3,10.35,1674009000,1400,12568.702290076335,"0.11","2023-01-18T09:30:00.000Z","down"
10.5,10.5,10.35,10.35,1674009300,300,12568.702290076335,"0.02","2023-01-18T09:35:00.000Z","up"
10.35,10.5,10.35,10.35,1674009600,4000,12568.702290076335,"0.32","2023-01-18T09:40:00.000Z","-"
10.35,10.4,10.35,10.4,1674009900,400,12568.702290076335,"0.03","2023-01-18T09:45:00.000Z","down"
10.35,10.35,10.35,10.35,1674010200,2800,12568.702290076335,"0.22","2023-01-18T09:50:00.000Z","-"
10.35,10.35,10.35,10.35,1674010500,100,12568.702290076335,"0.01","2023-01-18T09:55:00.000Z","-"
10.35,10.35,10.35,10.35,1674010800,300,12568.702290076335,"0.02","2023-01-18T10:00:00.000Z","-"
10.35,10.35,10.35,10.35,1674011100,1300,12568.702290076335,"0.10","2023-01-18T10:05:00.000Z","-"
10.35,10.35,10.35,10.35,1674011400,2200,12568.702290076335,"0.18","2023-01-18T10:10:00.000Z","-"
10.35,10.35,10.35,10.35,1674011700,1100,12568.702290076335,"0.09","2023-01-18T10:15:00.000Z","-"
10.35,10.35,10.35,10.35,1674012000,4400,12568.702290076335,"0.35","2023-01-18T10:20:00.000Z","-"
10.35,10.35,10.3,10.35,1674012300,3700,12568.702290076335,"0.29","2023-01-18T10:25:00.000Z","-"
10.35,10.35,10.35,10.35,1674012600,1200,12568.702290076335,"0.10","2023-01-18T10:30:00.000Z","-"
10.35,10.35,10.35,10.35,1674012900,1500,12568.702290076335,"0.12","2023-01-18T10:35:00.000Z","-"
10.35,10.35,10.35,10.35,1674013200,1900,12568.702290076335,"0.15","2023-01-18T10:40:00.000Z","-"
10.35,10.35,10.35,10.35,1674013500,1500,12568.702290076335,"0.12","2023-01-18T10:45:00.000Z","-"
10.4,10.5,10.4,10.4,1674014100,4600,12568.702290076335,"0.37","2023-01-18T10:55:00.000Z","-"
10.4,10.4,10.4,10.4,1674014400,2400,12568.702290076335,"0.19","2023-01-18T11:00:00.000Z","-"
10.4,10.5,10.4,10.5,1674014700,4500,12568.702290076335,"0.36","2023-01-18T11:05:00.000Z","down"
10.5,10.5,10.5,10.5,1674015000,2500,12568.702290076335,"0.20","2023-01-18T11:10:00.000Z","-"
10.4,10.4,10.4,10.4,1674015300,2600,12568.702290076335,"0.21","2023-01-18T11:15:00.000Z","-"
10.6,10.6,10.5,10.5,1674015600,10200,12568.702290076335,"0.81","2023-01-18T11:20:00.000Z","up"
10.6,10.6,10.45,10.45,1674015900,11200,12568.702290076335,"0.89","2023-01-18T11:25:00.000Z","up"
10.6,10.65,10.5,10.5,1674021600,3700,12568.702290076335,"0.29","2023-01-18T13:00:00.000Z","up"
10.6,10.65,10.6,10.6,1674021900,17600,12568.702290076335,"1.40","2023-01-18T13:05:00.000Z","-"
10.7,10.7,10.6,10.65,1674022200,43300,12568.702290076335,"3.45","2023-01-18T13:10:00.000Z","up"
10.7,10.8,10.7,10.75,1674022500,10700,12568.702290076335,"0.85","2023-01-18T13:15:00.000Z","down"
10.8,10.8,10.7,10.7,1674022800,12800,12568.702290076335,"1.02","2023-01-18T13:20:00.000Z","up"
11,11.05,10.8,10.8,1674023100,61000,12568.702290076335,"4.85","2023-01-18T13:25:00.000Z","up"
11.05,11.1,11,11,1674023400,41400,12568.702290076335,"3.29","2023-01-18T13:30:00.000Z","up"
11.1,11.1,11.05,11.05,1674023700,7300,12568.702290076335,"0.58","2023-01-18T13:35:00.000Z","up"
