"c","h","l","o","t","v","av","r","date","updown"
28,28,28,28,1674009300,2900,994.2307692307693,"2.92","2023-01-18T09:35:00.000Z","-"
28,28,28,28,1674014700,5100,994.2307692307693,"5.13","2023-01-18T11:05:00.000Z","-"
28,28,28,28,1674015000,4900,994.2307692307693,"4.93","2023-01-18T11:10:00.000Z","-"
28.1,28.1,28.1,28.1,1674100500,100,994.2307692307693,"0.10","2023-01-19T10:55:00.000Z","-"
28.1,28.1,28.1,28.1,1674108300,100,994.2307692307693,"0.10","2023-01-19T13:05:00.000Z","-"
28,28,28,28,1674108600,500,994.2307692307693,"0.50","2023-01-19T13:10:00.000Z","-"
28.2,28.2,28.2,28.2,1674789300,100,994.2307692307693,"0.10","2023-01-27T10:15:00.000Z","-"
28.2,28.2,28.2,28.2,1674792300,500,994.2307692307693,"0.50","2023-01-27T11:05:00.000Z","-"
28.3,28.3,28.3,28.3,1674792600,200,994.2307692307693,"0.20","2023-01-27T11:10:00.000Z","-"
28.2,28.3,28.2,28.3,1674799500,1500,994.2307692307693,"1.51","2023-01-27T13:05:00.000Z","down"
28.5,28.5,28.3,28.3,1674800400,700,994.2307692307693,"0.70","2023-01-27T13:20:00.000Z","up"
28.6,28.6,28.6,28.6,1674800700,100,994.2307692307693,"0.10","2023-01-27T13:25:00.000Z","-"
28.3,28.3,28.3,28.3,1674803700,400,994.2307692307693,"0.40","2023-01-27T14:15:00.000Z","-"
28.3,28.3,28.3,28.3,1675044600,100,994.2307692307693,"0.10","2023-01-30T09:10:00.000Z","-"
28.3,28.3,28.3,28.3,1675045200,100,994.2307692307693,"0.10","2023-01-30T09:20:00.000Z","-"
28.3,28.3,28.3,28.3,1675045800,800,994.2307692307693,"0.80","2023-01-30T09:30:00.000Z","-"
28.5,28.5,28.5,28.5,1675046400,100,994.2307692307693,"0.10","2023-01-30T09:40:00.000Z","-"
28.5,28.5,28.5,28.5,1675046700,100,994.2307692307693,"0.10","2023-01-30T09:45:00.000Z","-"
28.6,28.6,28.6,28.6,1675047000,100,994.2307692307693,"0.10","2023-01-30T09:50:00.000Z","-"
28.3,28.3,28.3,28.3,1675048200,1700,994.2307692307693,"1.71","2023-01-30T10:10:00.000Z","-"
28.4,28.4,28.4,28.4,1675048800,100,994.2307692307693,"0.10","2023-01-30T10:20:00.000Z","-"
28.4,28.4,28.4,28.4,1675062000,500,994.2307692307693,"0.50","2023-01-30T14:00:00.000Z","-"
28.4,28.4,28.4,28.4,1675062300,1200,994.2307692307693,"1.21","2023-01-30T14:05:00.000Z","-"
28.4,28.4,28.4,28.4,1675063200,2500,994.2307692307693,"2.51","2023-01-30T14:20:00.000Z","-"
28.4,28.4,28.4,28.4,1675063500,100,994.2307692307693,"0.10","2023-01-30T14:25:00.000Z","-"
28.4,28.4,28.4,28.4,1675064100,2200,994.2307692307693,"2.21","2023-01-30T14:35:00.000Z","-"
28.4,28.4,28.4,28.4,1675064400,3200,994.2307692307693,"3.22","2023-01-30T14:40:00.000Z","-"
28.4,28.4,28.4,28.4,1675064700,800,994.2307692307693,"0.80","2023-01-30T14:45:00.000Z","-"
28.4,28.4,28.4,28.4,1675136700,200,994.2307692307693,"0.20","2023-01-31T10:45:00.000Z","-"
