"c","h","l","o","t","v","av","r","date","updown"
48.7,48.7,48.5,48.5,1674008100,29300,4941.538461538462,"5.93","2023-01-18T09:15:00.000Z","up"
48.7,48.7,48.7,48.7,1674008400,2000,4941.538461538462,"0.40","2023-01-18T09:20:00.000Z","-"
48.7,48.7,48.6,48.6,1674008700,6200,4941.538461538462,"1.25","2023-01-18T09:25:00.000Z","up"
48.65,48.65,48.6,48.6,1674009000,6200,4941.538461538462,"1.25","2023-01-18T09:30:00.000Z","up"
48.6,48.65,48.6,48.65,1674009300,5400,4941.538461538462,"1.09","2023-01-18T09:35:00.000Z","down"
48.55,48.6,48.55,48.6,1674009600,6100,4941.538461538462,"1.23","2023-01-18T09:40:00.000Z","down"
48.6,48.6,48.6,48.6,1674009900,3000,4941.538461538462,"0.61","2023-01-18T09:45:00.000Z","-"
48.65,48.65,48.6,48.6,1674010200,5300,4941.538461538462,"1.07","2023-01-18T09:50:00.000Z","up"
48.7,48.7,48.65,48.65,1674010500,6200,4941.538461538462,"1.25","2023-01-18T09:55:00.000Z","up"
48.65,48.7,48.65,48.7,1674010800,1800,4941.538461538462,"0.36","2023-01-18T10:00:00.000Z","down"
48.65,48.65,48.65,48.65,1674011100,2800,4941.538461538462,"0.57","2023-01-18T10:05:00.000Z","-"
48.65,48.65,48.65,48.65,1674011400,1000,4941.538461538462,"0.20","2023-01-18T10:10:00.000Z","-"
48.65,48.7,48.65,48.7,1674012000,1100,4941.538461538462,"0.22","2023-01-18T10:20:00.000Z","down"
48.65,48.65,48.65,48.65,1674012300,1400,4941.538461538462,"0.28","2023-01-18T10:25:00.000Z","-"
48.6,48.6,48.6,48.6,1674012600,1400,4941.538461538462,"0.28","2023-01-18T10:30:00.000Z","-"
48.65,48.65,48.65,48.65,1674012900,2200,4941.538461538462,"0.45","2023-01-18T10:35:00.000Z","-"
48.8,48.8,48.65,48.65,1674013200,10100,4941.538461538462,"2.04","2023-01-18T10:40:00.000Z","up"
48.7,48.8,48.7,48.8,1674013500,3200,4941.538461538462,"0.65","2023-01-18T10:45:00.000Z","down"
48.8,48.8,48.8,48.8,1674013800,2300,4941.538461538462,"0.47","2023-01-18T10:50:00.000Z","-"
48.9,48.9,48.8,48.8,1674014100,3800,4941.538461538462,"0.77","2023-01-18T10:55:00.000Z","up"
48.8,48.8,48.7,48.8,1674014400,4500,4941.538461538462,"0.91","2023-01-18T11:00:00.000Z","-"
48.8,48.8,48.7,48.7,1674014700,2400,4941.538461538462,"0.49","2023-01-18T11:05:00.000Z","up"
48.8,48.8,48.8,48.8,1674015000,1200,4941.538461538462,"0.24","2023-01-18T11:10:00.000Z","-"
48.7,48.7,48.7,48.7,1674015300,600,4941.538461538462,"0.12","2023-01-18T11:15:00.000Z","-"
48.8,48.8,48.8,48.8,1674015600,300,4941.538461538462,"0.06","2023-01-18T11:20:00.000Z","-"
48.8,48.8,48.8,48.8,1674015900,2400,4941.538461538462,"0.49","2023-01-18T11:25:00.000Z","-"
48.6,48.7,48.6,48.7,1674021600,3300,4941.538461538462,"0.67","2023-01-18T13:00:00.000Z","down"
48.7,48.7,48.6,48.6,1674021900,1500,4941.538461538462,"0.30","2023-01-18T13:05:00.000Z","up"
48.6,48.6,48.55,48.6,1674022200,2600,4941.538461538462,"0.53","2023-01-18T13:10:00.000Z","-"
48.6,48.6,48.6,48.6,1674022500,2200,4941.538461538462,"0.45","2023-01-18T13:15:00.000Z","-"
48.7,48.7,48.6,48.6,1674022800,3400,4941.538461538462,"0.69","2023-01-18T13:20:00.000Z","up"
48.9,48.9,48.7,48.7,1674023100,9200,4941.538461538462,"1.86","2023-01-18T13:25:00.000Z","up"
48.9,48.9,48.9,48.9,1674023400,900,4941.538461538462,"0.18","2023-01-18T13:30:00.000Z","-"
48.9,48.9,48.9,48.9,1674023700,1300,4941.538461538462,"0.26","2023-01-18T13:35:00.000Z","-"
48.9,48.9,48.9,48.9,1674024000,2000,4941.538461538462,"0.40","2023-01-18T13:40:00.000Z","-"
48.9,48.9,48.8,48.8,1674024300,3800,4941.538461538462,"0.77","2023-01-18T13:45:00.000Z","up"
49,49,48.9,48.9,1674024600,5000,4941.538461538462,"1.01","2023-01-18T13:50:00.000Z","up"
48.8,48.8,48.8,48.8,1674024900,1400,4941.538461538462,"0.28","2023-01-18T13:55:00.000Z","-"
48.8,48.8,48.8,48.8,1674025200,2400,4941.538461538462,"0.49","2023-01-18T14:00:00.000Z","-"
48.9,48.9,48.9,48.9,1674025800,3200,4941.538461538462,"0.65","2023-01-18T14:10:00.000Z","-"
48.9,48.9,48.9,48.9,1674026100,300,4941.538461538462,"0.06","2023-01-18T14:15:00.000Z","-"
48.9,48.9,48.9,48.9,1674026400,1800,4941.538461538462,"0.36","2023-01-18T14:20:00.000Z","-"
48.8,48.8,48.8,48.8,1674027900,21700,4941.538461538462,"4.39","2023-01-18T14:45:00.000Z","-"
48.8,49,48.8,49,1674094500,34700,4941.538461538462,"7.02","2023-01-19T09:15:00.000Z","down"
49,49,48.9,48.9,1674094800,7700,4941.538461538462,"1.56","2023-01-19T09:20:00.000Z","up"
49,49,49,49,1674095100,1000,4941.538461538462,"0.20","2023-01-19T09:25:00.000Z","-"
49.1,49.1,49.1,49.1,1674095400,1100,4941.538461538462,"0.22","2023-01-19T09:30:00.000Z","-"
49.2,49.2,49.1,49.1,1674095700,7300,4941.538461538462,"1.48","2023-01-19T09:35:00.000Z","up"
49.2,49.2,49.2,49.2,1674096000,1400,4941.538461538462,"0.28","2023-01-19T09:40:00.000Z","-"
49.3,49.3,49.2,49.2,1674096300,8700,4941.538461538462,"1.76","2023-01-19T09:45:00.000Z","up"
49.3,49.3,49.3,49.3,1674096600,3600,4941.538461538462,"0.73","2023-01-19T09:50:00.000Z","-"
49.2,49.2,49.2,49.2,1674096900,1500,4941.538461538462,"0.30","2023-01-19T09:55:00.000Z","-"
49.2,49.2,49.2,49.2,1674097200,4200,4941.538461538462,"0.85","2023-01-19T10:00:00.000Z","-"
49.1,49.1,49.1,49.1,1674097500,1000,4941.538461538462,"0.20","2023-01-19T10:05:00.000Z","-"
49.2,49.2,49.1,49.1,1674097800,5700,4941.538461538462,"1.15","2023-01-19T10:10:00.000Z","up"
49.3,49.3,49.2,49.2,1674098100,3900,4941.538461538462,"0.79","2023-01-19T10:15:00.000Z","up"
49.4,49.4,49.4,49.4,1674098400,3300,4941.538461538462,"0.67","2023-01-19T10:20:00.000Z","-"
49.4,49.4,49.4,49.4,1674098700,2200,4941.538461538462,"0.45","2023-01-19T10:25:00.000Z","-"
49.4,49.4,49.4,49.4,1674099000,1000,4941.538461538462,"0.20","2023-01-19T10:30:00.000Z","-"
49.4,49.4,49.35,49.35,1674099300,3300,4941.538461538462,"0.67","2023-01-19T10:35:00.000Z","up"
49.5,49.5,49.4,49.4,1674099600,5100,4941.538461538462,"1.03","2023-01-19T10:40:00.000Z","up"
49.4,49.4,49.4,49.4,1674099900,4800,4941.538461538462,"0.97","2023-01-19T10:45:00.000Z","-"
49.4,49.5,49.4,49.5,1674100200,6400,4941.538461538462,"1.30","2023-01-19T10:50:00.000Z","down"
49.4,49.4,49.4,49.4,1674100800,1400,4941.538461538462,"0.28","2023-01-19T11:00:00.000Z","-"
49.4,49.4,49.4,49.4,1674101100,3000,4941.538461538462,"0.61","2023-01-19T11:05:00.000Z","-"
49.4,49.4,49.4,49.4,1674101400,2000,4941.538461538462,"0.40","2023-01-19T11:10:00.000Z","-"
49.5,49.5,49.4,49.4,1674101700,4000,4941.538461538462,"0.81","2023-01-19T11:15:00.000Z","up"
49.5,49.5,49.5,49.5,1674102000,200,4941.538461538462,"0.04","2023-01-19T11:20:00.000Z","-"
49.5,49.5,49.5,49.5,1674102300,100,4941.538461538462,"0.02","2023-01-19T11:25:00.000Z","-"
49.5,49.5,49.5,49.5,1674108000,1500,4941.538461538462,"0.30","2023-01-19T13:00:00.000Z","-"
49.5,49.5,49.5,49.5,1674108300,3000,4941.538461538462,"0.61","2023-01-19T13:05:00.000Z","-"
49.5,49.6,49.5,49.6,1674108600,3100,4941.538461538462,"0.63","2023-01-19T13:10:00.000Z","down"
49.6,49.6,49.6,49.6,1674108900,5500,4941.538461538462,"1.11","2023-01-19T13:15:00.000Z","-"
49.6,49.6,49.6,49.6,1674109200,2000,4941.538461538462,"0.40","2023-01-19T13:20:00.000Z","-"
49.7,49.7,49.6,49.6,1674109500,3800,4941.538461538462,"0.77","2023-01-19T13:25:00.000Z","up"
49.7,49.7,49.7,49.7,1674109800,4700,4941.538461538462,"0.95","2023-01-19T13:30:00.000Z","-"
49.7,49.7,49.7,49.7,1674110100,1100,4941.538461538462,"0.22","2023-01-19T13:35:00.000Z","-"
49.8,49.8,49.7,49.7,1674110400,3100,4941.538461538462,"0.63","2023-01-19T13:40:00.000Z","up"
49.7,49.7,49.7,49.7,1674110700,5700,4941.538461538462,"1.15","2023-01-19T13:45:00.000Z","-"
49.7,49.7,49.7,49.7,1674111000,2300,4941.538461538462,"0.47","2023-01-19T13:50:00.000Z","-"
49.6,49.6,49.6,49.6,1674111300,1600,4941.538461538462,"0.32","2023-01-19T13:55:00.000Z","-"
49.5,49.6,49.5,49.6,1674111600,4400,4941.538461538462,"0.89","2023-01-19T14:00:00.000Z","down"
49.6,49.6,49.6,49.6,1674111900,1400,4941.538461538462,"0.28","2023-01-19T14:05:00.000Z","-"
49.6,49.6,49.6,49.6,1674112200,2900,4941.538461538462,"0.59","2023-01-19T14:10:00.000Z","-"
49.6,49.6,49.6,49.6,1674112500,6200,4941.538461538462,"1.25","2023-01-19T14:15:00.000Z","-"
49.6,49.6,49.6,49.6,1674112800,2100,4941.538461538462,"0.42","2023-01-19T14:20:00.000Z","-"
49.7,49.7,49.6,49.6,1674113100,5500,4941.538461538462,"1.11","2023-01-19T14:25:00.000Z","up"
49.6,49.6,49.6,49.6,1674114300,17000,4941.538461538462,"3.44","2023-01-19T14:45:00.000Z","-"
49.9,50,49.8,49.8,1674785700,24800,4941.538461538462,"5.02","2023-01-27T09:15:00.000Z","up"
49.9,49.9,49.9,49.9,1674786000,3700,4941.538461538462,"0.75","2023-01-27T09:20:00.000Z","-"
49.9,49.9,49.8,49.9,1674786300,5300,4941.538461538462,"1.07","2023-01-27T09:25:00.000Z","-"
49.9,49.9,49.9,49.9,1674786900,2000,4941.538461538462,"0.40","2023-01-27T09:35:00.000Z","-"
49.9,49.9,49.9,49.9,1674787500,1000,4941.538461538462,"0.20","2023-01-27T09:45:00.000Z","-"
49.8,50,49.8,49.9,1674787800,8300,4941.538461538462,"1.68","2023-01-27T09:50:00.000Z","down"
50,50.1,49.9,49.9,1674788400,13600,4941.538461538462,"2.75","2023-01-27T10:00:00.000Z","up"
50,50,50,50,1674788700,4000,4941.538461538462,"0.81","2023-01-27T10:05:00.000Z","-"
49.9,49.9,49.9,49.9,1674789000,2400,4941.538461538462,"0.49","2023-01-27T10:10:00.000Z","-"
50,50,50,50,1674789300,1000,4941.538461538462,"0.20","2023-01-27T10:15:00.000Z","-"
50.1,50.1,50,50,1674789600,3200,4941.538461538462,"0.65","2023-01-27T10:20:00.000Z","up"
50.1,50.1,50.1,50.1,1674789900,500,4941.538461538462,"0.10","2023-01-27T10:25:00.000Z","-"
50.1,50.1,50.1,50.1,1674790200,4900,4941.538461538462,"0.99","2023-01-27T10:30:00.000Z","-"
50,50,50,50,1674790500,4500,4941.538461538462,"0.91","2023-01-27T10:35:00.000Z","-"
50.1,50.1,50.1,50.1,1674790800,3200,4941.538461538462,"0.65","2023-01-27T10:40:00.000Z","-"
50,50,50,50,1674791100,1200,4941.538461538462,"0.24","2023-01-27T10:45:00.000Z","-"
50.2,50.2,50.1,50.1,1674791400,7300,4941.538461538462,"1.48","2023-01-27T10:50:00.000Z","up"
50.1,50.2,50.1,50.2,1674791700,2100,4941.538461538462,"0.42","2023-01-27T10:55:00.000Z","down"
50.1,50.2,50.1,50.2,1674792000,2800,4941.538461538462,"0.57","2023-01-27T11:00:00.000Z","down"
50.2,50.2,50.1,50.1,1674792300,8000,4941.538461538462,"1.62","2023-01-27T11:05:00.000Z","up"
50,50.1,50,50.1,1674792600,3300,4941.538461538462,"0.67","2023-01-27T11:10:00.000Z","down"
50,50,50,50,1674792900,1000,4941.538461538462,"0.20","2023-01-27T11:15:00.000Z","-"
49.9,50,49.9,50,1674793200,1900,4941.538461538462,"0.38","2023-01-27T11:20:00.000Z","down"
50,50,50,50,1674793500,1700,4941.538461538462,"0.34","2023-01-27T11:25:00.000Z","-"
50.1,50.1,50,50,1674799200,3200,4941.538461538462,"0.65","2023-01-27T13:00:00.000Z","up"
50.1,50.1,50.1,50.1,1674799500,200,4941.538461538462,"0.04","2023-01-27T13:05:00.000Z","-"
49.9,50,49.9,50,1674799800,1800,4941.538461538462,"0.36","2023-01-27T13:10:00.000Z","down"
49.9,50,49.9,50,1674800100,2900,4941.538461538462,"0.59","2023-01-27T13:15:00.000Z","down"
50.1,50.1,50,50,1674800400,2900,4941.538461538462,"0.59","2023-01-27T13:20:00.000Z","up"
50.2,50.2,50.1,50.1,1674800700,6400,4941.538461538462,"1.30","2023-01-27T13:25:00.000Z","up"
50.1,50.1,50.1,50.1,1674801000,1900,4941.538461538462,"0.38","2023-01-27T13:30:00.000Z","-"
50.1,50.1,50.1,50.1,1674801300,7300,4941.538461538462,"1.48","2023-01-27T13:35:00.000Z","-"
50,50,50,50,1674801600,3100,4941.538461538462,"0.63","2023-01-27T13:40:00.000Z","-"
49.9,50,49.9,50,1674801900,5100,4941.538461538462,"1.03","2023-01-27T13:45:00.000Z","down"
49.9,49.9,49.9,49.9,1674802200,1800,4941.538461538462,"0.36","2023-01-27T13:50:00.000Z","-"
49.9,49.9,49.9,49.9,1674802500,2100,4941.538461538462,"0.42","2023-01-27T13:55:00.000Z","-"
49.9,50,49.9,50,1674802800,4600,4941.538461538462,"0.93","2023-01-27T14:00:00.000Z","down"
49.9,49.9,49.9,49.9,1674803100,1100,4941.538461538462,"0.22","2023-01-27T14:05:00.000Z","-"
49.9,50,49.9,50,1674803400,3900,4941.538461538462,"0.79","2023-01-27T14:10:00.000Z","down"
50,50,50,50,1674803700,400,4941.538461538462,"0.08","2023-01-27T14:15:00.000Z","-"
49.8,50,49.8,50,1674804000,3100,4941.538461538462,"0.63","2023-01-27T14:20:00.000Z","down"
49.8,49.8,49.8,49.8,1674804300,100,4941.538461538462,"0.02","2023-01-27T14:25:00.000Z","-"
49.7,49.7,49.7,49.7,1674805500,29000,4941.538461538462,"5.87","2023-01-27T14:45:00.000Z","-"
49,49,49,49,1675044900,40600,4941.538461538462,"8.22","2023-01-30T09:15:00.000Z","-"
49,49,48.9,48.9,1675045200,3400,4941.538461538462,"0.69","2023-01-30T09:20:00.000Z","up"
49.1,49.1,49,49,1675045500,8800,4941.538461538462,"1.78","2023-01-30T09:25:00.000Z","up"
49.1,49.1,49,49.1,1675045800,4500,4941.538461538462,"0.91","2023-01-30T09:30:00.000Z","-"
49.2,49.2,49.1,49.1,1675046100,4300,4941.538461538462,"0.87","2023-01-30T09:35:00.000Z","up"
49.1,49.2,49.1,49.2,1675046400,2900,4941.538461538462,"0.59","2023-01-30T09:40:00.000Z","down"
49.1,49.1,49.1,49.1,1675046700,1800,4941.538461538462,"0.36","2023-01-30T09:45:00.000Z","-"
49.1,49.1,49,49.1,1675047000,5400,4941.538461538462,"1.09","2023-01-30T09:50:00.000Z","-"
49,49.1,49,49.1,1675047300,500,4941.538461538462,"0.10","2023-01-30T09:55:00.000Z","down"
49.2,49.2,49,49.1,1675047600,11400,4941.538461538462,"2.31","2023-01-30T10:00:00.000Z","up"
49.3,49.3,49.2,49.2,1675047900,10500,4941.538461538462,"2.12","2023-01-30T10:05:00.000Z","up"
49.2,49.3,49.2,49.3,1675048200,1300,4941.538461538462,"0.26","2023-01-30T10:10:00.000Z","down"
49.3,49.3,49.3,49.3,1675048800,5500,4941.538461538462,"1.11","2023-01-30T10:20:00.000Z","-"
49.4,49.4,49.3,49.3,1675049100,1800,4941.538461538462,"0.36","2023-01-30T10:25:00.000Z","up"
