"c","h","l","o","t","v","av","r","date","updown"
104.2,104.9,104.2,104.9,1674008100,1200,7989.208633093525,"0.15","2023-01-18T09:15:00.000Z","down"
104.9,104.9,104.9,104.9,1674008400,200,7989.208633093525,"0.03","2023-01-18T09:20:00.000Z","-"
105,105.1,104.9,104.9,1674008700,4800,7989.208633093525,"0.60","2023-01-18T09:25:00.000Z","up"
105.4,105.4,105,105,1674009000,2600,7989.208633093525,"0.33","2023-01-18T09:30:00.000Z","up"
105.4,105.5,105.4,105.4,1674009300,4400,7989.208633093525,"0.55","2023-01-18T09:35:00.000Z","-"
105.7,105.7,105.4,105.4,1674009600,5900,7989.208633093525,"0.74","2023-01-18T09:40:00.000Z","up"
105.5,105.7,105.5,105.7,1674009900,2100,7989.208633093525,"0.26","2023-01-18T09:45:00.000Z","down"
105.5,105.5,105.4,105.4,1674010200,4400,7989.208633093525,"0.55","2023-01-18T09:50:00.000Z","up"
105.5,105.5,105.4,105.4,1674010500,1000,7989.208633093525,"0.13","2023-01-18T09:55:00.000Z","up"
104.9,105.2,104.9,105.2,1674010800,6200,7989.208633093525,"0.78","2023-01-18T10:00:00.000Z","down"
105,105,104.9,104.9,1674011100,1700,7989.208633093525,"0.21","2023-01-18T10:05:00.000Z","up"
105,105,105,105,1674011400,2800,7989.208633093525,"0.35","2023-01-18T10:10:00.000Z","-"
105.2,105.2,105,105,1674011700,4000,7989.208633093525,"0.50","2023-01-18T10:15:00.000Z","up"
105.2,105.2,105.2,105.2,1674012000,700,7989.208633093525,"0.09","2023-01-18T10:20:00.000Z","-"
105.2,105.2,105.2,105.2,1674012300,500,7989.208633093525,"0.06","2023-01-18T10:25:00.000Z","-"
105.2,105.2,105.2,105.2,1674012600,1100,7989.208633093525,"0.14","2023-01-18T10:30:00.000Z","-"
105.3,105.3,105.1,105.2,1674012900,6900,7989.208633093525,"0.86","2023-01-18T10:35:00.000Z","up"
105.5,105.5,105.2,105.3,1674013200,3600,7989.208633093525,"0.45","2023-01-18T10:40:00.000Z","up"
105.5,105.5,105.2,105.2,1674013500,800,7989.208633093525,"0.10","2023-01-18T10:45:00.000Z","up"
105.4,105.5,105.2,105.2,1674013800,2800,7989.208633093525,"0.35","2023-01-18T10:50:00.000Z","up"
105.2,105.2,105.2,105.2,1674014100,600,7989.208633093525,"0.08","2023-01-18T10:55:00.000Z","-"
105.2,105.2,105.2,105.2,1674014400,1300,7989.208633093525,"0.16","2023-01-18T11:00:00.000Z","-"
105,105.2,105,105.2,1674014700,2100,7989.208633093525,"0.26","2023-01-18T11:05:00.000Z","down"
105,105,105,105,1674015000,600,7989.208633093525,"0.08","2023-01-18T11:10:00.000Z","-"
105,105,105,105,1674015300,800,7989.208633093525,"0.10","2023-01-18T11:15:00.000Z","-"
104.9,105,104.9,105,1674015600,1500,7989.208633093525,"0.19","2023-01-18T11:20:00.000Z","down"
104.9,104.9,104.9,104.9,1674015900,200,7989.208633093525,"0.03","2023-01-18T11:25:00.000Z","-"
105,105,104.9,104.9,1674021600,8300,7989.208633093525,"1.04","2023-01-18T13:00:00.000Z","up"
104.8,104.8,104.8,104.8,1674021900,1200,7989.208633093525,"0.15","2023-01-18T13:05:00.000Z","-"
104.6,104.8,104.6,104.8,1674022200,4100,7989.208633093525,"0.51","2023-01-18T13:10:00.000Z","down"
104.7,104.7,104.7,104.7,1674022500,2100,7989.208633093525,"0.26","2023-01-18T13:15:00.000Z","-"
104.8,104.8,104.7,104.7,1674022800,3100,7989.208633093525,"0.39","2023-01-18T13:20:00.000Z","up"
105,105,104.8,104.8,1674023100,3000,7989.208633093525,"0.38","2023-01-18T13:25:00.000Z","up"
105,105,105,105,1674023400,1300,7989.208633093525,"0.16","2023-01-18T13:30:00.000Z","-"
104.8,105,104.8,105,1674023700,2100,7989.208633093525,"0.26","2023-01-18T13:35:00.000Z","down"
104.6,104.8,104.6,104.8,1674024000,1700,7989.208633093525,"0.21","2023-01-18T13:40:00.000Z","down"
105,105,104.7,104.7,1674024300,5500,7989.208633093525,"0.69","2023-01-18T13:45:00.000Z","up"
104.6,105,104.6,105,1674024600,8300,7989.208633093525,"1.04","2023-01-18T13:50:00.000Z","down"
104.9,104.9,104.7,104.7,1674024900,3200,7989.208633093525,"0.40","2023-01-18T13:55:00.000Z","up"
104.5,104.8,104.5,104.8,1674025200,2000,7989.208633093525,"0.25","2023-01-18T14:00:00.000Z","down"
104.7,104.7,104.5,104.6,1674025500,5700,7989.208633093525,"0.71","2023-01-18T14:05:00.000Z","up"
