"c","h","l","o","t","v","av","r","date","updown"
28.9,28.9,28.9,28.9,1674008100,100,1070.8333333333333,"0.09","2023-01-18T09:15:00.000Z","-"
27.9,27.9,27.9,27.9,1674012900,200,1070.8333333333333,"0.19","2023-01-18T10:35:00.000Z","-"
27.9,27.9,27.5,27.5,1674021600,1300,1070.8333333333333,"1.21","2023-01-18T13:00:00.000Z","up"
27.9,27.9,27.9,27.9,1674025800,800,1070.8333333333333,"0.75","2023-01-18T14:10:00.000Z","-"
27.8,27.8,27.8,27.8,1674027900,200,1070.8333333333333,"0.19","2023-01-18T14:45:00.000Z","-"
27.35,27.35,27.35,27.35,1674094500,100,1070.8333333333333,"0.09","2023-01-19T09:15:00.000Z","-"
27.9,27.9,27.9,27.9,1674095100,100,1070.8333333333333,"0.09","2023-01-19T09:25:00.000Z","-"
27.75,27.75,27.75,27.75,1674096900,200,1070.8333333333333,"0.19","2023-01-19T09:55:00.000Z","-"
27.4,27.4,27.4,27.4,1674097200,500,1070.8333333333333,"0.47","2023-01-19T10:00:00.000Z","-"
27.75,27.75,27.75,27.75,1674097500,100,1070.8333333333333,"0.09","2023-01-19T10:05:00.000Z","-"
27.4,27.4,27.4,27.4,1674101400,1700,1070.8333333333333,"1.59","2023-01-19T11:10:00.000Z","-"
27.4,27.4,27.4,27.4,1674109500,1000,1070.8333333333333,"0.93","2023-01-19T13:25:00.000Z","-"
27.4,27.4,27.4,27.4,1674114300,100,1070.8333333333333,"0.09","2023-01-19T14:45:00.000Z","-"
27.5,27.5,27.5,27.5,1674785700,100,1070.8333333333333,"0.09","2023-01-27T09:15:00.000Z","-"
27.4,27.45,27.4,27.45,1674788100,1400,1070.8333333333333,"1.31","2023-01-27T09:55:00.000Z","down"
27,27.35,27,27.35,1674789900,4800,1070.8333333333333,"4.48","2023-01-27T10:25:00.000Z","down"
27.75,27.75,27.75,27.75,1674799200,200,1070.8333333333333,"0.19","2023-01-27T13:00:00.000Z","-"
27.25,27.25,27.25,27.25,1674805500,100,1070.8333333333333,"0.09","2023-01-27T14:45:00.000Z","-"
27.9,27.9,27.9,27.9,1675048200,100,1070.8333333333333,"0.09","2023-01-30T10:10:00.000Z","-"
27.8,27.8,27.8,27.8,1675052400,100,1070.8333333333333,"0.09","2023-01-30T11:20:00.000Z","-"
27.8,27.8,27.8,27.8,1675059000,100,1070.8333333333333,"0.09","2023-01-30T13:10:00.000Z","-"
27.7,27.8,27.7,27.8,1675059600,300,1070.8333333333333,"0.28","2023-01-30T13:20:00.000Z","down"
27.7,27.7,27.7,27.7,1675059900,100,1070.8333333333333,"0.09","2023-01-30T13:25:00.000Z","-"
27.6,27.6,27.6,27.6,1675064700,100,1070.8333333333333,"0.09","2023-01-30T14:45:00.000Z","-"
27.4,27.4,27.4,27.4,1675134600,300,1070.8333333333333,"0.28","2023-01-31T10:10:00.000Z","-"
27.4,27.4,27.4,27.4,1675135200,200,1070.8333333333333,"0.19","2023-01-31T10:20:00.000Z","-"
27.5,27.5,27.5,27.5,1675144800,1200,1070.8333333333333,"1.12","2023-01-31T13:00:00.000Z","-"
27.4,27.4,27.4,27.4,1675146600,400,1070.8333333333333,"0.37","2023-01-31T13:30:00.000Z","-"
27.4,27.4,27.4,27.4,1675146900,100,1070.8333333333333,"0.09","2023-01-31T13:35:00.000Z","-"
27.3,27.3,27.3,27.3,1675147200,200,1070.8333333333333,"0.19","2023-01-31T13:40:00.000Z","-"
27.5,27.5,27.5,27.5,1675148700,600,1070.8333333333333,"0.56","2023-01-31T14:05:00.000Z","-"
27.4,27.4,27.4,27.4,1675149300,100,1070.8333333333333,"0.09","2023-01-31T14:15:00.000Z","-"
27.5,27.5,27.5,27.5,1675149600,19500,1070.8333333333333,"18.21","2023-01-31T14:20:00.000Z","-"
27.5,27.5,27.5,27.5,1675151100,6100,1070.8333333333333,"5.70","2023-01-31T14:45:00.000Z","-"
27.95,27.95,27.95,27.95,1675218600,500,1070.8333333333333,"0.47","2023-02-01T09:30:00.000Z","-"
27.95,27.95,27.95,27.95,1675218900,100,1070.8333333333333,"0.09","2023-02-01T09:35:00.000Z","-"
28,28,28,28,1675219200,400,1070.8333333333333,"0.37","2023-02-01T09:40:00.000Z","-"
28,28,28,28,1675219800,400,1070.8333333333333,"0.37","2023-02-01T09:50:00.000Z","-"
27.95,27.95,27.95,27.95,1675222200,500,1070.8333333333333,"0.47","2023-02-01T10:30:00.000Z","-"
27.55,27.7,27.55,27.7,1675222800,1700,1070.8333333333333,"1.59","2023-02-01T10:40:00.000Z","down"
27.5,27.5,27.5,27.5,1675223100,600,1070.8333333333333,"0.56","2023-02-01T10:45:00.000Z","-"
27.5,27.5,27.5,27.5,1675223400,300,1070.8333333333333,"0.28","2023-02-01T10:50:00.000Z","-"
27.5,27.5,27.5,27.5,1675224000,400,1070.8333333333333,"0.37","2023-02-01T11:00:00.000Z","-"
27.4,27.4,27.4,27.4,1675224300,1000,1070.8333333333333,"0.93","2023-02-01T11:05:00.000Z","-"
27.5,27.5,27.5,27.5,1675225500,2000,1070.8333333333333,"1.87","2023-02-01T11:25:00.000Z","-"
27.95,27.95,27.95,27.95,1675232700,400,1070.8333333333333,"0.37","2023-02-01T13:25:00.000Z","-"
27.95,27.95,27.95,27.95,1675233300,100,1070.8333333333333,"0.09","2023-02-01T13:35:00.000Z","-"
27.9,27.9,27.9,27.9,1675234800,500,1070.8333333333333,"0.47","2023-02-01T14:00:00.000Z","-"
