┌─────────┬───────┬───────┬───────┬───────┬────────────┬────────┬───────────────────┬────────┬────────────────────────────┬────────┐
│ (index) │   c   │   h   │   l   │   o   │     t      │   v    │        av         │   r    │            date            │ updown │
├─────────┼───────┼───────┼───────┼───────┼────────────┼────────┼───────────────────┼────────┼────────────────────────────┼────────┤
│    0    │ 17.35 │ 17.4  │ 17.25 │ 17.4  │ 1674008100 │ 96300  │ 70030.71428571429 │ '1.38' │ '2023-01-18T09:15:00.000Z' │ 'down' │
│    1    │ 17.45 │ 17.45 │ 17.35 │ 17.4  │ 1674008400 │ 90200  │ 70030.71428571429 │ '1.29' │ '2023-01-18T09:20:00.000Z' │  'up'  │
│    2    │ 17.4  │ 17.45 │ 17.35 │ 17.45 │ 1674008700 │ 54200  │ 70030.71428571429 │ '0.77' │ '2023-01-18T09:25:00.000Z' │ 'down' │
│    3    │ 17.35 │ 17.4  │ 17.3  │ 17.35 │ 1674009000 │ 37200  │ 70030.71428571429 │ '0.53' │ '2023-01-18T09:30:00.000Z' │  '-'   │
│    4    │ 17.4  │ 17.45 │ 17.3  │ 17.3  │ 1674009300 │ 161300 │ 70030.71428571429 │ '2.30' │ '2023-01-18T09:35:00.000Z' │  'up'  │
│    5    │ 17.5  │ 17.5  │ 17.4  │ 17.45 │ 1674009600 │ 81500  │ 70030.71428571429 │ '1.16' │ '2023-01-18T09:40:00.000Z' │  'up'  │
│    6    │ 17.45 │ 17.5  │ 17.4  │ 17.5  │ 1674009900 │ 38300  │ 70030.71428571429 │ '0.55' │ '2023-01-18T09:45:00.000Z' │ 'down' │
│    7    │ 17.5  │ 17.5  │ 17.45 │ 17.45 │ 1674010200 │ 81300  │ 70030.71428571429 │ '1.16' │ '2023-01-18T09:50:00.000Z' │  'up'  │
│    8    │ 17.5  │ 17.55 │ 17.5  │ 17.5  │ 1674010500 │ 60300  │ 70030.71428571429 │ '0.86' │ '2023-01-18T09:55:00.000Z' │  '-'   │
│    9    │ 17.5  │ 17.5  │ 17.45 │ 17.5  │ 1674010800 │ 28500  │ 70030.71428571429 │ '0.41' │ '2023-01-18T10:00:00.000Z' │  '-'   │
│   10    │ 17.5  │ 17.5  │ 17.45 │ 17.45 │ 1674011100 │ 39800  │ 70030.71428571429 │ '0.57' │ '2023-01-18T10:05:00.000Z' │  'up'  │
│   11    │ 17.5  │ 17.55 │ 17.45 │ 17.5  │ 1674011400 │ 62400  │ 70030.71428571429 │ '0.89' │ '2023-01-18T10:10:00.000Z' │  '-'   │
