"c","h","l","o","t","v","av","r","date","updown"
8.35,8.36,8.35,8.36,1674008100,1100,4113.793103448276,"0.27","2023-01-18T09:15:00.000Z","down"
8.35,8.35,8.35,8.35,1674008400,2100,4113.793103448276,"0.51","2023-01-18T09:20:00.000Z","-"
8.35,8.35,8.35,8.35,1674008700,4700,4113.793103448276,"1.14","2023-01-18T09:25:00.000Z","-"
8.31,8.31,8.31,8.31,1674009000,300,4113.793103448276,"0.07","2023-01-18T09:30:00.000Z","-"
8.31,8.31,8.31,8.31,1674009600,2500,4113.793103448276,"0.61","2023-01-18T09:40:00.000Z","-"
8.3,8.31,8.3,8.31,1674009900,4400,4113.793103448276,"1.07","2023-01-18T09:45:00.000Z","down"
8.35,8.35,8.35,8.35,1674010200,3800,4113.793103448276,"0.92","2023-01-18T09:50:00.000Z","-"
8.35,8.35,8.35,8.35,1674010500,7900,4113.793103448276,"1.92","2023-01-18T09:55:00.000Z","-"
8.35,8.35,8.35,8.35,1674010800,900,4113.793103448276,"0.22","2023-01-18T10:00:00.000Z","-"
8.35,8.35,8.35,8.35,1674011400,1000,4113.793103448276,"0.24","2023-01-18T10:10:00.000Z","-"
8.32,8.32,8.32,8.32,1674011700,2000,4113.793103448276,"0.49","2023-01-18T10:15:00.000Z","-"
8.33,8.33,8.33,8.33,1674012600,4000,4113.793103448276,"0.97","2023-01-18T10:30:00.000Z","-"
8.33,8.33,8.33,8.33,1674012900,6000,4113.793103448276,"1.46","2023-01-18T10:35:00.000Z","-"
8.35,8.35,8.35,8.35,1674013200,1300,4113.793103448276,"0.32","2023-01-18T10:40:00.000Z","-"
8.35,8.35,8.34,8.35,1674013500,400,4113.793103448276,"0.10","2023-01-18T10:45:00.000Z","-"
8.33,8.33,8.33,8.33,1674013800,300,4113.793103448276,"0.07","2023-01-18T10:50:00.000Z","-"
8.34,8.34,8.34,8.34,1674014100,500,4113.793103448276,"0.12","2023-01-18T10:55:00.000Z","-"
8.32,8.33,8.32,8.33,1674014700,4000,4113.793103448276,"0.97","2023-01-18T11:05:00.000Z","down"
8.31,8.32,8.31,8.32,1674015300,6500,4113.793103448276,"1.58","2023-01-18T11:15:00.000Z","down"
8.3,8.31,8.3,8.31,1674015600,12700,4113.793103448276,"3.09","2023-01-18T11:20:00.000Z","down"
8.3,8.3,8.3,8.3,1674015900,4100,4113.793103448276,"1.00","2023-01-18T11:25:00.000Z","-"
8.3,8.3,8.3,8.3,1674021600,4100,4113.793103448276,"1.00","2023-01-18T13:00:00.000Z","-"
8.35,8.35,8.3,8.3,1674022200,3100,4113.793103448276,"0.75","2023-01-18T13:10:00.000Z","up"
8.34,8.34,8.34,8.34,1674022800,1000,4113.793103448276,"0.24","2023-01-18T13:20:00.000Z","-"
8.34,8.34,8.34,8.34,1674023100,6300,4113.793103448276,"1.53","2023-01-18T13:25:00.000Z","-"
8.3,8.31,8.3,8.31,1674023400,1400,4113.793103448276,"0.34","2023-01-18T13:30:00.000Z","down"
