"c","h","l","o","t","v","av","r","date","updown"
9.8,9.8,9.8,9.8,1674008100,400,8448,"0.05","2023-01-18T09:15:00.000Z","-"
9.8,9.81,9.8,9.81,1674009000,2300,8448,"0.27","2023-01-18T09:30:00.000Z","down"
9.8,9.8,9.8,9.8,1674009300,1300,8448,"0.15","2023-01-18T09:35:00.000Z","-"
9.81,9.81,9.81,9.81,1674009900,1000,8448,"0.12","2023-01-18T09:45:00.000Z","-"
10.1,10.1,10.1,10.1,1674010500,500,8448,"0.06","2023-01-18T09:55:00.000Z","-"
10.1,10.1,10.05,10.05,1674010800,10000,8448,"1.18","2023-01-18T10:00:00.000Z","up"
10.1,10.15,10.1,10.1,1674011100,10000,8448,"1.18","2023-01-18T10:05:00.000Z","-"
10.1,10.1,10.1,10.1,1674011400,5000,8448,"0.59","2023-01-18T10:10:00.000Z","-"
9.84,10,9.84,10,1674015300,800,8448,"0.09","2023-01-18T11:15:00.000Z","down"
9.9,9.9,9.9,9.9,1674022200,100,8448,"0.01","2023-01-18T13:10:00.000Z","-"
9.9,9.9,9.9,9.9,1674022500,900,8448,"0.11","2023-01-18T13:15:00.000Z","-"
9.87,9.87,9.87,9.87,1674023400,700,8448,"0.08","2023-01-18T13:30:00.000Z","-"
9.9,9.9,9.9,9.9,1674023700,900,8448,"0.11","2023-01-18T13:35:00.000Z","-"
9.95,9.95,9.95,9.95,1674024000,500,8448,"0.06","2023-01-18T13:40:00.000Z","-"
10,10,10,10,1674024900,1000,8448,"0.12","2023-01-18T13:55:00.000Z","-"
9.97,9.97,9.97,9.97,1674025500,100,8448,"0.01","2023-01-18T14:05:00.000Z","-"
10,10,10,10,1674025800,2000,8448,"0.24","2023-01-18T14:10:00.000Z","-"
9.82,10,9.82,10,1674026100,13500,8448,"1.60","2023-01-18T14:15:00.000Z","down"
9.84,9.84,9.84,9.84,1674026700,200,8448,"0.02","2023-01-18T14:25:00.000Z","-"
10.1,10.1,10.1,10.1,1674027900,15000,8448,"1.78","2023-01-18T14:45:00.000Z","-"
9.9,9.9,9.9,9.9,1674094500,700,8448,"0.08","2023-01-19T09:15:00.000Z","-"
