┌─────────┬─────┬─────┬─────┬─────┬────────────┬───────┬────────────────────┬────────┬────────────────────────────┬────────┐
│ (index) │  c  │  h  │  l  │  o  │     t      │   v   │         av         │   r    │            date            │ updown │
├─────────┼─────┼─────┼─────┼─────┼────────────┼───────┼────────────────────┼────────┼────────────────────────────┼────────┤
│    0    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │ 1674021600 │ 2000  │ 1915.2173913043478 │ '1.04' │ '2023-01-18T13:00:00.000Z' │  '-'   │
│    1    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │ 1674025500 │ 4000  │ 1915.2173913043478 │ '2.09' │ '2023-01-18T14:05:00.000Z' │  '-'   │
│    2    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │ 1674026400 │ 6000  │ 1915.2173913043478 │ '3.13' │ '2023-01-18T14:20:00.000Z' │  '-'   │
│    3    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │ 1674026700 │ 3000  │ 1915.2173913043478 │ '1.57' │ '2023-01-18T14:25:00.000Z' │  '-'   │
│    4    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │ 1674027900 │  100  │ 1915.2173913043478 │ '0.05' │ '2023-01-18T14:45:00.000Z' │  '-'   │
│    5    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │ 1674094500 │  400  │ 1915.2173913043478 │ '0.21' │ '2023-01-19T09:15:00.000Z' │  '-'   │
│    6    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │ 1674094800 │  100  │ 1915.2173913043478 │ '0.05' │ '2023-01-19T09:20:00.000Z' │  '-'   │
│    7    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │ 1674108000 │ 8300  │ 1915.2173913043478 │ '4.33' │ '2023-01-19T13:00:00.000Z' │  '-'   │
│    8    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │ 1674111600 │  100  │ 1915.2173913043478 │ '0.05' │ '2023-01-19T14:00:00.000Z' │  '-'   │
│    9    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │ 1674114300 │  300  │ 1915.2173913043478 │ '0.16' │ '2023-01-19T14:45:00.000Z' │  '-'   │
│   10    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │ 1674787200 │ 3000  │ 1915.2173913043478 │ '1.57' │ '2023-01-27T09:40:00.000Z' │  '-'   │
│   11    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │ 1674792000 │  900  │ 1915.2173913043478 │ '0.47' │ '2023-01-27T11:00:00.000Z' │  '-'   │
