┌─────────┬─────┬─────┬─────┬─────┬────────────┬──────┬───────────────────┬────────┬────────────────────────────┬────────┐
│ (index) │  c  │  h  │  l  │  o  │     t      │  v   │        av         │   r    │            date            │ updown │
├─────────┼─────┼─────┼─────┼─────┼────────────┼──────┼───────────────────┼────────┼────────────────────────────┼────────┤
│    0    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674007200 │ 1300 │ 1603.225806451613 │ '0.81' │ '2023-01-18T09:00:00.000Z' │  '-'   │
│    1    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674008700 │ 2200 │ 1603.225806451613 │ '1.37' │ '2023-01-18T09:25:00.000Z' │  '-'   │
│    2    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674009000 │ 700  │ 1603.225806451613 │ '0.44' │ '2023-01-18T09:30:00.000Z' │  '-'   │
│    3    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674009600 │ 500  │ 1603.225806451613 │ '0.31' │ '2023-01-18T09:40:00.000Z' │  '-'   │
│    4    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674010500 │ 2400 │ 1603.225806451613 │ '1.50' │ '2023-01-18T09:55:00.000Z' │  '-'   │
│    5    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674011700 │ 3200 │ 1603.225806451613 │ '2.00' │ '2023-01-18T10:15:00.000Z' │  '-'   │
│    6    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674012900 │ 1000 │ 1603.225806451613 │ '0.62' │ '2023-01-18T10:35:00.000Z' │  '-'   │
│    7    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674013200 │ 600  │ 1603.225806451613 │ '0.37' │ '2023-01-18T10:40:00.000Z' │  '-'   │
│    8    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674014100 │ 1700 │ 1603.225806451613 │ '1.06' │ '2023-01-18T10:55:00.000Z' │  '-'   │
│    9    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674021600 │ 1500 │ 1603.225806451613 │ '0.94' │ '2023-01-18T13:00:00.000Z' │  '-'   │
│   10    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674022200 │ 2200 │ 1603.225806451613 │ '1.37' │ '2023-01-18T13:10:00.000Z' │  '-'   │
│   11    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674022800 │ 3600 │ 1603.225806451613 │ '2.25' │ '2023-01-18T13:20:00.000Z' │  '-'   │
│   12    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674025200 │ 800  │ 1603.225806451613 │ '0.50' │ '2023-01-18T14:00:00.000Z' │  '-'   │
│   13    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674093600 │ 2000 │ 1603.225806451613 │ '1.25' │ '2023-01-19T09:00:00.000Z' │  '-'   │
│   14    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674093900 │ 1800 │ 1603.225806451613 │ '1.12' │ '2023-01-19T09:05:00.000Z' │  '-'   │
│   15    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674095700 │ 1700 │ 1603.225806451613 │ '1.06' │ '2023-01-19T09:35:00.000Z' │  '-'   │
│   16    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674096000 │ 1800 │ 1603.225806451613 │ '1.12' │ '2023-01-19T09:40:00.000Z' │  '-'   │
│   17    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674096600 │ 600  │ 1603.225806451613 │ '0.37' │ '2023-01-19T09:50:00.000Z' │  '-'   │
│   18    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674096900 │ 2200 │ 1603.225806451613 │ '1.37' │ '2023-01-19T09:55:00.000Z' │  '-'   │
│   19    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674097500 │ 1200 │ 1603.225806451613 │ '0.75' │ '2023-01-19T10:05:00.000Z' │  '-'   │
│   20    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674098100 │ 1000 │ 1603.225806451613 │ '0.62' │ '2023-01-19T10:15:00.000Z' │  '-'   │
│   21    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674098700 │ 200  │ 1603.225806451613 │ '0.12' │ '2023-01-19T10:25:00.000Z' │  '-'   │
│   22    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674099600 │ 1700 │ 1603.225806451613 │ '1.06' │ '2023-01-19T10:40:00.000Z' │  '-'   │
│   23    │ 4.8 │ 4.9 │ 4.8 │ 4.9 │ 1674108000 │ 6400 │ 1603.225806451613 │ '3.99' │ '2023-01-19T13:00:00.000Z' │ 'down' │
│   24    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │ 1674109500 │ 100  │ 1603.225806451613 │ '0.06' │ '2023-01-19T13:25:00.000Z' │  '-'   │
│   25    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │ 1674110700 │ 200  │ 1603.225806451613 │ '0.12' │ '2023-01-19T13:45:00.000Z' │  '-'   │
│   26    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674784800 │ 1400 │ 1603.225806451613 │ '0.87' │ '2023-01-27T09:00:00.000Z' │  '-'   │
│   27    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674787800 │ 2200 │ 1603.225806451613 │ '1.37' │ '2023-01-27T09:50:00.000Z' │  '-'   │
│   28    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674788700 │ 1500 │ 1603.225806451613 │ '0.94' │ '2023-01-27T10:05:00.000Z' │  '-'   │
│   29    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674789900 │ 1200 │ 1603.225806451613 │ '0.75' │ '2023-01-27T10:25:00.000Z' │  '-'   │
│   30    │ 4.9 │  5  │ 4.9 │  5  │ 1674791400 │ 3000 │ 1603.225806451613 │ '1.87' │ '2023-01-27T10:50:00.000Z' │ 'down' │
│   31    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674791700 │ 500  │ 1603.225806451613 │ '0.31' │ '2023-01-27T10:55:00.000Z' │  '-'   │
│   32    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674799200 │ 1300 │ 1603.225806451613 │ '0.81' │ '2023-01-27T13:00:00.000Z' │  '-'   │
│   33    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674799800 │ 3800 │ 1603.225806451613 │ '2.37' │ '2023-01-27T13:10:00.000Z' │  '-'   │
│   34    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674800100 │ 700  │ 1603.225806451613 │ '0.44' │ '2023-01-27T13:15:00.000Z' │  '-'   │
│   35    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │ 1674800400 │ 500  │ 1603.225806451613 │ '0.31' │ '2023-01-27T13:20:00.000Z' │  '-'   │
