"c","h","l","o","t","v","av","r","date","updown"
15.9,15.9,15.9,15.9,1674100800,100,3786.9565217391305,"0.03","2023-01-19T11:00:00.000Z","-"
15.8,15.8,15.8,15.8,1674789300,300,3786.9565217391305,"0.08","2023-01-27T10:15:00.000Z","-"
15.6,15.6,15.6,15.6,1674789600,300,3786.9565217391305,"0.08","2023-01-27T10:20:00.000Z","-"
15.3,15.3,15.3,15.3,1674791100,400,3786.9565217391305,"0.11","2023-01-27T10:45:00.000Z","-"
15.2,15.2,15.2,15.2,1674799200,600,3786.9565217391305,"0.16","2023-01-27T13:00:00.000Z","-"
15.3,15.3,15.3,15.3,1674801600,400,3786.9565217391305,"0.11","2023-01-27T13:40:00.000Z","-"
15.3,15.3,15.3,15.3,1674803400,700,3786.9565217391305,"0.18","2023-01-27T14:10:00.000Z","-"
15.3,15.3,15.3,15.3,1674804900,300,3786.9565217391305,"0.08","2023-01-27T14:35:00.000Z","-"
15.3,15.3,15.3,15.3,1674805800,900,3786.9565217391305,"0.24","2023-01-27T14:50:00.000Z","-"
17.4,17.4,17.4,17.4,1675047000,100,3786.9565217391305,"0.03","2023-01-30T09:50:00.000Z","-"
15.3,15.3,15.3,15.3,1675065300,27000,3786.9565217391305,"7.13","2023-01-30T14:55:00.000Z","-"
17,17,17,17,1675131900,100,3786.9565217391305,"0.03","2023-01-31T09:25:00.000Z","-"
15.5,15.5,15.5,15.5,1675145100,100,3786.9565217391305,"0.03","2023-01-31T13:05:00.000Z","-"
15,15,15,15,1675151400,50000,3786.9565217391305,"13.20","2023-01-31T14:50:00.000Z","-"
17.2,17.2,17.2,17.2,1675217100,100,3786.9565217391305,"0.03","2023-02-01T09:05:00.000Z","-"
17,17,17,17,1675218000,1100,3786.9565217391305,"0.29","2023-02-01T09:20:00.000Z","-"
16.9,16.9,16.9,16.9,1675218300,900,3786.9565217391305,"0.24","2023-02-01T09:25:00.000Z","-"
16.9,16.9,16.9,16.9,1675218900,400,3786.9565217391305,"0.11","2023-02-01T09:35:00.000Z","-"
16.9,16.9,16.9,16.9,1675219500,800,3786.9565217391305,"0.21","2023-02-01T09:45:00.000Z","-"
16.8,16.8,16.8,16.8,1675221300,800,3786.9565217391305,"0.21","2023-02-01T10:15:00.000Z","-"
16.4,16.4,16.4,16.4,1675233000,900,3786.9565217391305,"0.24","2023-02-01T13:30:00.000Z","-"
16.4,16.4,16.4,16.4,1675236900,400,3786.9565217391305,"0.11","2023-02-01T14:35:00.000Z","-"
16.4,16.4,16.4,16.4,1675237500,400,3786.9565217391305,"0.11","2023-02-01T14:45:00.000Z","-"
