"c","h","l","o","t","v","av","r","date","updown"
2.3,2.3,2.3,2.3,1674007500,100,4698.058252427184,"0.02","2023-01-18T09:05:00.000Z","-"
2.4,2.4,2.4,2.4,1674008400,2000,4698.058252427184,"0.43","2023-01-18T09:20:00.000Z","-"
2.4,2.4,2.4,2.4,1674008700,2500,4698.058252427184,"0.53","2023-01-18T09:25:00.000Z","-"
2.3,2.3,2.3,2.3,1674010500,4500,4698.058252427184,"0.96","2023-01-18T09:55:00.000Z","-"
2.4,2.4,2.4,2.4,1674010800,300,4698.058252427184,"0.06","2023-01-18T10:00:00.000Z","-"
2.4,2.4,2.4,2.4,1674011700,500,4698.058252427184,"0.11","2023-01-18T10:15:00.000Z","-"
2.3,2.3,2.3,2.3,1674013500,1400,4698.058252427184,"0.30","2023-01-18T10:45:00.000Z","-"
2.5,2.5,2.4,2.4,1674015600,45600,4698.058252427184,"9.71","2023-01-18T11:20:00.000Z","up"
2.5,2.5,2.5,2.5,1674015900,100,4698.058252427184,"0.02","2023-01-18T11:25:00.000Z","-"
2.4,2.4,2.4,2.4,1674021600,300,4698.058252427184,"0.06","2023-01-18T13:00:00.000Z","-"
2.5,2.5,2.5,2.5,1674023700,100,4698.058252427184,"0.02","2023-01-18T13:35:00.000Z","-"
2.5,2.5,2.5,2.5,1674025200,2300,4698.058252427184,"0.49","2023-01-18T14:00:00.000Z","-"
2.5,2.5,2.5,2.5,1674027900,300,4698.058252427184,"0.06","2023-01-18T14:45:00.000Z","-"
2.5,2.5,2.5,2.5,1674093600,100,4698.058252427184,"0.02","2023-01-19T09:00:00.000Z","-"
2.4,2.4,2.4,2.4,1674095700,4300,4698.058252427184,"0.92","2023-01-19T09:35:00.000Z","-"
2.4,2.4,2.4,2.4,1674096300,300,4698.058252427184,"0.06","2023-01-19T09:45:00.000Z","-"
2.4,2.4,2.4,2.4,1674097800,6000,4698.058252427184,"1.28","2023-01-19T10:10:00.000Z","-"
2.5,2.5,2.5,2.5,1674098700,100,4698.058252427184,"0.02","2023-01-19T10:25:00.000Z","-"
2.5,2.5,2.5,2.5,1674101700,100,4698.058252427184,"0.02","2023-01-19T11:15:00.000Z","-"
2.4,2.4,2.4,2.4,1674111300,9000,4698.058252427184,"1.92","2023-01-19T13:55:00.000Z","-"
