┌─────────┬─────┬─────┬─────┬─────┬────────────┬────────┬────────────────────┬─────────┬────────────────────────────┬────────┐
│ (index) │  c  │  h  │  l  │  o  │     t      │   v    │         av         │    r    │            date            │ updown │
├─────────┼─────┼─────┼─────┼─────┼────────────┼────────┼────────────────────┼─────────┼────────────────────────────┼────────┤
│    0    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674007200 │ 10000  │ 18242.489270386268 │ '0.55'  │ '2023-01-18T09:00:00.000Z' │  '-'   │
│    1    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674007500 │  2100  │ 18242.489270386268 │ '0.12'  │ '2023-01-18T09:05:00.000Z' │  '-'   │
│    2    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674007800 │ 25000  │ 18242.489270386268 │ '1.37'  │ '2023-01-18T09:10:00.000Z' │  '-'   │
│    3    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674008100 │  3300  │ 18242.489270386268 │ '0.18'  │ '2023-01-18T09:15:00.000Z' │  '-'   │
│    4    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674008700 │ 35900  │ 18242.489270386268 │ '1.97'  │ '2023-01-18T09:25:00.000Z' │  '-'   │
│    5    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674009000 │  3500  │ 18242.489270386268 │ '0.19'  │ '2023-01-18T09:30:00.000Z' │  '-'   │
│    6    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674009600 │  1500  │ 18242.489270386268 │ '0.08'  │ '2023-01-18T09:40:00.000Z' │  '-'   │
│    7    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674009900 │  200   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T09:45:00.000Z' │  '-'   │
│    8    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674010500 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T09:55:00.000Z' │  '-'   │
│    9    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674010800 │  500   │ 18242.489270386268 │ '0.03'  │ '2023-01-18T10:00:00.000Z' │  '-'   │
│   10    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674011100 │  200   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T10:05:00.000Z' │  '-'   │
│   11    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674011400 │  3100  │ 18242.489270386268 │ '0.17'  │ '2023-01-18T10:10:00.000Z' │  '-'   │
│   12    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674012300 │  600   │ 18242.489270386268 │ '0.03'  │ '2023-01-18T10:25:00.000Z' │  '-'   │
│   13    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674012900 │ 12800  │ 18242.489270386268 │ '0.70'  │ '2023-01-18T10:35:00.000Z' │  '-'   │
│   14    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674013200 │ 18000  │ 18242.489270386268 │ '0.99'  │ '2023-01-18T10:40:00.000Z' │  '-'   │
│   15    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674013500 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T10:45:00.000Z' │  '-'   │
│   16    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674014100 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T10:55:00.000Z' │  '-'   │
│   17    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674014400 │  1100  │ 18242.489270386268 │ '0.06'  │ '2023-01-18T11:00:00.000Z' │  '-'   │
│   18    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674014700 │  700   │ 18242.489270386268 │ '0.04'  │ '2023-01-18T11:05:00.000Z' │  '-'   │
│   19    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674015300 │  2300  │ 18242.489270386268 │ '0.13'  │ '2023-01-18T11:15:00.000Z' │  '-'   │
│   20    │ 2.9 │ 2.9 │ 2.8 │ 2.9 │ 1674015600 │ 63300  │ 18242.489270386268 │ '3.47'  │ '2023-01-18T11:20:00.000Z' │  '-'   │
│   21    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674015900 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T11:25:00.000Z' │  '-'   │
│   22    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674021600 │ 87400  │ 18242.489270386268 │ '4.79'  │ '2023-01-18T13:00:00.000Z' │  '-'   │
│   23    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674021900 │  9800  │ 18242.489270386268 │ '0.54'  │ '2023-01-18T13:05:00.000Z' │  '-'   │
│   24    │  3  │  3  │ 2.9 │ 2.9 │ 1674022200 │  9400  │ 18242.489270386268 │ '0.52'  │ '2023-01-18T13:10:00.000Z' │  'up'  │
│   25    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674022800 │  8100  │ 18242.489270386268 │ '0.44'  │ '2023-01-18T13:20:00.000Z' │  '-'   │
│   26    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674023100 │  8300  │ 18242.489270386268 │ '0.45'  │ '2023-01-18T13:25:00.000Z' │  '-'   │
│   27    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674023400 │  3000  │ 18242.489270386268 │ '0.16'  │ '2023-01-18T13:30:00.000Z' │  '-'   │
│   28    │ 2.9 │  3  │ 2.9 │  3  │ 1674024000 │  1200  │ 18242.489270386268 │ '0.07'  │ '2023-01-18T13:40:00.000Z' │ 'down' │
│   29    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674024300 │  1000  │ 18242.489270386268 │ '0.05'  │ '2023-01-18T13:45:00.000Z' │  '-'   │
│   30    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674024900 │  1500  │ 18242.489270386268 │ '0.08'  │ '2023-01-18T13:55:00.000Z' │  '-'   │
│   31    │  3  │  3  │  3  │  3  │ 1674025500 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-18T14:05:00.000Z' │  '-'   │
│   32    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674025800 │  4700  │ 18242.489270386268 │ '0.26'  │ '2023-01-18T14:10:00.000Z' │  '-'   │
│   33    │  3  │  3  │ 2.9 │ 2.9 │ 1674026100 │  6100  │ 18242.489270386268 │ '0.33'  │ '2023-01-18T14:15:00.000Z' │  'up'  │
│   34    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674027900 │ 67600  │ 18242.489270386268 │ '3.71'  │ '2023-01-18T14:45:00.000Z' │  '-'   │
│   35    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674093600 │ 11200  │ 18242.489270386268 │ '0.61'  │ '2023-01-19T09:00:00.000Z' │  '-'   │
│   36    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674094200 │ 50000  │ 18242.489270386268 │ '2.74'  │ '2023-01-19T09:10:00.000Z' │  '-'   │
│   37    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674094500 │ 22000  │ 18242.489270386268 │ '1.21'  │ '2023-01-19T09:15:00.000Z' │  '-'   │
│   38    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674094800 │  2000  │ 18242.489270386268 │ '0.11'  │ '2023-01-19T09:20:00.000Z' │  '-'   │
│   39    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674095100 │  2000  │ 18242.489270386268 │ '0.11'  │ '2023-01-19T09:25:00.000Z' │  '-'   │
│   40    │ 2.8 │ 2.8 │ 2.8 │ 2.8 │ 1674095400 │  1000  │ 18242.489270386268 │ '0.05'  │ '2023-01-19T09:30:00.000Z' │  '-'   │
│   41    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674095700 │  8300  │ 18242.489270386268 │ '0.45'  │ '2023-01-19T09:35:00.000Z' │  '-'   │
│   42    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674096000 │  3700  │ 18242.489270386268 │ '0.20'  │ '2023-01-19T09:40:00.000Z' │  '-'   │
│   43    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674096300 │ 14400  │ 18242.489270386268 │ '0.79'  │ '2023-01-19T09:45:00.000Z' │  '-'   │
│   44    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674096600 │ 26800  │ 18242.489270386268 │ '1.47'  │ '2023-01-19T09:50:00.000Z' │  '-'   │
│   45    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674097200 │  500   │ 18242.489270386268 │ '0.03'  │ '2023-01-19T10:00:00.000Z' │  '-'   │
│   46    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674097500 │ 10000  │ 18242.489270386268 │ '0.55'  │ '2023-01-19T10:05:00.000Z' │  '-'   │
│   47    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674097800 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-19T10:10:00.000Z' │  '-'   │
│   48    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674098100 │ 60100  │ 18242.489270386268 │ '3.29'  │ '2023-01-19T10:15:00.000Z' │  '-'   │
│   49    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674098400 │ 16100  │ 18242.489270386268 │ '0.88'  │ '2023-01-19T10:20:00.000Z' │  '-'   │
│   50    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674099000 │  400   │ 18242.489270386268 │ '0.02'  │ '2023-01-19T10:30:00.000Z' │  '-'   │
│   51    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674099300 │  2200  │ 18242.489270386268 │ '0.12'  │ '2023-01-19T10:35:00.000Z' │  '-'   │
│   52    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674099600 │  1100  │ 18242.489270386268 │ '0.06'  │ '2023-01-19T10:40:00.000Z' │  '-'   │
│   53    │  3  │  3  │ 2.9 │ 2.9 │ 1674099900 │ 18600  │ 18242.489270386268 │ '1.02'  │ '2023-01-19T10:45:00.000Z' │  'up'  │
│   54    │ 2.9 │  3  │ 2.9 │  3  │ 1674100200 │  300   │ 18242.489270386268 │ '0.02'  │ '2023-01-19T10:50:00.000Z' │ 'down' │
│   55    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674100500 │ 49100  │ 18242.489270386268 │ '2.69'  │ '2023-01-19T10:55:00.000Z' │  '-'   │
│   56    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │ 1674100800 │ 13000  │ 18242.489270386268 │ '0.71'  │ '2023-01-19T11:00:00.000Z' │  '-'   │
│   57    │  3  │  3  │  3  │  3  │ 1674101100 │  100   │ 18242.489270386268 │ '0.01'  │ '2023-01-19T11:05:00.000Z' │  '-'   │
