"c","h","l","o","t","v","av","r","date","updown"
2.9,2.9,2.9,2.9,1674007200,600,9959.751037344398,"0.06","2023-01-18T09:00:00.000Z","-"
2.9,2.9,2.9,2.9,1674008100,5000,9959.751037344398,"0.50","2023-01-18T09:15:00.000Z","-"
2.9,2.9,2.9,2.9,1674008700,2000,9959.751037344398,"0.20","2023-01-18T09:25:00.000Z","-"
3,3,3,3,1674009300,100,9959.751037344398,"0.01","2023-01-18T09:35:00.000Z","-"
2.9,2.9,2.9,2.9,1674009900,13900,9959.751037344398,"1.40","2023-01-18T09:45:00.000Z","-"
2.9,2.9,2.8,2.9,1674010200,19100,9959.751037344398,"1.92","2023-01-18T09:50:00.000Z","-"
2.9,2.9,2.9,2.9,1674010500,2000,9959.751037344398,"0.20","2023-01-18T09:55:00.000Z","-"
2.9,2.9,2.9,2.9,1674011100,16500,9959.751037344398,"1.66","2023-01-18T10:05:00.000Z","-"
2.9,2.9,2.9,2.9,1674011400,700,9959.751037344398,"0.07","2023-01-18T10:10:00.000Z","-"
2.9,2.9,2.9,2.9,1674011700,3900,9959.751037344398,"0.39","2023-01-18T10:15:00.000Z","-"
2.9,2.9,2.9,2.9,1674012300,1100,9959.751037344398,"0.11","2023-01-18T10:25:00.000Z","-"
3,3,3,3,1674012900,100,9959.751037344398,"0.01","2023-01-18T10:35:00.000Z","-"
2.9,2.9,2.9,2.9,1674014400,7000,9959.751037344398,"0.70","2023-01-18T11:00:00.000Z","-"
2.9,2.9,2.9,2.9,1674015300,4900,9959.751037344398,"0.49","2023-01-18T11:15:00.000Z","-"
2.9,2.9,2.9,2.9,1674015600,5200,9959.751037344398,"0.52","2023-01-18T11:20:00.000Z","-"
2.9,2.9,2.9,2.9,1674015900,500,9959.751037344398,"0.05","2023-01-18T11:25:00.000Z","-"
2.9,2.9,2.9,2.9,1674021600,300,9959.751037344398,"0.03","2023-01-18T13:00:00.000Z","-"
3,3,2.9,2.9,1674021900,1100,9959.751037344398,"0.11","2023-01-18T13:05:00.000Z","up"
2.9,2.9,2.9,2.9,1674022200,2500,9959.751037344398,"0.25","2023-01-18T13:10:00.000Z","-"
2.9,2.9,2.9,2.9,1674022800,700,9959.751037344398,"0.07","2023-01-18T13:20:00.000Z","-"
2.9,2.9,2.9,2.9,1674023100,5000,9959.751037344398,"0.50","2023-01-18T13:25:00.000Z","-"
2.8,2.9,2.8,2.9,1674023400,25000,9959.751037344398,"2.51","2023-01-18T13:30:00.000Z","down"
