"c","h","l","o","t","v","av","r","date","updown"
8.5,8.5,8.5,8.5,1674007200,5500,27380.511182108625,"0.20","2023-01-18T09:00:00.000Z","-"
8.6,8.6,8.6,8.6,1674007500,100,27380.511182108625,"0.00","2023-01-18T09:05:00.000Z","-"
8.6,8.6,8.6,8.6,1674007800,200,27380.511182108625,"0.01","2023-01-18T09:10:00.000Z","-"
8.5,8.6,8.5,8.6,1674008100,41700,27380.511182108625,"1.52","2023-01-18T09:15:00.000Z","down"
8.5,8.5,8.5,8.5,1674008400,100,27380.511182108625,"0.00","2023-01-18T09:20:00.000Z","-"
8.5,8.6,8.5,8.6,1674008700,5800,27380.511182108625,"0.21","2023-01-18T09:25:00.000Z","down"
8.5,8.5,8.5,8.5,1674009000,43500,27380.511182108625,"1.59","2023-01-18T09:30:00.000Z","-"
8.5,8.5,8.5,8.5,1674009300,5900,27380.511182108625,"0.22","2023-01-18T09:35:00.000Z","-"
8.5,8.5,8.5,8.5,1674009600,55100,27380.511182108625,"2.01","2023-01-18T09:40:00.000Z","-"
8.5,8.5,8.5,8.5,1674009900,6000,27380.511182108625,"0.22","2023-01-18T09:45:00.000Z","-"
8.5,8.5,8.5,8.5,1674010200,10600,27380.511182108625,"0.39","2023-01-18T09:50:00.000Z","-"
8.6,8.6,8.5,8.5,1674010500,900,27380.511182108625,"0.03","2023-01-18T09:55:00.000Z","up"
8.6,8.6,8.6,8.6,1674010800,400,27380.511182108625,"0.01","2023-01-18T10:00:00.000Z","-"
8.5,8.5,8.5,8.5,1674011400,22300,27380.511182108625,"0.81","2023-01-18T10:10:00.000Z","-"
8.6,8.6,8.5,8.5,1674011700,21400,27380.511182108625,"0.78","2023-01-18T10:15:00.000Z","up"
8.6,8.6,8.6,8.6,1674012000,500,27380.511182108625,"0.02","2023-01-18T10:20:00.000Z","-"
8.6,8.6,8.5,8.5,1674012600,1200,27380.511182108625,"0.04","2023-01-18T10:30:00.000Z","up"
8.5,8.6,8.5,8.6,1674012900,300,27380.511182108625,"0.01","2023-01-18T10:35:00.000Z","down"
8.6,8.6,8.6,8.6,1674013200,800,27380.511182108625,"0.03","2023-01-18T10:40:00.000Z","-"
8.6,8.6,8.6,8.6,1674013500,100,27380.511182108625,"0.00","2023-01-18T10:45:00.000Z","-"
