"c","h","l","o","t","v","av","r","date","updown"
9.8,9.8,9.8,9.8,1674007200,200,3044.285714285714,"0.07","2023-01-18T09:00:00.000Z","-"
9.7,9.7,9.7,9.7,1674009600,1000,3044.285714285714,"0.33","2023-01-18T09:40:00.000Z","-"
9.7,9.7,9.7,9.7,1674010500,7200,3044.285714285714,"2.37","2023-01-18T09:55:00.000Z","-"
9.7,9.7,9.7,9.7,1674010800,2000,3044.285714285714,"0.66","2023-01-18T10:00:00.000Z","-"
9.7,9.7,9.7,9.7,1674012000,100,3044.285714285714,"0.03","2023-01-18T10:20:00.000Z","-"
9.6,9.6,9.6,9.6,1674012300,100,3044.285714285714,"0.03","2023-01-18T10:25:00.000Z","-"
9.7,9.7,9.6,9.6,1674013500,1700,3044.285714285714,"0.56","2023-01-18T10:45:00.000Z","up"
9.7,9.7,9.7,9.7,1674014400,100,3044.285714285714,"0.03","2023-01-18T11:00:00.000Z","-"
9.7,9.7,9.7,9.7,1674015000,400,3044.285714285714,"0.13","2023-01-18T11:10:00.000Z","-"
9.8,9.8,9.8,9.8,1674015900,4400,3044.285714285714,"1.45","2023-01-18T11:25:00.000Z","-"
9.7,9.7,9.7,9.7,1674024000,1000,3044.285714285714,"0.33","2023-01-18T13:40:00.000Z","-"
9.7,9.7,9.7,9.7,1674024600,4000,3044.285714285714,"1.31","2023-01-18T13:50:00.000Z","-"
9.7,9.7,9.7,9.7,1674025800,1000,3044.285714285714,"0.33","2023-01-18T14:10:00.000Z","-"
9.7,9.7,9.7,9.7,1674026700,3400,3044.285714285714,"1.12","2023-01-18T14:25:00.000Z","-"
9.7,9.7,9.7,9.7,1674027900,500,3044.285714285714,"0.16","2023-01-18T14:45:00.000Z","-"
9.7,9.7,9.7,9.7,1674094800,500,3044.285714285714,"0.16","2023-01-19T09:20:00.000Z","-"
9.7,9.7,9.7,9.7,1674095400,900,3044.285714285714,"0.30","2023-01-19T09:30:00.000Z","-"
9.7,9.7,9.7,9.7,1674096000,2000,3044.285714285714,"0.66","2023-01-19T09:40:00.000Z","-"
9.7,9.7,9.7,9.7,1674096900,1500,3044.285714285714,"0.49","2023-01-19T09:55:00.000Z","-"
9.7,9.7,9.7,9.7,1674097200,5600,3044.285714285714,"1.84","2023-01-19T10:00:00.000Z","-"
9.7,9.7,9.7,9.7,1674097500,10800,3044.285714285714,"3.55","2023-01-19T10:05:00.000Z","-"
9.7,9.7,9.7,9.7,1674097800,2000,3044.285714285714,"0.66","2023-01-19T10:10:00.000Z","-"
9.7,9.7,9.7,9.7,1674098700,100,3044.285714285714,"0.03","2023-01-19T10:25:00.000Z","-"
9.7,9.7,9.7,9.7,1674100500,500,3044.285714285714,"0.16","2023-01-19T10:55:00.000Z","-"
9.7,9.7,9.7,9.7,1674100800,100,3044.285714285714,"0.03","2023-01-19T11:00:00.000Z","-"
9.6,9.6,9.6,9.6,1674101400,5100,3044.285714285714,"1.68","2023-01-19T11:10:00.000Z","-"
9.7,9.7,9.7,9.7,1674108900,600,3044.285714285714,"0.20","2023-01-19T13:15:00.000Z","-"
9.7,9.7,9.7,9.7,1674109200,3600,3044.285714285714,"1.18","2023-01-19T13:20:00.000Z","-"
9.7,9.7,9.7,9.7,1674109500,700,3044.285714285714,"0.23","2023-01-19T13:25:00.000Z","-"
9.7,9.7,9.7,9.7,1674109800,2400,3044.285714285714,"0.79","2023-01-19T13:30:00.000Z","-"
9.7,9.7,9.7,9.7,1674111000,1300,3044.285714285714,"0.43","2023-01-19T13:50:00.000Z","-"
9.7,9.7,9.7,9.7,1674111600,1000,3044.285714285714,"0.33","2023-01-19T14:00:00.000Z","-"
9.7,9.7,9.7,9.7,1674111900,4000,3044.285714285714,"1.31","2023-01-19T14:05:00.000Z","-"
9.7,9.7,9.7,9.7,1674112200,2400,3044.285714285714,"0.79","2023-01-19T14:10:00.000Z","-"
9.7,9.7,9.7,9.7,1674112500,100,3044.285714285714,"0.03","2023-01-19T14:15:00.000Z","-"
9.8,9.8,9.8,9.8,1674112800,100,3044.285714285714,"0.03","2023-01-19T14:20:00.000Z","-"
9.8,9.8,9.7,9.8,1674113100,5600,3044.285714285714,"1.84","2023-01-19T14:25:00.000Z","-"
9.8,9.8,9.8,9.8,1674114300,2200,3044.285714285714,"0.72","2023-01-19T14:45:00.000Z","-"
9.8,9.8,9.8,9.8,1674785100,100,3044.285714285714,"0.03","2023-01-27T09:05:00.000Z","-"
