"c","h","l","o","t","v","av","r","date","updown"
19.4,19.5,19.4,19.5,1674007200,200,785.0746268656717,"0.25","2023-01-18T09:00:00.000Z","down"
19.3,19.3,19.3,19.3,1674007800,200,785.0746268656717,"0.25","2023-01-18T09:10:00.000Z","-"
19.3,19.3,19.3,19.3,1674008100,400,785.0746268656717,"0.51","2023-01-18T09:15:00.000Z","-"
19.3,19.3,19.3,19.3,1674008700,600,785.0746268656717,"0.76","2023-01-18T09:25:00.000Z","-"
19.3,19.3,19.3,19.3,1674010200,600,785.0746268656717,"0.76","2023-01-18T09:50:00.000Z","-"
19.3,19.3,19.3,19.3,1674010500,200,785.0746268656717,"0.25","2023-01-18T09:55:00.000Z","-"
19.2,19.2,19.2,19.2,1674012300,5000,785.0746268656717,"6.37","2023-01-18T10:25:00.000Z","-"
19.2,19.2,19.2,19.2,1674015300,200,785.0746268656717,"0.25","2023-01-18T11:15:00.000Z","-"
19.2,19.2,19.2,19.2,1674015900,100,785.0746268656717,"0.13","2023-01-18T11:25:00.000Z","-"
19.1,19.1,19.1,19.1,1674022200,1100,785.0746268656717,"1.40","2023-01-18T13:10:00.000Z","-"
19.1,19.1,19.1,19.1,1674022500,600,785.0746268656717,"0.76","2023-01-18T13:15:00.000Z","-"
19.1,19.1,19.1,19.1,1674022800,1300,785.0746268656717,"1.66","2023-01-18T13:20:00.000Z","-"
19.1,19.1,19.1,19.1,1674024000,200,785.0746268656717,"0.25","2023-01-18T13:40:00.000Z","-"
19.1,19.1,19,19,1674024300,1900,785.0746268656717,"2.42","2023-01-18T13:45:00.000Z","up"
19.1,19.1,19.1,19.1,1674024600,1100,785.0746268656717,"1.40","2023-01-18T13:50:00.000Z","-"
19.3,19.3,19.3,19.3,1674028500,100,785.0746268656717,"0.13","2023-01-18T14:55:00.000Z","-"
19.3,19.3,19.3,19.3,1674093600,100,785.0746268656717,"0.13","2023-01-19T09:00:00.000Z","-"
19.3,19.3,19.3,19.3,1674094200,200,785.0746268656717,"0.25","2023-01-19T09:10:00.000Z","-"
19.3,19.3,19.3,19.3,1674098100,100,785.0746268656717,"0.13","2023-01-19T10:15:00.000Z","-"
19.3,19.3,19.3,19.3,1674099600,400,785.0746268656717,"0.51","2023-01-19T10:40:00.000Z","-"
19.3,19.3,19.3,19.3,1674100800,300,785.0746268656717,"0.38","2023-01-19T11:00:00.000Z","-"
19.3,19.3,19.3,19.3,1674102300,100,785.0746268656717,"0.13","2023-01-19T11:25:00.000Z","-"
19.3,19.3,19.3,19.3,1674110700,100,785.0746268656717,"0.13","2023-01-19T13:45:00.000Z","-"
19.4,19.4,19.4,19.4,1674114900,600,785.0746268656717,"0.76","2023-01-19T14:55:00.000Z","-"
19.4,19.4,19.4,19.4,1674784800,600,785.0746268656717,"0.76","2023-01-27T09:00:00.000Z","-"
19.4,19.4,19.4,19.4,1674785400,200,785.0746268656717,"0.25","2023-01-27T09:10:00.000Z","-"
19.4,19.4,19.4,19.4,1674788400,700,785.0746268656717,"0.89","2023-01-27T10:00:00.000Z","-"
19.4,19.4,19.4,19.4,1674790500,900,785.0746268656717,"1.15","2023-01-27T10:35:00.000Z","-"
19.4,19.4,19.4,19.4,1674792600,500,785.0746268656717,"0.64","2023-01-27T11:10:00.000Z","-"
19.4,19.4,19.4,19.4,1674799800,100,785.0746268656717,"0.13","2023-01-27T13:10:00.000Z","-"
19.4,19.4,19.4,19.4,1674800400,500,785.0746268656717,"0.64","2023-01-27T13:20:00.000Z","-"
19.7,19.7,19.7,19.7,1674806100,600,785.0746268656717,"0.76","2023-01-27T14:55:00.000Z","-"
19.8,19.8,19.7,19.7,1675044000,2000,785.0746268656717,"2.55","2023-01-30T09:00:00.000Z","up"
19.7,19.8,19.7,19.8,1675044300,6100,785.0746268656717,"7.77","2023-01-30T09:05:00.000Z","down"
19.7,19.7,19.7,19.7,1675044600,200,785.0746268656717,"0.25","2023-01-30T09:10:00.000Z","-"
19.7,19.7,19.7,19.7,1675045800,300,785.0746268656717,"0.38","2023-01-30T09:30:00.000Z","-"
19.7,19.7,19.7,19.7,1675047600,100,785.0746268656717,"0.13","2023-01-30T10:00:00.000Z","-"
19.7,19.7,19.7,19.7,1675050000,100,785.0746268656717,"0.13","2023-01-30T10:40:00.000Z","-"
19.6,19.6,19.6,19.6,1675059600,1200,785.0746268656717,"1.53","2023-01-30T13:20:00.000Z","-"
19.6,19.6,19.6,19.6,1675059900,700,785.0746268656717,"0.89","2023-01-30T13:25:00.000Z","-"
19.6,19.6,19.6,19.6,1675060500,1600,785.0746268656717,"2.04","2023-01-30T13:35:00.000Z","-"
19.6,19.6,19.6,19.6,1675061100,1500,785.0746268656717,"1.91","2023-01-30T13:45:00.000Z","-"
19.6,19.6,19.6,19.6,1675061400,1200,785.0746268656717,"1.53","2023-01-30T13:50:00.000Z","-"
19.6,19.6,19.6,19.6,1675061700,2600,785.0746268656717,"3.31","2023-01-30T13:55:00.000Z","-"
