"c","h","l","o","t","v","av","r","date","updown"
54,54,54,54,1674022500,100,600,"0.17","2023-01-18T13:15:00.000Z","-"
54,54,54,54,1674024300,100,600,"0.17","2023-01-18T13:45:00.000Z","-"
55.6,55.6,55.6,55.6,1674027000,100,600,"0.17","2023-01-18T14:30:00.000Z","-"
55.7,55.7,55.7,55.7,1674027600,200,600,"0.33","2023-01-18T14:40:00.000Z","-"
55.6,55.9,55.6,55.9,1674093600,2000,600,"3.33","2023-01-19T09:00:00.000Z","down"
59,59,59,59,1674094500,1000,600,"1.67","2023-01-19T09:15:00.000Z","-"
52,53,52,53,1674100500,4000,600,"6.67","2023-01-19T10:55:00.000Z","down"
50.6,50.6,50.6,50.6,1674101100,100,600,"0.17","2023-01-19T11:05:00.000Z","-"
54.8,54.8,54.8,54.8,1674113400,100,600,"0.17","2023-01-19T14:30:00.000Z","-"
54.6,54.6,54.6,54.6,1674785100,200,600,"0.33","2023-01-27T09:05:00.000Z","-"
58.9,58.9,58.9,58.9,1674787800,2000,600,"3.33","2023-01-27T09:50:00.000Z","-"
58.9,58.9,58.9,58.9,1674788400,1000,600,"1.67","2023-01-27T10:00:00.000Z","-"
59,59,59,59,1675044000,200,600,"0.33","2023-01-30T09:00:00.000Z","-"
57.3,57.3,53,53,1675135200,200,600,"0.33","2023-01-31T10:20:00.000Z","up"
53.2,53.2,53.2,53.2,1675135500,100,600,"0.17","2023-01-31T10:25:00.000Z","-"
57,57,57,57,1675136100,100,600,"0.17","2023-01-31T10:35:00.000Z","-"
55,55,55,55,1675137000,100,600,"0.17","2023-01-31T10:50:00.000Z","-"
56.9,56.9,56.9,56.9,1675137300,100,600,"0.17","2023-01-31T10:55:00.000Z","-"
56.9,56.9,56.9,56.9,1675138800,100,600,"0.17","2023-01-31T11:20:00.000Z","-"
57,57,57,57,1675139100,300,600,"0.50","2023-01-31T11:25:00.000Z","-"
57,57,57,57,1675144800,200,600,"0.33","2023-01-31T13:00:00.000Z","-"
58.5,58.5,57.5,57.5,1675151700,1500,600,"2.50","2023-01-31T14:55:00.000Z","up"
57.5,57.5,57.5,57.5,1675217400,100,600,"0.17","2023-02-01T09:10:00.000Z","-"
56.2,56.4,56.2,56.4,1675235100,500,600,"0.83","2023-02-01T14:05:00.000Z","down"
