"c","h","l","o","t","v","av","r","date","updown"
86.2,86.2,86.2,86.2,1674008100,12000,1038.7931034482758,"11.55","2023-01-18T09:15:00.000Z","-"
86.4,86.6,86.4,86.6,1674008700,3000,1038.7931034482758,"2.89","2023-01-18T09:25:00.000Z","down"
88,88,88,88,1674021600,200,1038.7931034482758,"0.19","2023-01-18T13:00:00.000Z","-"
87.9,87.9,87.9,87.9,1674022200,100,1038.7931034482758,"0.10","2023-01-18T13:10:00.000Z","-"
87.5,87.5,87.5,87.5,1674023400,600,1038.7931034482758,"0.58","2023-01-18T13:30:00.000Z","-"
87.5,87.5,87.5,87.5,1674024600,100,1038.7931034482758,"0.10","2023-01-18T13:50:00.000Z","-"
87.5,87.5,87.5,87.5,1674025500,400,1038.7931034482758,"0.39","2023-01-18T14:05:00.000Z","-"
87.9,87.9,87.9,87.9,1674026100,100,1038.7931034482758,"0.10","2023-01-18T14:15:00.000Z","-"
87.9,87.9,87.9,87.9,1674026400,300,1038.7931034482758,"0.29","2023-01-18T14:20:00.000Z","-"
87.5,87.5,87.5,87.5,1674027900,1000,1038.7931034482758,"0.96","2023-01-18T14:45:00.000Z","-"
87.5,87.5,87.5,87.5,1674094500,1000,1038.7931034482758,"0.96","2023-01-19T09:15:00.000Z","-"
88,88,88,88,1674095700,400,1038.7931034482758,"0.39","2023-01-19T09:35:00.000Z","-"
88.5,88.5,88.5,88.5,1674096000,100,1038.7931034482758,"0.10","2023-01-19T09:40:00.000Z","-"
89,89,88.5,88.5,1674097200,1200,1038.7931034482758,"1.16","2023-01-19T10:00:00.000Z","up"
89,89,89,89,1674097500,700,1038.7931034482758,"0.67","2023-01-19T10:05:00.000Z","-"
89,89,89,89,1674099300,100,1038.7931034482758,"0.10","2023-01-19T10:35:00.000Z","-"
89,89,89,89,1674100500,800,1038.7931034482758,"0.77","2023-01-19T10:55:00.000Z","-"
88.6,88.6,88.6,88.6,1674102300,100,1038.7931034482758,"0.10","2023-01-19T11:25:00.000Z","-"
89,89,89,89,1674108000,100,1038.7931034482758,"0.10","2023-01-19T13:00:00.000Z","-"
88.5,88.5,88.5,88.5,1674108300,200,1038.7931034482758,"0.19","2023-01-19T13:05:00.000Z","-"
88.4,88.4,88.4,88.4,1674108600,100,1038.7931034482758,"0.10","2023-01-19T13:10:00.000Z","-"
88.4,89,88.4,89,1674109200,300,1038.7931034482758,"0.29","2023-01-19T13:20:00.000Z","down"
89,89,89,89,1674110400,300,1038.7931034482758,"0.29","2023-01-19T13:40:00.000Z","-"
89.1,89.1,89.1,89.1,1674111000,100,1038.7931034482758,"0.10","2023-01-19T13:50:00.000Z","-"
89.4,89.4,89.3,89.3,1674111300,400,1038.7931034482758,"0.39","2023-01-19T13:55:00.000Z","up"
89.4,89.4,89.4,89.4,1674111600,300,1038.7931034482758,"0.29","2023-01-19T14:00:00.000Z","-"
89.4,89.4,89.4,89.4,1674112200,2400,1038.7931034482758,"2.31","2023-01-19T14:10:00.000Z","-"
88.6,88.6,88.6,88.6,1674113100,1500,1038.7931034482758,"1.44","2023-01-19T14:25:00.000Z","-"
89.4,89.4,89.4,89.4,1674114300,300,1038.7931034482758,"0.29","2023-01-19T14:45:00.000Z","-"
91,91,90,90,1674785700,7000,1038.7931034482758,"6.74","2023-01-27T09:15:00.000Z","up"
92,92,91.2,91.2,1674786000,700,1038.7931034482758,"0.67","2023-01-27T09:20:00.000Z","up"
91.5,91.5,91.5,91.5,1674786300,200,1038.7931034482758,"0.19","2023-01-27T09:25:00.000Z","-"
91.5,91.5,91.5,91.5,1674786600,500,1038.7931034482758,"0.48","2023-01-27T09:30:00.000Z","-"
91.6,91.6,91.6,91.6,1674786900,7300,1038.7931034482758,"7.03","2023-01-27T09:35:00.000Z","-"
92.6,92.6,92,92,1674787200,900,1038.7931034482758,"0.87","2023-01-27T09:40:00.000Z","up"
92.6,92.6,92.6,92.6,1674787500,100,1038.7931034482758,"0.10","2023-01-27T09:45:00.000Z","-"
92.5,92.5,92.5,92.5,1674788100,500,1038.7931034482758,"0.48","2023-01-27T09:55:00.000Z","-"
92,92,92,92,1674789000,2900,1038.7931034482758,"2.79","2023-01-27T10:10:00.000Z","-"
92,92,92,92,1674789300,100,1038.7931034482758,"0.10","2023-01-27T10:15:00.000Z","-"
92,92,92,92,1674789900,200,1038.7931034482758,"0.19","2023-01-27T10:25:00.000Z","-"
92,92,92,92,1674790200,100,1038.7931034482758,"0.10","2023-01-27T10:30:00.000Z","-"
92.3,92.3,92.3,92.3,1674790500,200,1038.7931034482758,"0.19","2023-01-27T10:35:00.000Z","-"
92.2,92.2,92.2,92.2,1674791700,500,1038.7931034482758,"0.48","2023-01-27T10:55:00.000Z","-"
92.5,92.5,92.5,92.5,1674792000,300,1038.7931034482758,"0.29","2023-01-27T11:00:00.000Z","-"
92.6,92.6,92.5,92.5,1674792600,600,1038.7931034482758,"0.58","2023-01-27T11:10:00.000Z","up"
92.6,92.6,92.6,92.6,1674793200,100,1038.7931034482758,"0.10","2023-01-27T11:20:00.000Z","-"
92,92.5,92,92.5,1674799200,1300,1038.7931034482758,"1.25","2023-01-27T13:00:00.000Z","down"
92.7,92.7,92.3,92.3,1674800400,1000,1038.7931034482758,"0.96","2023-01-27T13:20:00.000Z","up"
93,93,92.8,92.8,1674800700,3700,1038.7931034482758,"3.56","2023-01-27T13:25:00.000Z","up"
93.3,93.3,92.5,92.6,1674801000,600,1038.7931034482758,"0.58","2023-01-27T13:30:00.000Z","up"
92,92.6,92,92.6,1674801600,4000,1038.7931034482758,"3.85","2023-01-27T13:40:00.000Z","down"
93.2,93.2,93.2,93.2,1674801900,100,1038.7931034482758,"0.10","2023-01-27T13:45:00.000Z","-"
93.2,93.2,93.2,93.2,1674802500,100,1038.7931034482758,"0.10","2023-01-27T13:55:00.000Z","-"
92.9,92.9,92.9,92.9,1674802800,100,1038.7931034482758,"0.10","2023-01-27T14:00:00.000Z","-"
92.9,92.9,92.9,92.9,1674804000,100,1038.7931034482758,"0.10","2023-01-27T14:20:00.000Z","-"
93.1,93.1,93.1,93.1,1674805500,2400,1038.7931034482758,"2.31","2023-01-27T14:45:00.000Z","-"
94.9,94.9,94.5,94.5,1675044900,600,1038.7931034482758,"0.58","2023-01-30T09:15:00.000Z","up"
94.6,94.6,94.6,94.6,1675045200,100,1038.7931034482758,"0.10","2023-01-30T09:20:00.000Z","-"
94,94,93.6,93.6,1675045500,800,1038.7931034482758,"0.77","2023-01-30T09:25:00.000Z","up"
94,94,94,94,1675045800,500,1038.7931034482758,"0.48","2023-01-30T09:30:00.000Z","-"
93.8,94,93.8,94,1675046100,400,1038.7931034482758,"0.39","2023-01-30T09:35:00.000Z","down"
94,94,94,94,1675047000,1300,1038.7931034482758,"1.25","2023-01-30T09:50:00.000Z","-"
93.8,94,93.8,94,1675047600,3700,1038.7931034482758,"3.56","2023-01-30T10:00:00.000Z","down"
93.7,93.8,93.7,93.8,1675048200,800,1038.7931034482758,"0.77","2023-01-30T10:10:00.000Z","down"
93.6,94,93.6,93.7,1675048500,2000,1038.7931034482758,"1.93","2023-01-30T10:15:00.000Z","down"
93.6,93.7,93.6,93.7,1675048800,300,1038.7931034482758,"0.29","2023-01-30T10:20:00.000Z","down"
93.6,93.6,93.6,93.6,1675049400,100,1038.7931034482758,"0.10","2023-01-30T10:30:00.000Z","-"
93.5,93.5,93.5,93.5,1675050900,400,1038.7931034482758,"0.39","2023-01-30T10:55:00.000Z","-"
93.5,93.5,93.5,93.5,1675051200,700,1038.7931034482758,"0.67","2023-01-30T11:00:00.000Z","-"
93.5,93.5,93.5,93.5,1675051500,300,1038.7931034482758,"0.29","2023-01-30T11:05:00.000Z","-"
94,94,93.8,93.8,1675059000,700,1038.7931034482758,"0.67","2023-01-30T13:10:00.000Z","up"
94.3,94.3,94,94,1675059300,11200,1038.7931034482758,"10.78","2023-01-30T13:15:00.000Z","up"
94.5,94.5,94.3,94.3,1675059600,200,1038.7931034482758,"0.19","2023-01-30T13:20:00.000Z","up"
94,94,94,94,1675060200,500,1038.7931034482758,"0.48","2023-01-30T13:30:00.000Z","-"
94,94.3,94,94.3,1675060800,1500,1038.7931034482758,"1.44","2023-01-30T13:40:00.000Z","down"
94.5,94.5,94,94,1675062000,1000,1038.7931034482758,"0.96","2023-01-30T14:00:00.000Z","up"
94.2,94.2,94.2,94.2,1675062600,100,1038.7931034482758,"0.10","2023-01-30T14:10:00.000Z","-"
94.2,94.2,93.9,94.2,1675063500,1300,1038.7931034482758,"1.25","2023-01-30T14:25:00.000Z","-"
95,95,94.2,94.2,1675131300,300,1038.7931034482758,"0.29","2023-01-31T09:15:00.000Z","up"
93.2,93.2,93.2,93.2,1675132500,1000,1038.7931034482758,"0.96","2023-01-31T09:35:00.000Z","-"
94.4,94.4,94.2,94.2,1675132800,500,1038.7931034482758,"0.48","2023-01-31T09:40:00.000Z","up"
94.2,94.2,94.1,94.1,1675134000,400,1038.7931034482758,"0.39","2023-01-31T10:00:00.000Z","up"
93.2,93.2,93.2,93.2,1675134300,100,1038.7931034482758,"0.10","2023-01-31T10:05:00.000Z","-"
93.2,93.2,93.2,93.2,1675135200,900,1038.7931034482758,"0.87","2023-01-31T10:20:00.000Z","-"
93.2,93.2,93.2,93.2,1675135500,100,1038.7931034482758,"0.10","2023-01-31T10:25:00.000Z","-"
93.4,93.4,93.4,93.4,1675136700,500,1038.7931034482758,"0.48","2023-01-31T10:45:00.000Z","-"
93.8,93.8,93.8,93.8,1675138200,100,1038.7931034482758,"0.10","2023-01-31T11:10:00.000Z","-"
93.4,93.4,93.4,93.4,1675139400,500,1038.7931034482758,"0.48","2023-01-31T11:30:00.000Z","-"
93.3,93.3,93.3,93.3,1675144800,100,1038.7931034482758,"0.10","2023-01-31T13:00:00.000Z","-"
93.2,93.3,93.2,93.3,1675145100,1200,1038.7931034482758,"1.16","2023-01-31T13:05:00.000Z","down"
93.5,93.5,93.4,93.4,1675145400,1600,1038.7931034482758,"1.54","2023-01-31T13:10:00.000Z","up"
94,94,93.6,93.6,1675145700,2200,1038.7931034482758,"2.12","2023-01-31T13:15:00.000Z","up"
94.1,94.1,94.1,94.1,1675146000,200,1038.7931034482758,"0.19","2023-01-31T13:20:00.000Z","-"
