20230223 DHG 0 0 0  200
20230223 DHG -1100 -107800000 0 1100 1100
20230223 DHG -13600 -1332930000 68600000 5000 5000
20230223 DHG -14200 -1391730000 68600000 600 600
20230223 DHG -16200 -1587730000 68600000 2000 2000
20230223 DHG -1700 -166660000 0 600 600
20230223 DHG -17200 -1685730000 68600000 1000 1000
20230223 DHG -26200 -2565840000 68600000 9000 9000
20230223 DHG -27200 -2663340000 68600000 1000 1000
20230223 DHG -27300 -2673090000 68600000 100 100
20230223 DHG -28700 -2809590000 68600000 1400 1400
20230223 DHG -3100 -303950000 0 1400 1400
20230223 DHG -31700 -3102010000 78440000 100 200
20230223 DHG -31700 -3102090000 68600000 3000 3000
20230223 DHG -32700 -3199620000 78440000 1000 1000
20230223 DHG -33100 -3238630000 78440000 400 400
20230223 DHG -34700 -3394630000 78440000 1600 1600
20230223 DHG -34800 -3404380000 78440000 100 100
20230223 DHG -3500 -343150000 0 400 400
20230223 DHG -4000 -392150000 0 500 500
20230223 DHG -5500 -539150000 0 1500 1500
20230223 DHG -5600 -548950000 0 100 100
20230223 DHG -6300 -617530000 68600000 100 800
20230223 DHG -6700 -656730000 68600000 400 400
20230223 DHG -6700 -656750000 0 1100 1100
20230223 DHG -6800 -666530000 68600000 100 100
20230223 DHG -6800 -666540000 0 100 100
20230223 DHG -6900 -676330000 0 100 100
20230223 DHG -7300 -715530000 68600000 500 500
20230223 DHG -8400 -823330000 68600000 1100 1100
20230223 DHG -8500 -833130000 68600000 100 100
20230223 DHG -8600 -842930000 68600000 100 100
20230223 DHG "acum_busd" "acum_busd_val" "acum_val_bu" "sd" "sum_vol"
