20221212 PVD 771500 13589405000 72928510000 1015515000 
20221212 PVD 772100 13599935000 73672630000 377325000 366795000
20221212 PVD 85600 1762140000 117665785000 131100000 277025000
20221212 PVD 87300 1787575000 115492000000 174995000 3990170000
20221212 PVD 94100 1908065000 117257660000 551305000 67205000
20221212 PVD "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221213 PVD -10400 -138385000 43034920000 146850000 115150000
20221213 PVD 105600 1786205000.0000002 45263430000 1460990000.0000002 28135000
20221213 PVD -105900 -1716300000 12398385000 204600000 27965000
20221213 PVD -106000 -1718140000 37129125000 16400000 729390000
20221213 PVD -106400 -1652190000 65215465000 190665000 42920000
20221213 PVD -107100 -1735975000 12550310000 66125000 85800000
20221213 PVD 108000 1841400000 52621785000 41500000 544495000
20221213 PVD -109500 -1775365000 37186350000  57225000.00000001
20221213 PVD 112100 1908950000 57416465000 56100000 212850000
20221213 PVD 112500 1915550000 57423065000 6600000 
20221213 PVD -113000 -1761310000 65580215000 127815000 236935000
20221213 PVD 114500 1934615000.0000002 45721180000 38295000 76550000
20221213 PVD -115300 -1799935000 64981880000 910100000 37835000
20221213 PVD -116000 -1891300000 17282115000 68585000 485405000
20221213 PVD -116600 -1892935000 12165820000 394350000 1645000
20221213 PVD 116800 1972870000.0000002 45606335000 264785000 78120000
20221213 PVD 117600 1999680000 56946195000 760890000 94050000
20221213 PVD 121600 2065700000 57147515000 133670000 67650000
20221213 PVD -122400 -1989200000 35366485000 344790000 
20221213 PVD -12300 -170085000 42772920000 191400000 101990000
20221213 PVD -130600 -2124535000 10552210000 505655000 288420000
20221213 PVD -137700 -2241435000 10963310000 147100000 264000000
20221213 PVD 138400 2344395000 52035790000 31820000 1136520000
20221213 PVD -140400 -2285640000 11769825000 42900000 3290000
20221213 PVD -142800 -2325250000 11723635000 204600000 108570000
20221213 PVD -143400 -2333990000 35021695000 994589999.9999999 118079999.99999999
20221213 PVD -143800 -2341770000 9758135000 363010000 231030000
20221213 PVD -14400 -193080000 14133065000 944170000 3330000
20221213 PVD -147700 -2406430000 11174515000 23105000 188100000
20221213 PVD -148600 -2421280000 11410465000 110550000 125400000
20221213 PVD -15100 -118125000 69527930000 1477410000 603160000
20221213 PVD -151800 -2473750000 9164095000 319795000 1990350000
20221213 PVD -152900 -2489400000 28067805000 41375000 
20221213 PVD -155400 -2530775000 28026430000 33100000 
20221213 PVD -157400 -2563875000 27993330000 11585000 
20221213 PVD -158100 -2575460000 27981745000 761300000 19860000
20221213 PVD -158200 -2576850000 28155255000  87450000
20221213 PVD 16300 303350000 43591905000 499360000 57625000
20221213 PVD -164300 -2607700000 63103365000 420300000 3127005000
20221213 PVD -168000 -2738200000 29201205000 99000000 
20221213 PVD -168200 -2672200000 64033945000 433040000 497540000
