20221212 VNM -236800 -18640420000 83893890000  735580000
20221212 VNM -237300 -18669040000 120464530000 190560000 238190000
20221212 VNM -237500 -18694810000 85387900000 719810000 774200000
20221212 VNM -237800 -18719090000 91822220000 254400000 1135420000
20221212 VNM -239100 -18811600000 121179490000 286200000 277900000.00000006
20221212 VNM -239200 -18819900000 120615390000  150860000.00000003
20221212 VNM -239300 -18825790000 125343580000 675750000 889280000
20221212 VNM -242500 -19091230000 94323820000 540600000 174680000
20221212 VNM -243100 -19135620000 101325890000 1476840000 1221220000
20221212 VNM -245600 -19464850000 51622600000 1532600000 1080930000
20221212 VNM -246300 -19391240000 98627830000 405240000 214380000.00000003
20221212 VNM -246900 -19439930000 95721920000 524700000 873400000
20221212 VNM -247100 -19457150000 93608540000 420840000 119000000
20221212 VNM -248700 -19582100000 98008210000 532080000 103090000
20221212 VNM -250100 -19817500000 54319760000 1168310000 1520960000
20221212 VNM -250900 -19758990000 93068700000 103290000 1143190000
20221212 VNM -251300 -19916520000 49009070000 2015000000 9076090000
20221212 VNM -254100 -20011090000 97373040000 476400000 364780000
20221212 VNM -255500 -20122710000 96531860000 63580000 746360000
20221212 VNM -265100 -20865490000 140625380000 658190000 435600000
20221212 VNM -266500 -21109590000 55911870000 150010000 1442100000
20221212 VNM -267900 -21088080000 139531590000 713700000 364320000
20221212 VNM -272300 -21431160000 148996630000 365390000 214130000
20221212 VNM -272300 -21437460000 138453570000 1030900000 142690000
20221212 VNM -272700 -21471440000 134490090000 1517030000 5324380000
20221212 VNM -272800 -21474280000 143501190000 855960000 403820000
20221212 VNM -274200 -21582420000 148417110000 1000440000 745420000
20221212 VNM -275600 -21695770000 144641940000 459630000 681120000
20221212 VNM -277400 -21837440000 146671250000 943820000 420210000
20221212 VNM -278500 -21926420000 142241410000 277550000 1338480000
20221212 VNM -283500 -22325670000 137279980000 967830000 1822060000
20221212 VNM -284000 -22361050000 145307220000  665280000
20221212 VNM -288300 -22699800000 150535210000 134970000 1403610000
20221212 VNM -351500 -27702820000 156615350000 538560000 5541580000
20221212 VNM -36000 -2880740000 3795840000 104270000 2591710000
20221212 VNM -363700 -28665840000 160933870000 609740000 458780000
20221212 VNM -365600 -28816800000 159865350000 1068010000 2181990000
20221212 VNM -370100 -29166900000 168034570000 950400000 553700000
20221212 VNM -370700 -29213360000 169665030000 792000000 838459999.9999999
20221212 VNM -370800 -29219190000 172965580000 934560000 798910000
20221212 VNM -372500 -29354840000 171232110000 712800000 854280000
20221212 VNM -375100 -29563600000 166530470000 1827360000 1745950000
20221212 VNM -376100 -29645010000 162957160000 522059999.99999994 1501230000
20221212 VNM -39200 -3121150000 16724530000 2207380000 637720000
20221212 VNM -404700 -31898170000 175644560000  2678980000
20221212 VNM -43100 -3442800000 7492740000 1351960000 367530000
20221212 VNM -434500 -34252050000 178504680000 253119999.99999997 2607000000
20221212 VNM -43600 -3470740000 18541780000 733830000 1083420000
20221212 VNM -447900 -35308580000 185961310000 2654950000 1073530000
20221212 VNM -459600 -36232380000 187676110000 395500000 1319300000
20221212 VNM -467900 -36890000000 182232830000 545100000 3183050000
20221212 VNM -47000 -3753040000 9639280000 918150000 1228390000
20221212 VNM -470500 -37092830000 189564520000 513980000 1374430000
20221212 VNM -487700 -38449600000 191411090000 244900000 1601670000
20221212 VNM -4900 -393300000 1099860000 321160000 168420000
20221212 VNM -511900 -40355940000 198830750000 1832800000 568090000
20221212 VNM -516800 -40744860000 194954430000 624040000 2919300000
20221212 VNM -524800 -41375000000 199849810000  1019060000
20221212 VNM -527900 -41620650000 196429860000 299820000 1175610000
20221212 VNM -529600 -41752950000 201444360000 608300000 986250000
20221212 VNM -55400 -4427230000 5773250000 215460000 1761950000
20221212 VNM -56800 -4521780000 19911720000 135540000 1186580000
20221212 VNM -573800 -45240570000 205153180000 110600000 3598220000
20221212 VNM -58800 -4690810000 13879430000 877800000 302860000
20221212 VNM -65200 -5189660000 21727440000 573920000 1241800000
20221212 VNM -66000 -5265750000 12698770000 430390000 246830000
20221212 VNM -674100 -53144810000 214405330000 662120000 8566360000
20221212 VNM -6800 -546040000 610280000 32120000 578160000
20221212 VNM -68300 -5449310000 12021550000 343000000 2039270000
20221212 VNM -729000 -57461600000 219785230000 527620000 4844410000
20221212 VNM -774800 -61057250000 223962520000 290820000 3886470000
20221212 VNM -788700 -62147090000 229340860000 1224630000 651320000
20221212 VNM -796000 -62720400000 227464910000 919620000 2582770000
20221212 VNM -805200 -63441330000 231225090000 259670000 1553910000
20221212 VNM -806100 -63512420000 232539340000 621580000 692670000
20221212 VNM "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221213 VNM -101400 -7906520000 40128440000 374950000 2583610000
20221213 VNM -101800 -7799470000 214889670000 1409900000 1259620000
20221213 VNM -103700 -7949750000 212220150000 1191870000.0000002 1120320000
20221213 VNM -104600 -8021300000 209907960000 1168500000 785780000
20221213 VNM -105200 -8060210000 220642950000 1415890000 2074190000
20221213 VNM -105500 -8107560000 181068540000 657600000 1499520000
20221213 VNM -108500 -8458660000 43273500000 1296460000 1848600000
20221213 VNM -109500 -8404020000 207953680000 2945480000 902540000
20221213 VNM -11300 -873650000 21668070000 988260000 807420000
20221213 VNM -113500 -8847800000 45302880000 820120000 1209260000
20221213 VNM -114200 -8901870000 46184810000 413930000 468000000
20221213 VNM 115600 9246000000 255068150000 3830380000 258720000
20221213 VNM -115900 -8886340000 230476260000 1355940000 863430000
20221213 VNM -116700 -8991480000 175744500000 2687560000 861460000
20221213 VNM -118800 -9260200000 47277280000 367070000 725400000
20221213 VNM -120000 -9226220000 202027660000 912600000 747910000
20221213 VNM -122100 -9390910000 200367150000 4056000000 404820000
20221213 VNM -122200 -9378850000 228249110000 2382550000 1451910000
20221213 VNM -124300 -9688590000 48658490000 476410000 904800000
