┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 11.9  │ 11.9  │ 11.9  │ 11.9  │ 100 │ 1190000 │    100    │   100   │ 1190000  │  1190000  │ 1673601360000 │ '2023-01-13T09:16:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 172.7 │ 863.6 │ 9.1 │ 11  │   0   │     0     │ 2051818.2  │ 10150909.1 │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 11.9  │ 11.9  │ 11.9  │ 11.9  │     │         │    200    │   100   │ 1190000  │  2380000  │ 1673601480000 │ '2023-01-13T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 172.7 │ 863.6 │ 9.1 │     │  100  │  1190000  │ 2051818.2  │ 10150909.1 │    100    │    1190000    │   1190000   │      0      │  0.1  │ 100  │ 1190000  │ 0.6 │      │          │     │
│    2    │ 11.7  │ 11.7  │ 11.7  │ 11.7  │     │         │    300    │   100   │ 1170000  │  3550000  │ 1673603280000 │ '2023-01-13T09:48:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 172.7 │ 863.6 │ 9.1 │     │ -100  │ -1170000  │ 2051818.2  │ 10150909.1 │     0     │     20000     │   1190000   │   1170000   │  0.1  │      │          │     │ 100  │ 1170000  │ 0.1 │
│    3    │ 11.7  │ 11.7  │ 11.7  │ 11.7  │     │         │    500    │   200   │ 2340000  │  5890000  │ 1673603400000 │ '2023-01-13T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 172.7 │ 863.6 │ 9.1 │     │  200  │  2340000  │ 2051818.2  │ 10150909.1 │    200    │    2360000    │   3530000   │   1170000   │  0.3  │ 200  │ 2340000  │ 1.2 │      │          │     │
│    4    │ 11.7  │ 11.8  │ 11.7  │ 11.8  │     │         │    900    │   400   │ 4690000  │ 10580000  │ 1673614800000 │ '2023-01-13T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 172.7 │ 863.6 │ 9.1 │     │ -400  │ -4690000  │ 2051818.2  │ 10150909.1 │   -200    │   -2330000    │   3530000   │   5860000   │  0.6  │      │          │     │ 400  │ 4690000  │ 0.5 │
│    5    │ 11.9  │ 11.9  │ 11.9  │ 11.9  │     │         │   2000    │  1100   │ 13090000 │ 23670000  │ 1673614920000 │ '2023-01-13T13:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 172.7 │ 863.6 │ 9.1 │     │ 1100  │ 13090000  │ 2051818.2  │ 10150909.1 │    900    │   10760000    │  16620000   │   5860000   │  1.6  │ 1100 │ 13090000 │ 6.4 │      │          │     │
│    6    │ 11.9  │ 11.9  │ 11.9  │ 11.9  │     │         │   2500    │   500   │ 5950000  │ 29620000  │ 1673616720000 │ '2023-01-13T13:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 172.7 │ 863.6 │ 9.1 │     │  500  │  5950000  │ 2051818.2  │ 10150909.1 │   1400    │   16710000    │  22570000   │   5860000   │  0.7  │ 500  │ 5950000  │ 2.9 │      │          │     │
│    7    │ 11.75 │ 11.75 │ 11.75 │ 11.75 │     │         │   2600    │   100   │ 1175000  │ 30795000  │ 1673618520000 │ '2023-01-13T14:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 172.7 │ 863.6 │ 9.1 │     │ -100  │ -1175000  │ 2051818.2  │ 10150909.1 │   1300    │   15535000    │  22570000   │   7035000   │  0.1  │      │          │     │ 100  │ 1175000  │ 0.1 │
│    8    │ 11.7  │ 11.8  │ 11.7  │ 11.8  │     │         │   10000   │  7400   │ 86875000 │ 117670000 │ 1673619600000 │ '2023-01-13T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 172.7 │ 863.6 │ 9.1 │     │ -7400 │ -86875000 │ 2051818.2  │ 10150909.1 │   -6100   │   -71340000   │  22570000   │  93910000   │ 10.7  │      │          │     │ 7400 │ 86875000 │ 8.6 │
│    9    │ 11.7  │ 11.7  │ 11.7  │ 11.7  │     │         │   10500   │   500   │ 5850000  │ 123520000 │ 1673619720000 │ '2023-01-13T14:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 172.7 │ 863.6 │ 9.1 │     │ -500  │ -5850000  │ 2051818.2  │ 10150909.1 │   -6600   │   -77190000   │  22570000   │  99760000   │  0.7  │      │          │     │ 500  │ 5850000  │ 0.6 │
│   10    │ 11.9  │ 11.9  │ 11.9  │ 11.9  │     │         │   11500   │  1000   │ 11900000 │ 135420000 │ 1673621040000 │ '2023-01-13T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 172.7 │ 863.6 │ 9.1 │     │ -1000 │ -11900000 │ 2051818.2  │ 10150909.1 │   -7600   │   -89090000   │  22570000   │  111660000  │  1.5  │      │          │     │ 1000 │ 11900000 │ 1.2 │
