┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ bu  │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │  auk  │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │  val_uk  │ ruk │ sd  │ val_sd │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────┼─────┤
│    0    │ 122.9 │ 122.9 │ 122.9 │ 122.9 │ 100 │ 12290000 │    100    │   100   │ 12290000 │ 12290000 │ 1673601360000 │ '2023-01-13T09:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 11.1 │ 144.4 │ 122.2 │  9  │  100  │ 12290000  │ 1365555.6  │   17300    │    100    │   12290000    │  12290000   │      0      │  9.1  │      │          │     │     │        │     │
│    1    │  122  │  122  │  122  │  122  │     │          │   1100    │  1000   │  122000  │ 12412000 │ 1673602560000 │ '2023-01-13T09:36:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 11.1 │ 144.4 │ 122.2 │     │   0   │     0     │ 1365555.6  │   17300    │    100    │   12290000    │  12290000   │      0      │   0   │ 1000 │  122000  │ 8.2 │     │        │     │
│    2    │  120  │  120  │  120  │  120  │     │          │   1600    │   500   │  60000   │ 12472000 │ 1673607480000 │ '2023-01-13T10:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 144.4 │ 122.2 │     │ -500  │  -60000   │ 1365555.6  │   17300    │   -400    │   12230000    │  12290000   │    60000    │   0   │      │          │     │ 500 │ 60000  │ 3.5 │
│    3    │  120  │  120  │  120  │  120  │     │          │   1800    │   200   │  24000   │ 12496000 │ 1673607600000 │ '2023-01-13T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 144.4 │ 122.2 │     │ -200  │  -24000   │ 1365555.6  │   17300    │   -600    │   12206000    │  12290000   │    84000    │   0   │      │          │     │ 200 │ 24000  │ 1.4 │
│    4    │  120  │  120  │  120  │  120  │     │          │   1900    │   100   │  12000   │ 12508000 │ 1673607840000 │ '2023-01-13T11:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 144.4 │ 122.2 │     │ -100  │  -12000   │ 1365555.6  │   17300    │   -700    │   12194000    │  12290000   │    96000    │   0   │      │          │     │ 100 │ 12000  │ 0.7 │
│    5    │  120  │  120  │  120  │  120  │     │          │   2000    │   100   │  12000   │ 12520000 │ 1673608560000 │ '2023-01-13T11:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 144.4 │ 122.2 │     │ -100  │  -12000   │ 1365555.6  │   17300    │   -800    │   12182000    │  12290000   │   108000    │   0   │      │          │     │ 100 │ 12000  │ 0.7 │
│    6    │ 121.9 │ 121.9 │ 121.9 │ 121.9 │     │          │   2100    │   100   │ 12190000 │ 24710000 │ 1673615280000 │ '2023-01-13T13:08:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 11.1 │ 144.4 │ 122.2 │     │   0   │     0     │ 1365555.6  │   17300    │   -800    │   12182000    │  12290000   │   108000    │   0   │ 100  │ 12190000 │ 0.8 │     │        │     │
│    7    │  120  │  120  │  120  │  120  │     │          │   2200    │   100   │  12000   │ 24722000 │ 1673618160000 │ '2023-01-13T13:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 144.4 │ 122.2 │     │ -100  │  -12000   │ 1365555.6  │   17300    │   -900    │   12170000    │  12290000   │   120000    │   0   │      │          │     │ 100 │ 12000  │ 0.7 │
│    8    │  119  │  119  │  119  │  119  │     │          │   2500    │   300   │  35700   │ 24757700 │ 1673621040000 │ '2023-01-13T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 144.4 │ 122.2 │     │ -300  │  -35700   │ 1365555.6  │   17300    │   -1200   │   12134300    │  12290000   │   155700    │   0   │      │          │     │ 300 │ 35700  │ 2.1 │
└─────────┴───────┴───────┴───────┴───────┴─────┴──────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴────────┴─────┘

