┌─────────┬──────┬──────┬──────┬──────┬─────┬───────────────────┬───────────┬─────────┬───────────────────┬───────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │      val_uk       │ total_vol │ sum_vol │        val        │     acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼───────────────────┼───────────┼─────────┼───────────────────┼───────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 72.4 │ 72.4 │ 72.4 │ 72.4 │ 100 │ 7240000.000000001 │    100    │   100   │ 7240000.000000001 │ 7240000.000000001 │ 1671009300000 │ '2022-12-14T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 233.3 │ 311.1 │ 11.1 │  9  │   0   │     0     │ 8869111.1  │ 8069955.6  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │  72  │  72  │  72  │  72  │     │                   │    200    │   100   │       7200        │ 7247200.000000001 │ 1671009600000 │ '2022-12-14T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 233.3 │ 311.1 │ 11.1 │     │ -100  │   -7200   │ 8869111.1  │ 8069955.6  │   -100    │     -7200     │      0      │    7200     │  -0   │ 100  │   7200   │ 0.3 │      │          │     │
│    2    │ 72.5 │ 72.5 │ 72.5 │ 72.5 │     │                   │    300    │   100   │      7250000      │     14497200      │ 1671009900000 │ '2022-12-14T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 233.3 │ 311.1 │ 11.1 │     │  100  │  7250000  │ 8869111.1  │ 8069955.6  │     0     │    7242800    │   7250000   │    7200     │  9.1  │      │          │     │ 100  │ 7250000  │ 0.4 │
│    3    │  72  │  72  │  72  │  72  │     │                   │   1200    │   900   │       64800       │     14562000      │ 1671010200000 │ '2022-12-14T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 233.3 │ 311.1 │ 11.1 │     │ -900  │  -64800   │ 8869111.1  │ 8069955.6  │   -900    │    7178000    │   7250000   │    72000    │ -0.1  │ 900  │  64800   │ 2.9 │      │          │     │
│    4    │  72  │  72  │  72  │  72  │     │                   │   2200    │  1000   │       72000       │     14634000      │ 1671011100000 │ '2022-12-14T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 233.3 │ 311.1 │ 11.1 │     │ 1000  │   72000   │ 8869111.1  │ 8069955.6  │    100    │    7250000    │   7322000   │    72000    │  0.1  │      │          │     │ 1000 │  72000   │ 4.3 │
│    5    │ 72.5 │ 72.5 │ 72.5 │ 72.5 │     │                   │   3200    │  1000   │     72500000      │     87134000      │ 1671011400000 │ '2022-12-14T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 233.3 │ 311.1 │ 11.1 │     │ -1000 │ -72500000 │ 8869111.1  │ 8069955.6  │   -900    │   -65250000   │   7322000   │  72572000   │ -90.7 │ 1000 │ 72500000 │ 3.2 │      │          │     │
│    6    │  72  │  72  │  72  │  72  │     │                   │   3900    │   700   │       50400       │     87184400      │ 1671026100000 │ '2022-12-14T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 233.3 │ 311.1 │ 11.1 │     │ -700  │  -50400   │ 8869111.1  │ 8069955.6  │   -1600   │   -65300400   │   7322000   │  72622400   │ -0.1  │ 700  │  50400   │ 2.3 │      │          │     │
│    7    │  72  │  72  │  72  │  72  │     │                   │   4000    │   100   │       7200        │     87191600      │ 1671026400000 │ '2022-12-14T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 233.3 │ 311.1 │ 11.1 │     │ -100  │   -7200   │ 8869111.1  │ 8069955.6  │   -1700   │   -65307600   │   7322000   │  72629600   │  -0   │ 100  │   7200   │ 0.3 │      │          │     │
│    8    │ 72.5 │ 72.5 │ 72.5 │ 72.5 │     │                   │   5000    │  1000   │     72500000      │     159691600     │ 1671026700000 │ '2022-12-14T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 233.3 │ 311.1 │ 11.1 │     │ 1000  │ 72500000  │ 8869111.1  │ 8069955.6  │   -700    │    7192400    │  79822000   │  72629600   │ 90.7  │      │          │     │ 1000 │ 72500000 │ 4.3 │
└─────────┴──────┴──────┴──────┴──────┴─────┴───────────────────┴───────────┴─────────┴───────────────────┴───────────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

