"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
766300,-19575693400,172485857600,5470600,766300,-19575693400,"2022-12-19T09:14:00.000Z",1671441240000,4704300,12486000,12486000,2311100,172485857600,56170810600,75746504000,40568543000
641100,-31139585300,292584964500,3630900,-125200,-11563891900,"2022-12-19T09:16:00.000Z",1671441360000,3756100,7432600,19918600,45600,120099106900,53790881000,65354772900,953453000
648800,-37145271200,380722485200,2978100,7700,-6005685900,"2022-12-19T09:18:00.000Z",1671441480000,2970400,5989600,25908200,41100,88137520700,40798722400,46804408300,534390000
-618300,-65127673000,473934152600,2226600,-1267100,-27982401800,"2022-12-19T09:20:00.000Z",1671441600000,3493700,5767700,31675900,47400,93211667400,32170092800,60152494600,889080000
-1621300,-81874210200,557532939200,2066100,-1003000,-16746537200,"2022-12-19T09:22:00.000Z",1671441720000,3069100,5176700,36852600,41500,83598786600,32916327200,49662864400,1019595000
-1911100,-86086450300,636965825500,2489400,-289800,-4212240100,"2022-12-19T09:24:00.000Z",1671441840000,2779200,5286400,42139000,17800,79432886300,37520965600,41733205700,178715000
-431700,-65810078800,720220962800,3461300,1479400,20276371500,"2022-12-19T09:26:00.000Z",1671441960000,1981900,5459600,47598600,16400,83255137300,51597082100,31320710600,337344600
2261400,-23417161800,813725733800,4135800,2693100,42392917000,"2022-12-19T09:28:00.000Z",1671442080000,1442700,5595600,53194200,17100,93504771000,67792545000,25399628000,312598000
1259500,-36503978200,896309427000,2155700,-1001900,-13086816400,"2022-12-19T09:30:00.000Z",1671442200000,3157600,5329800,58524000,16500,82583693200,34668257300,47755073700,160362200
791800,-48404410700,979127413500,2188300,-467700,-11900432500,"2022-12-19T09:32:00.000Z",1671442320000,2656000,4855100,63379100,10800,82817986500,35364279500,47264712000,188995000
764100,-51443459600,1052081867900,2013000,-27700,-3039048900,"2022-12-19T09:34:00.000Z",1671442440000,2040700,4073000,67452100,19300,72954454400,34657449600,37696498500,600506300
912600,-52675013800,1118602578100,2240900,148500,-1231554200,"2022-12-19T09:36:00.000Z",1671442560000,2092400,4364300,71816400,31000,66520710200,32507713500,33739267700,273729000
1326300,-49607033700,1175365381600,1981200,413700,3067980100,"2022-12-19T09:38:00.000Z",1671442680000,1567500,3559800,75376200,11100,56762803500,29826361900,26758381800,178059800
