┌─────────┬───────────────┬─────────┬──────────┬──────────┬──────────────┬──────────────┬────────────────────┬───────────┬───────────────┬────────────────────────────┬────────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┐
│ (index) │   datetime    │   sd    │    bu    │    uk    │    val_sd    │    val_bu    │       val_uk       │  sum_vol  │      val      │            date            │    acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │
├─────────┼───────────────┼─────────┼──────────┼──────────┼──────────────┼──────────────┼────────────────────┼───────────┼───────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┤
│    0    │ 1671182040000 │ 6867700 │ 3855100  │ 5083800  │ 111978878000 │ 48406763000  │    75705805000     │ 15806600  │ 236091446000  │ '2022-12-16T09:14:00.000Z' │  236091446000  │ 15806600  │ -3012600 │ -63572115000 │ -3012600  │ -63572115000  │
│    1    │ 1671182160000 │ 4296000 │ 4342600  │  97800   │ 71876629000  │ 71080175000  │     1453124000     │  8736400  │ 144409928000  │ '2022-12-16T09:16:00.000Z' │  380501374000  │ 24543000  │  46600   │  -796454000  │ -2966000  │ -64368569000  │
│    2    │ 1671182280000 │ 2750000 │ 5300000  │  39100   │ 45002114000  │ 86205343000  │     638337000      │  8089100  │ 131845794000  │ '2022-12-16T09:18:00.000Z' │  512347168000  │ 32632100  │ 2550000  │ 41203229000  │  -416000  │ -23165340000  │
│    3    │ 1671182400000 │ 3148800 │ 4514100  │  51700   │ 53989281000  │ 75043412000  │     1081760000     │  7714600  │ 130114453000  │ '2022-12-16T09:20:00.000Z' │  642461621000  │ 40346700  │ 1365300  │ 21054131000  │  949300   │  -2111209000  │
│    4    │ 1671182520000 │ 3280600 │ 3317900  │  15700   │ 58348054000  │ 57835756000  │     237405000      │  6614200  │ 116421215000  │ '2022-12-16T09:22:00.000Z' │  758882836000  │ 46960900  │  37300   │  -512298000  │  986600   │  -2623507000  │
│    5    │ 1671182640000 │ 3596300 │ 2448900  │  45500   │ 55577671000  │ 39572269000  │     572204000      │  6090700  │  95722144000  │ '2022-12-16T09:24:00.000Z' │  854604980000  │ 53051600  │ -1147400 │ -16005402000 │  -160800  │ -18628909000  │
│    6    │ 1671182760000 │ 2861000 │ 2354700  │   5800   │ 46083317000  │ 39594218000  │      74332000      │  5221500  │  85751867000  │ '2022-12-16T09:26:00.000Z' │  940356847000  │ 58273100  │ -506300  │ -6489099000  │  -667100  │ -25118008000  │
│    7    │ 1671182880000 │ 2409700 │ 3166400  │   8100   │ 43196033000  │ 52930839000  │     176558000      │  5584200  │  96303430000  │ '2022-12-16T09:28:00.000Z' │ 1036660277000  │ 63857300  │  756700  │  9734806000  │   89600   │ -15383202000  │
│    8    │ 1671183000000 │ 1785900 │ 4668700  │   7600   │ 31130450000  │ 68936324000  │     111905000      │  6462200  │ 100178679000  │ '2022-12-16T09:30:00.000Z' │ 1136838956000  │ 70319500  │ 2882800  │ 37805874000  │  2972400  │  22422672000  │
│    9    │ 1671183120000 │ 2202800 │ 11680700 │  79800   │ 37229760000  │ 185344794000 │     1168900000     │ 13963300  │ 223743454000  │ '2022-12-16T09:32:00.000Z' │ 1360582410000  │ 84282800  │ 9477900  │ 148115034000 │ 12450300  │ 170537706000  │
│   10    │ 1671183240000 │ 2438900 │ 11315600 │  147000  │ 42295915000  │ 187401121000 │     2273633000     │ 13901500  │ 231970669000  │ '2022-12-16T09:34:00.000Z' │ 1592553079000  │ 98184300  │ 8876700  │ 145105206000 │ 21327000  │ 315642912000  │
│   11    │ 1671183360000 │ 3991600 │ 9875300  │  72500   │ 71855183000  │ 162270342000 │     1029677000     │ 13939400  │ 235155202000  │ '2022-12-16T09:36:00.000Z' │ 1827708281000  │ 112123700 │ 5883700  │ 90415159000  │ 27210700  │ 406058071000  │
│   12    │ 1671183480000 │ 5006000 │ 4687600  │  12800   │ 86229840000  │ 72955527000  │     304400000      │  9706400  │ 159489767000  │ '2022-12-16T09:38:00.000Z' │ 1987198048000  │ 121830100 │ -318400  │ -13274313000 │ 26892300  │ 392783758000  │
│   13    │ 1671183600000 │ 4094900 │ 2510800  │  12300   │ 72199534000  │ 43079243000  │     210136000      │  6618000  │ 115488913000  │ '2022-12-16T09:40:00.000Z' │ 2102686961000  │ 128448100 │ -1584100 │ -29120291000 │ 25308200  │ 363663467000  │
