"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-3012600,-55237857600,202043927600,3855100,-3012600,-55237857600,"2022-12-16T09:14:00.000Z",1671182040000,6867700,15806600,15806600,5083800,202043927600,43347427400,98585285000,60111215200
-2966000,-49547405000,328112815000,4342600,46600,5690452600,"2022-12-16T09:16:00.000Z",1671182160000,4296000,8736400,24543000,97800,126068887400,65210950100,59520497500,1337439800
-416000,-17460150900,446335146100,5300000,2550000,32087254100,"2022-12-16T09:18:00.000Z",1671182280000,2750000,8089100,32632100,39100,118222331100,74835624100,42748370000,638337000
949300,43234400,566429928800,4514100,1365300,17503385300,"2022-12-16T09:20:00.000Z",1671182400000,3148800,7714600,40346700,51700,120094782700,68258204000,50754818700,1081760000
986600,-2134596400,675480721600,3317900,37300,-2177830800,"2022-12-16T09:22:00.000Z",1671182520000,3280600,6614200,46960900,15700,109050792800,53318677600,55496508400,235606800
-160800,-17586852100,762378998300,2448900,-1147400,-15452255700,"2022-12-16T09:24:00.000Z",1671182640000,3596300,6090700,53051600,45500,86898276700,35436908500,50889164200,572204000
-667100,-23744582800,846035662600,2354700,-506300,-6157730700,"2022-12-16T09:26:00.000Z",1671182760000,2861000,5221500,58273100,5800,83656664300,38712300800,44870031500,74332000
89600,-20418361800,935197841000,3166400,756700,3326221000,"2022-12-16T09:28:00.000Z",1671182880000,2409700,5584200,63857300,8100,89162178400,46155920700,42829699700,176558000
2972400,2292122700,1019088524300,4668700,2882800,22710484500,"2022-12-16T09:30:00.000Z",1671183000000,1785900,6462200,70319500,7600,83890683300,53244631400,30534146900,111905000
12450300,137316260700,1228313711100,11680700,9477900,135024138000,"2022-12-16T09:32:00.000Z",1671183120000,2202800,13963300,84282800,79800,209225186800,171544608000,36520470000,1160108800
21327000,260180030400,1433399991400,11315600,8876700,122863769700,"2022-12-16T09:34:00.000Z",1671183240000,2438900,13901500,98184300,147000,205086280300,162855091600,39991321900,2239866800
27210700,324640669900,1634199483500,9875300,5883700,64460639500,"2022-12-16T09:36:00.000Z",1671183360000,3991600,13939400,112123700,72500,200799492100,132115227300,67654587800,1029677000
26892300,317156560900,1772275086100,4687600,-318400,-7484109000,"2022-12-16T09:38:00.000Z",1671183480000,5006000,9706400,121830100,12800,138075602600,65143546800,72627655800,304400000
25308200,294307292600,1866632551700,2510800,-1584100,-22849268300,"2022-12-16T09:40:00.000Z",1671183600000,4094900,6618000,128448100,12300,94357465600,35720908700,58570177000,66379900
24642000,289836341500,1950333479200,3234600,-666200,-4470951100,"2022-12-16T09:42:00.000Z",1671183720000,3900800,7184400,135632500,49000,83700927500,39459418900,43930370000,311138600
26917800,332938417300,2065419778800,4867400,2275800,43102075800,"2022-12-16T09:44:00.000Z",1671183840000,2591600,7463100,143095600,4100,115086299600,79086848500,35984772700,14678400
32636100,421558088800,2223967732500,7911400,5718300,88619671500,"2022-12-16T09:46:00.000Z",1671183960000,2193100,10117000,153212600,12500,158547953700,123510224600,34890553100,147176000
40867000,538387649500,2393330749200,9743500,8230900,116829560700,"2022-12-16T09:48:00.000Z",1671184080000,1512600,11259500,164472100,3400,169363016700,143024563200,26195002500,143451000
43759600,585347404300,2504623352800,4907600,2892600,46959754800,"2022-12-16T09:50:00.000Z",1671184200000,2015000,6926700,171398800,4100,111292603600,79080632200,32120877400,91094000
46602000,630997368300,2613548656200,4666700,2842400,45649964000,"2022-12-16T09:52:00.000Z",1671184320000,1824300,6537300,177936100,46300,108925303400,77019846200,31369882200,535575000
47415400,648054740700,2737197536100,4178200,813400,17057372400,"2022-12-16T09:54:00.000Z",1671184440000,3364800,7561200,185497300,18200,123648879900,70249774200,53192401800,206703900
47791800,664008614400,2841551712000,3518000,376400,15953873700,"2022-12-16T09:56:00.000Z",1671184560000,3141600,6666800,192164100,7200,104354175900,60052016300,44098142600,204017000
48217600,664038187600,2926233711000,2883200,425800,29573200,"2022-12-16T09:58:00.000Z",1671184680000,2457400,5350800,197514900,10200,84681999000,42225254600,42195681400,261063000
47544700,650496780400,3003374772800,2255400,-672900,-13541407200,"2022-12-16T10:00:00.000Z",1671184800000,2928300,5195000,202709900,11300,77141061800,31662054600,45203461800,275545400
46367800,634524695100,3070814538900,1791900,-1176900,-15972085300,"2022-12-16T10:02:00.000Z",1671184920000,2968800,4767300,207477200,6600,67439766100,25640399500,41612484800,186881800
45649400,624788320500,3139472335500,1916200,-718400,-9736374600,"2022-12-16T10:04:00.000Z",1671185040000,2634600,4564000,212041200,13200,68657796600,29375163000,39111537600,171096000
45464700,616262921000,3207832665200,2285500,-184700,-8525399500,"2022-12-16T10:06:00.000Z",1671185160000,2470200,4785100,216826300,29400,68360329700,29733629600,38259029100,367671000
45999600,616319840000,3281768765400,2693000,534900,56919000,"2022-12-16T10:08:00.000Z",1671185280000,2158100,4860400,221686700,9300,73936100200,36919408100,36862489100,154203000
47515300,629396883800,3359930802600,3505700,1515700,13077043800,"2022-12-16T10:10:00.000Z",1671185400000,1990000,5497900,227184600,2200,78162037200,45601422000,32524378200,36237000
50699300,668326183500,3448714035500,4700500,3184000,38929299700,"2022-12-16T10:12:00.000Z",1671185520000,1516500,6233300,233417900,16300,88783232900,63731480100,24802180400,249572400
54164700,706635149000,3553377901600,5464600,3465400,38308965500,"2022-12-16T10:14:00.000Z",1671185640000,1999200,7486200,240904100,22400,104663866100,71354443800,33045478300,263944000
57600900,759132455800,3678271324800,5466100,3436200,52497306800,"2022-12-16T10:16:00.000Z",1671185760000,2029900,7502000,248406100,6000,124893423200,88667484500,36170177700,55761000
63164600,818776336500,3802516147100,7674200,5563700,59643880700,"2022-12-16T10:18:00.000Z",1671185880000,2110500,9841200,258247300,56500,124244822300,91291934000,31648053300,1304835000
68590400,895460130700,3950601410300,7794600,5425800,76683794200,"2022-12-16T10:20:00.000Z",1671186000000,2368800,10173000,268420300,9600,148085263200,112345780200,35661986000,77497000
73774200,975274574100,4110196481300,7882100,5183800,79814443400,"2022-12-16T10:22:00.000Z",1671186120000,2698300,10619500,279039800,39100,159595071000,119258883700,39444440300,891747000
75651200,1004338271200,4232007799000,4861400,1877000,29063697100,"2022-12-16T10:24:00.000Z",1671186240000,2984400,7907800,286947600,62000,121811317700,74950402900,45886705800,974209000
75642900,1016327793100,4327116978300,3167400,-8300,11989521900,"2022-12-16T10:26:00.000Z",1671186360000,3175700,6347600,293295200,4500,95109179300,53526585100,41537063200,45531000
75761800,1023551940200,4417391371900,3106100,118900,7224147100,"2022-12-16T10:28:00.000Z",1671186480000,2987200,6110900,299406100,17600,90274393600,48645543100,41421396000,207454500
73950300,989641989500,4509630513800,1892900,-1811500,-33909950700,"2022-12-16T10:30:00.000Z",1671186600000,3704400,5605500,305011600,8200,92239141900,29096025600,63005976300,137140000
