┌─────────┬───────┬───────┬───────┬───────┬──────┬───────────┬───────────┬─────────┬───────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬───────┬─────┬────────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk   │ total_vol │ sum_vol │    val    │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │  auk  │ ruk │ bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd   │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼───────────┼───────────┼─────────┼───────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼───────┼─────┼────────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼──────┼──────────┼─────┤
│    0    │ 26700 │ 26700 │ 26700 │ 26700 │ 5000 │ 133500000 │   5000    │  5000   │ 133500000 │ 133500000  │ 1677748500000 │ '2023-03-02T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 323.1 │ 2223.1 │ 384.6 │ 13  │   0    │     0      │ 8721538.5  │ 59478461.5 │     0     │       0       │      0      │      0      │  -0   │       │           │     │      │          │     │
│    1    │ 26700 │ 26850 │ 26700 │ 26850 │      │           │   17000   │  12000  │ 320530000 │ 454030000  │ 1677751200000 │ '2023-03-02T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 323.1 │ 2223.1 │ 384.6 │     │ -12000 │ -320530000 │ 8721538.5  │ 59478461.5 │  -12000   │  -320530000   │      0      │  320530000  │  6.3  │ 12000 │ 320530000 │ 5.4 │      │          │     │
│    2    │ 26750 │ 26800 │ 26750 │ 26800 │      │           │   18700   │  1700   │ 45480000  │ 499510000  │ 1677754500000 │ '2023-03-02T10:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 323.1 │ 2223.1 │ 384.6 │     │ -1700  │ -45480000  │ 8721538.5  │ 59478461.5 │  -13700   │  -366010000   │      0      │  366010000  │  0.9  │ 1700  │ 45480000  │ 0.8 │      │          │     │
│    3    │ 26950 │ 26950 │ 26950 │ 26950 │      │           │   19100   │   400   │ 10780000  │ 510290000  │ 1677754800000 │ '2023-03-02T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 323.1 │ 2223.1 │ 384.6 │     │  400   │  10780000  │ 8721538.5  │ 59478461.5 │  -13300   │  -355230000   │  10780000   │  366010000  │ -0.2  │       │           │     │ 400  │ 10780000 │ 1.2 │
│    4    │ 27000 │ 27000 │ 27000 │ 27000 │      │           │   19500   │   400   │ 10800000  │ 521090000  │ 1677755400000 │ '2023-03-02T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 323.1 │ 2223.1 │ 384.6 │     │  400   │  10800000  │ 8721538.5  │ 59478461.5 │  -12900   │  -344430000   │  21580000   │  366010000  │ -0.2  │       │           │     │ 400  │ 10800000 │ 1.2 │
│    5    │ 27000 │ 27000 │ 27000 │ 27000 │      │           │   20700   │  1200   │ 32400000  │ 553490000  │ 1677756300000 │ '2023-03-02T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 323.1 │ 2223.1 │ 384.6 │     │  1200  │  32400000  │ 8721538.5  │ 59478461.5 │  -11700   │  -312030000   │  53980000   │  366010000  │ -0.6  │       │           │     │ 1200 │ 32400000 │ 3.7 │
│    6    │ 27000 │ 27000 │ 27000 │ 27000 │      │           │   20800   │   100   │  2700000  │ 556190000  │ 1677762000000 │ '2023-03-02T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 323.1 │ 2223.1 │ 384.6 │     │  100   │  2700000   │ 8721538.5  │ 59478461.5 │  -11600   │  -309330000   │  56680000   │  366010000  │ -0.1  │       │           │     │ 100  │ 2700000  │ 0.3 │
│    7    │ 27000 │ 27000 │ 27000 │ 27000 │      │           │   21800   │  1000   │ 27000000  │ 583190000  │ 1677762600000 │ '2023-03-02T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 323.1 │ 2223.1 │ 384.6 │     │  1000  │  27000000  │ 8721538.5  │ 59478461.5 │  -10600   │  -282330000   │  83680000   │  366010000  │ -0.5  │       │           │     │ 1000 │ 27000000 │ 3.1 │
│    8    │ 27000 │ 27000 │ 27000 │ 27000 │      │           │   22800   │  1000   │ 27000000  │ 610190000  │ 1677764400000 │ '2023-03-02T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 323.1 │ 2223.1 │ 384.6 │     │  1000  │  27000000  │ 8721538.5  │ 59478461.5 │   -9600   │  -255330000   │  110680000  │  366010000  │ -0.5  │       │           │     │ 1000 │ 27000000 │ 3.1 │
│    9    │ 26750 │ 26750 │ 26750 │ 26750 │      │           │   25800   │  3000   │ 80250000  │ 690440000  │ 1677765000000 │ '2023-03-02T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 323.1 │ 2223.1 │ 384.6 │     │ -3000  │ -80250000  │ 8721538.5  │ 59478461.5 │  -12600   │  -335580000   │  110680000  │  446260000  │  1.6  │ 3000  │ 80250000  │ 1.3 │      │          │     │
│   10    │ 26800 │ 26800 │ 26800 │ 26800 │      │           │   37800   │  12000  │ 321600000 │ 1012040000 │ 1677766800000 │ '2023-03-02T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 323.1 │ 2223.1 │ 384.6 │     │ -12000 │ -321600000 │ 8721538.5  │ 59478461.5 │  -24600   │  -657180000   │  110680000  │  767860000  │  6.3  │ 12000 │ 321600000 │ 5.4 │      │          │     │
