┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 10700 │ 10700 │ 10700 │ 10700 │ 500 │ 5350000 │    500    │   500   │ 5350000  │  5350000  │ 1677748500000 │ '2023-03-02T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 410 │ 1130 │ 50  │ 10  │   0   │     0     │  4387000   │  12008000  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │          │     │
│    1    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   3400    │  2900   │ 31030000 │ 36380000  │ 1677749100000 │ '2023-03-02T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 410 │ 1130 │ 50  │     │ -2900 │ -31030000 │  4387000   │  12008000  │   -2900   │   -31030000   │      0      │  31030000   │  4.1  │ 2900 │ 31030000 │ 2.6 │      │          │     │
│    2    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   4300    │   900   │ 9630000  │ 46010000  │ 1677749400000 │ '2023-03-02T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 410 │ 1130 │ 50  │     │ -900  │ -9630000  │  4387000   │  12008000  │   -3800   │   -40660000   │      0      │  40660000   │  1.3  │ 900  │ 9630000  │ 0.8 │      │          │     │
│    3    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   4700    │   400   │ 4280000  │ 50290000  │ 1677751800000 │ '2023-03-02T10:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 410 │ 1130 │ 50  │     │ -400  │ -4280000  │  4387000   │  12008000  │   -4200   │   -44940000   │      0      │  44940000   │  0.6  │ 400  │ 4280000  │ 0.4 │      │          │     │
│    4    │ 10750 │ 10750 │ 10750 │ 10750 │     │         │   4800    │   100   │ 1075000  │ 51365000  │ 1677754500000 │ '2023-03-02T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 410 │ 1130 │ 50  │     │  100  │  1075000  │  4387000   │  12008000  │   -4100   │   -43865000   │   1075000   │  44940000   │ -0.1  │      │          │     │ 100  │ 1075000  │ 0.2 │
│    5    │ 10650 │ 10650 │ 10650 │ 10650 │     │         │   5900    │  1100   │ 11715000 │ 63080000  │ 1677754800000 │ '2023-03-02T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 410 │ 1130 │ 50  │     │ -1100 │ -11715000 │  4387000   │  12008000  │   -5200   │   -55580000   │   1075000   │  56655000   │  1.5  │ 1100 │ 11715000 │  1  │      │          │     │
│    6    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   9800    │  3900   │ 41730000 │ 104810000 │ 1677756300000 │ '2023-03-02T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 410 │ 1130 │ 50  │     │ 3900  │ 41730000  │  4387000   │  12008000  │   -1300   │   -13850000   │  42805000   │  56655000   │ -5.5  │      │          │     │ 3900 │ 41730000 │ 9.5 │
│    7    │ 10600 │ 10600 │ 10600 │ 10600 │     │         │   11900   │  2200   │ 23320000 │ 128130000 │ 1677763200000 │ '2023-03-02T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 410 │ 1130 │ 50  │     │ -2200 │ -23320000 │  4387000   │  12008000  │   -3500   │   -37170000   │  42805000   │  79975000   │  3.1  │ 2200 │ 23320000 │ 1.9 │      │          │     │
│    8    │ 10550 │ 10600 │ 10550 │ 10600 │     │         │   15800   │  3800   │ 40105000 │ 168235000 │ 1677766500000 │ '2023-03-02T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 410 │ 1130 │ 50  │     │ -3800 │ -40105000 │  4387000   │  12008000  │   -7300   │   -77275000   │  42805000   │  120080000  │  5.3  │ 3800 │ 40105000 │ 3.4 │      │          │     │
│    9    │ 10650 │ 10650 │ 10650 │ 10650 │     │         │   15900   │   100   │ 1065000  │ 169300000 │ 1677768300000 │ '2023-03-02T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 410 │ 1130 │ 50  │     │  100  │  1065000  │  4387000   │  12008000  │   -7200   │   -76210000   │  43870000   │  120080000  │ -0.1  │      │          │     │ 100  │ 1065000  │ 0.2 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

