"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-1612300,-19182791700,20158126000,39340917700,108314092700,1217000,2829300,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,5.4,1217000,-1612300,-19182791700,"2023-02-06T09:14:00.000Z",1675674840000,2829300,8477500,8477500,4431200,108314092700,20158126000,39340917700,48815049000
-1952200,-29074450400,40695136500,69769586900,159701363000,2704800,4657000,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,2.8,1487800,-339900,-9891658700,"2023-02-06T09:16:00.000Z",1675674960000,1827700,3328900,11806400,13400,51387270300,20537010500,30428669200,421590600
-2443200,-39620890200,68538530500,108159420700,225943175100,4476700,6919900,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,3,1771900,-491000,-10546439800,"2023-02-06T09:18:00.000Z",1675675080000,2262900,4035500,15841900,700,66241812100,27843394000,38389833800,8584300
-3023800,-52952704800,94484753100,147437457900,291405593900,6278300,9302100,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,3.7,1801600,-580600,-13331814600,"2023-02-06T09:20:00.000Z",1675675200000,2382200,4196100,20038000,12300,65462418800,25946222600,39278037200,238159000
-4129100,-63037464600,123774571800,186812036400,362317133300,7939400,12068500,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,2.8,1661100,-1105300,-10084759800,"2023-02-06T09:22:00.000Z",1675675320000,2766400,4490400,24528400,62900,70911539400,29289818700,39374578500,2247142200
-4853700,-72634699100,153726319300,226361018400,432143804800,9818100,14671800,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,2.7,1878700,-724600,-9597234500,"2023-02-06T09:24:00.000Z",1675675440000,2603300,4516500,29044900,34500,69826671500,29951747500,39548982000,325942000
-4319500,-64812424000,187445667700,252258091700,492155606500,12279200,16598700,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,2.2,2461100,534200,7822275100,"2023-02-06T09:26:00.000Z",1675675560000,1926900,4430000,33474900,42000,60011801700,33719348400,25897073300,395380000
-2941300,-50673031500,231437226900,282110258400,566257965400,15416400,18357700,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,4,3137200,1378200,14139392500,"2023-02-06T09:28:00.000Z",1675675680000,1759000,4905900,38380800,9700,74102358900,43991559200,29852166700,258633000
-3455000,-58815140400,253302337300,312117477700,618248850700,17037900,20492900,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,2.3,1621500,-513700,-8142108900,"2023-02-06T09:30:00.000Z",1675675800000,2135200,3767100,42147900,10400,51990885300,21865110400,30007219300,118555600
-4735900,-76425520800,274711563600,351137084400,678741033700,18541900,23277800,28632412225.9,25064752731,56569678019.8,3360954.3,1651297.4,1531825,119472.4,3567659494.8,4.9,1504000,-1280900,-17610380400,"2023-02-06T09:32:00.000Z",1675675920000,2784900,4291900,46439800,3000,60492183000,21409226300,39019606700,63350000
