┌─────────┬──────┬──────┬──────┬──────┬───────┬────────────┬───────────┬─────────┬────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬─────┬───────┬────────────┬─────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  bu   │   val_bu   │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu │ bu-sd │ bu-sd_val  │ avg_val_bu  │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼────────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼─────┼───────┼────────────┼─────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 6700  │ 128640000  │   6700    │  6700   │ 128640000  │ 128640000  │ 1672909200000 │ '2023-01-05T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 0.8 │ 6700  │ 128640000  │ 161642264.2 │     0      │   6700    │   128640000   │  128640000  │      0      │  0.8  │
│    1    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 7000  │ 134400000  │   13700   │  7000   │ 134400000  │ 263040000  │ 1672909500000 │ '2023-01-05T09:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 0.8 │ 7000  │ 134400000  │ 161642264.2 │     0      │   13700   │   263040000   │  263040000  │      0      │  0.8  │
│    2    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 25000 │ 480000000  │   38700   │  25000  │ 480000000  │ 743040000  │ 1672909800000 │ '2023-01-05T09:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │  3  │ 25000 │ 480000000  │ 161642264.2 │     0      │   38700   │   743040000   │  743040000  │      0      │   3   │
│    3    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 26200 │ 503040000  │   64900   │  26200  │ 503040000  │ 1246080000 │ 1672910100000 │ '2023-01-05T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 3.1 │ 26200 │ 503040000  │ 161642264.2 │     0      │   64900   │  1246080000   │ 1246080000  │      0      │  3.1  │
│    4    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 17900 │ 343680000  │   82800   │  17900  │ 343680000  │ 1589760000 │ 1672910400000 │ '2023-01-05T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 2.1 │ 17900 │ 343680000  │ 161642264.2 │     0      │   82800   │  1589760000   │ 1589760000  │      0      │  2.1  │
│    5    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 2700  │  51840000  │   85500   │  2700   │  51840000  │ 1641600000 │ 1672910700000 │ '2023-01-05T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 0.3 │ 2700  │  51840000  │ 161642264.2 │     0      │   85500   │  1641600000   │ 1641600000  │      0      │  0.3  │
│    6    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 2400  │  46080000  │   87900   │  2400   │  46080000  │ 1687680000 │ 1672911000000 │ '2023-01-05T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 0.3 │ 2400  │  46080000  │ 161642264.2 │     0      │   87900   │  1687680000   │ 1687680000  │      0      │  0.3  │
│    7    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 24500 │ 470400000  │  112400   │  24500  │ 470400000  │ 2158080000 │ 1672911300000 │ '2023-01-05T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │ 2.9 │ 24500 │ 470400000  │ 161642264.2 │     0      │  112400   │  2158080000   │ 2158080000  │      0      │  2.9  │
│    8    │ 19.2 │ 19.2 │ 19.2 │ 19.2 │ 8800  │ 168960000  │  121200   │  8800   │ 168960000  │ 2327040000 │ 1672911600000 │ '2023-01-05T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 8418.9 │  0  │  0  │  1  │ 8800  │ 168960000  │ 161642264.2 │     0      │  121200   │  2327040000   │ 2327040000  │      0      │   1   │
