┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬─────┬───────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd │  auk  │ rsd  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │  val_uk  │ ruk │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼─────┼───────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 13.4 │ 13.4 │ 13.3 │ 13.3 │ 200  │ 2670000  │    200    │   200   │ 2670000  │  2670000  │ 1672909200000 │ '2023-01-05T09:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1175 │ 600 │ 241.7 │ 0.3  │ -200  │ -2670000  │ 15606666.7 │  7922500   │   -200    │   -2670000    │      0      │   2670000   │ -0.3  │      │          │     │      │          │     │
│    1    │ 13.4 │ 13.4 │ 13.4 │ 13.4 │      │          │   3100    │  2900   │ 38860000 │ 41530000  │ 1672909500000 │ '2023-01-05T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1175 │ 600 │ 241.7 │      │   0   │     0     │ 15606666.7 │  7922500   │   -200    │   -2670000    │      0      │   2670000   │   0   │ 2900 │ 38860000 │ 12  │      │          │     │
│    2    │ 13.4 │ 13.4 │ 13.4 │ 13.4 │      │          │   3500    │   400   │ 5360000  │ 46890000  │ 1672915500000 │ '2023-01-05T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │  400  │  5360000  │ 15606666.7 │  7922500   │    200    │    2690000    │   5360000   │   2670000   │  0.7  │      │          │     │ 400  │ 5360000  │ 0.3 │
│    3    │ 13.4 │ 13.4 │ 13.4 │ 13.4 │      │          │   3600    │   100   │ 1340000  │ 48230000  │ 1672916100000 │ '2023-01-05T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │  100  │  1340000  │ 15606666.7 │  7922500   │    300    │    4030000    │   6700000   │   2670000   │  0.2  │      │          │     │ 100  │ 1340000  │ 0.1 │
│    4    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │      │          │   9100    │  5500   │ 73150000 │ 121380000 │ 1672926000000 │ '2023-01-05T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │ 5500  │ 73150000  │ 15606666.7 │  7922500   │   5800    │   77180000    │  79850000   │   2670000   │  9.5  │      │          │     │ 5500 │ 73150000 │ 4.7 │
│    5    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │      │          │   9200    │   100   │ 1330000  │ 122710000 │ 1672926300000 │ '2023-01-05T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │  100  │  1330000  │ 15606666.7 │  7922500   │   5900    │   78510000    │  81180000   │   2670000   │  0.2  │      │          │     │ 100  │ 1330000  │ 0.1 │
│    6    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │      │          │   11200   │  2000   │ 26600000 │ 149310000 │ 1672927500000 │ '2023-01-05T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │ 2000  │ 26600000  │ 15606666.7 │  7922500   │   7900    │   105110000   │  107780000  │   2670000   │  3.5  │      │          │     │ 2000 │ 26600000 │ 1.7 │
│    7    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │      │          │   14000   │  2800   │ 37240000 │ 186550000 │ 1672927800000 │ '2023-01-05T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │ 2800  │ 37240000  │ 15606666.7 │  7922500   │   10700   │   142350000   │  145020000  │   2670000   │  4.8  │      │          │     │ 2800 │ 37240000 │ 2.4 │
│    8    │ 13.2 │ 13.2 │ 13.2 │ 13.2 │ 7000 │ 92400000 │   21000   │  7000   │ 92400000 │ 278950000 │ 1672928100000 │ '2023-01-05T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1175 │ 600 │ 241.7 │ 11.7 │ -7000 │ -92400000 │ 15606666.7 │  7922500   │   3700    │   49950000    │  145020000  │  95070000   │  -12  │      │          │     │      │          │     │
│    9    │ 13.2 │ 13.2 │ 13.2 │ 13.2 │      │          │   23700   │  2700   │ 35640000 │ 314590000 │ 1672928400000 │ '2023-01-05T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │ 2700  │ 35640000  │ 15606666.7 │  7922500   │   6400    │   85590000    │  180660000  │  95070000   │  4.6  │      │          │     │ 2700 │ 35640000 │ 2.3 │
│   10    │ 13.2 │ 13.2 │ 13.2 │ 13.2 │      │          │   24000   │   300   │ 3960000  │ 318550000 │ 1672928700000 │ '2023-01-05T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1175 │ 600 │ 241.7 │      │  300  │  3960000  │ 15606666.7 │  7922500   │   6700    │   89550000    │  184620000  │  95070000   │  0.5  │      │          │     │ 300  │ 3960000  │ 0.3 │
