┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬───────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │    val    │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu   │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼───────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┤
│    0    │ 18.8 │ 18.8 │ 18.8 │ 18.8 │ 1600 │ 30080000 │   1600    │  1600   │ 30080000  │  30080000  │ 1675776600000 │ '2023-02-07T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 4323.1 │ 292.3 │  0  │ 5.5 │ -1600 │ -30080000 │ 76916153.8 │  5340000   │   -1600   │   -30080000   │      0      │  30080000   │ -0.4  │       │           │     │
│    1    │ 17.8 │ 18.7 │ 17.8 │ 18.7 │ 2200 │ 39340000 │   3800    │  2200   │ 39340000  │  69420000  │ 1675777200000 │ '2023-02-07T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 4323.1 │ 292.3 │  0  │ 7.5 │ -2200 │ -39340000 │ 76916153.8 │  5340000   │   -3800   │   -69420000   │      0      │  69420000   │ -0.5  │       │           │     │
│    2    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   4200    │   400   │  7120000  │  76540000  │ 1675777500000 │ '2023-02-07T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │  400  │  7120000  │ 76916153.8 │  5340000   │   -3400   │   -62300000   │   7120000   │  69420000   │  0.1  │  400  │  7120000  │ 0.1 │
│    3    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   5200    │  1000   │ 17800000  │  94340000  │ 1675777800000 │ '2023-02-07T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │ 1000  │ 17800000  │ 76916153.8 │  5340000   │   -2400   │   -44500000   │  24920000   │  69420000   │  0.2  │ 1000  │ 17800000  │ 0.2 │
│    4    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   5500    │   300   │  5340000  │  99680000  │ 1675778100000 │ '2023-02-07T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │  300  │  5340000  │ 76916153.8 │  5340000   │   -2100   │   -39160000   │  30260000   │  69420000   │  0.1  │  300  │  5340000  │ 0.1 │
│    5    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   14800   │  9300   │ 165540000 │ 265220000  │ 1675779000000 │ '2023-02-07T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │ 9300  │ 165540000 │ 76916153.8 │  5340000   │   7200    │   126380000   │  195800000  │  69420000   │  2.3  │ 9300  │ 165540000 │ 2.2 │
│    6    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   15100   │   300   │  5340000  │ 270560000  │ 1675779300000 │ '2023-02-07T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │  300  │  5340000  │ 76916153.8 │  5340000   │   7500    │   131720000   │  201140000  │  69420000   │  0.1  │  300  │  5340000  │ 0.1 │
│    7    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   16600   │  1500   │ 26700000  │ 297260000  │ 1675779600000 │ '2023-02-07T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │ 1500  │ 26700000  │ 76916153.8 │  5340000   │   9000    │   158420000   │  227840000  │  69420000   │  0.4  │ 1500  │ 26700000  │ 0.3 │
│    8    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   18500   │  1900   │ 33820000  │ 331080000  │ 1675779900000 │ '2023-02-07T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │ 1900  │ 33820000  │ 76916153.8 │  5340000   │   10900   │   192240000   │  261660000  │  69420000   │  0.5  │ 1900  │ 33820000  │ 0.4 │
│    9    │ 17.8 │ 17.8 │ 17.5 │ 17.5 │      │          │   31800   │  13300  │ 236290000 │ 567370000  │ 1675780500000 │ '2023-02-07T14:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │ 13300 │ 236290000 │ 76916153.8 │  5340000   │   24200   │   428530000   │  497950000  │  69420000   │  3.3  │ 13300 │ 236290000 │ 3.1 │
│   10    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   33000   │  1200   │ 21360000  │ 588730000  │ 1675780800000 │ '2023-02-07T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4323.1 │ 292.3 │  0  │     │ 1200  │ 21360000  │ 76916153.8 │  5340000   │   25400   │   449890000   │  519310000  │  69420000   │  0.3  │ 1200  │ 21360000  │ 0.3 │
