┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ uk  │ val_uk │ ruk │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────┼─────┤
│    0    │ 4800 │ 4800 │ 4800 │ 4800 │ 500 │ 2400000 │    500    │   500   │ 2400000  │ 2400000  │ 1676883600000 │ '2023-02-20T09:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 636.4 │ 45.5 │ 18.2 │ 11  │ -500  │ -2400000  │ 3141818.2  │  218181.8  │   -500    │   -2400000    │      0      │   2400000   │ -0.8  │      │          │     │     │        │     │
│    1    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   1000    │   500   │ 2450000  │ 4850000  │ 1676884800000 │ '2023-02-20T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │  500  │  2450000  │ 3141818.2  │  218181.8  │     0     │     50000     │   2450000   │   2400000   │  0.8  │ 500  │ 2450000  │ 0.8 │     │        │     │
│    2    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   4000    │  3000   │ 14700000 │ 19550000 │ 1676886900000 │ '2023-02-20T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │ 3000  │ 14700000  │ 3141818.2  │  218181.8  │   3000    │   14750000    │  17150000   │   2400000   │   5   │ 3000 │ 14700000 │ 4.7 │     │        │     │
│    3    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   4100    │   100   │  490000  │ 20040000 │ 1676889000000 │ '2023-02-20T10:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 636.4 │ 45.5 │ 18.2 │     │   0   │     0     │ 3141818.2  │  218181.8  │   3000    │   14750000    │  17150000   │   2400000   │   0   │      │          │     │ 100 │ 490000 │ 5.5 │
│    4    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   5000    │   900   │ 4410000  │ 24450000 │ 1676891100000 │ '2023-02-20T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │  900  │  4410000  │ 3141818.2  │  218181.8  │   3900    │   19160000    │  21560000   │   2400000   │  1.5  │ 900  │ 4410000  │ 1.4 │     │        │     │
│    5    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   5100    │   100   │  490000  │ 24940000 │ 1676892300000 │ '2023-02-20T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │  100  │  490000   │ 3141818.2  │  218181.8  │   4000    │   19650000    │  22050000   │   2400000   │  0.2  │ 100  │  490000  │ 0.2 │     │        │     │
│    6    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   5200    │   100   │  500000  │ 25440000 │ 1676900400000 │ '2023-02-20T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │  100  │  500000   │ 3141818.2  │  218181.8  │   4100    │   20150000    │  22550000   │   2400000   │  0.2  │ 100  │  500000  │ 0.2 │     │        │     │
│    7    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   5500    │   300   │ 1500000  │ 26940000 │ 1676901900000 │ '2023-02-20T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │  300  │  1500000  │ 3141818.2  │  218181.8  │   4400    │   21650000    │  24050000   │   2400000   │  0.5  │ 300  │ 1500000  │ 0.5 │     │        │     │
│    8    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   5700    │   200   │ 1000000  │ 27940000 │ 1676902800000 │ '2023-02-20T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │  200  │  1000000  │ 3141818.2  │  218181.8  │   4600    │   22650000    │  25050000   │   2400000   │  0.3  │ 200  │ 1000000  │ 0.3 │     │        │     │
│    9    │ 5100 │ 5100 │ 5000 │ 5000 │     │         │   7600    │  1900   │ 9510000  │ 37450000 │ 1676903100000 │ '2023-02-20T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 636.4 │ 45.5 │ 18.2 │     │ 1900  │  9510000  │ 3141818.2  │  218181.8  │   6500    │   32160000    │  34560000   │   2400000   │  3.3  │ 1900 │ 9510000  │  3  │     │        │     │
│   10    │ 5100 │ 5100 │ 5100 │ 5100 │     │         │   7700    │   100   │  510000  │ 37960000 │ 1676904300000 │ '2023-02-20T14:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 636.4 │ 45.5 │ 18.2 │     │   0   │     0     │ 3141818.2  │  218181.8  │   6500    │   32160000    │  34560000   │   2400000   │   0   │      │          │     │ 100 │ 510000 │ 5.5 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴────────┴─────┘

