┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 4600 │ 4600 │ 4600 │ 4600 │ 100 │ 460000 │    100    │   100   │  460000  │  460000  │ 1676886300000 │ '2023-02-20T09:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 860 │ 410 │ 10  │ 10  │   0   │     0     │  3956000   │  1845000   │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │    700    │   600   │ 2760000  │ 3220000  │ 1676887200000 │ '2023-02-20T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │  600  │  2760000  │  3956000   │  1845000   │    600    │    2760000    │   2760000   │      0      │  1.3  │ 600  │ 2760000  │ 0.7 │      │          │     │
│    2    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   2000    │  1300   │ 5980000  │ 9200000  │ 1676888100000 │ '2023-02-20T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │ 1300  │  5980000  │  3956000   │  1845000   │   1900    │    8740000    │   8740000   │      0      │  2.8  │ 1300 │ 5980000  │ 1.5 │      │          │     │
│    3    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   2600    │   600   │ 2760000  │ 11960000 │ 1676888400000 │ '2023-02-20T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │  600  │  2760000  │  3956000   │  1845000   │   2500    │   11500000    │  11500000   │      0      │  1.3  │ 600  │ 2760000  │ 0.7 │      │          │     │
│    4    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   3600    │  1000   │ 4600000  │ 16560000 │ 1676892300000 │ '2023-02-20T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │ 1000  │  4600000  │  3956000   │  1845000   │   3500    │   16100000    │  16100000   │      0      │  2.2  │ 1000 │ 4600000  │ 1.2 │      │          │     │
│    5    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   3700    │   100   │  460000  │ 17020000 │ 1676898600000 │ '2023-02-20T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │  100  │  460000   │  3956000   │  1845000   │   3600    │   16560000    │  16560000   │      0      │  0.2  │ 100  │  460000  │ 0.1 │      │          │     │
│    6    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   3900    │   200   │  920000  │ 17940000 │ 1676899500000 │ '2023-02-20T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │  200  │  920000   │  3956000   │  1845000   │   3800    │   17480000    │  17480000   │      0      │  0.4  │ 200  │  920000  │ 0.2 │      │          │     │
│    7    │ 4500 │ 4500 │ 4500 │ 4500 │     │        │   8000    │  4100   │ 18450000 │ 36390000 │ 1676902200000 │ '2023-02-20T14:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 860 │ 410 │ 10  │     │ -4100 │ -18450000 │  3956000   │  1845000   │   -300    │    -970000    │  17480000   │  18450000   │ -8.7  │      │          │     │ 4100 │ 18450000 │ 10  │
│    8    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   12200   │  4200   │ 19320000 │ 55710000 │ 1676903100000 │ '2023-02-20T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │ 4200  │ 19320000  │  3956000   │  1845000   │   3900    │   18350000    │  36800000   │  18450000   │  9.2  │ 4200 │ 19320000 │ 4.9 │      │          │     │
│    9    │ 4600 │ 4600 │ 4600 │ 4600 │     │        │   12800   │   600   │ 2760000  │ 58470000 │ 1676904300000 │ '2023-02-20T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 860 │ 410 │ 10  │     │  600  │  2760000  │  3956000   │  1845000   │   4500    │   21110000    │  39560000   │  18450000   │  1.3  │ 600  │ 2760000  │ 0.7 │      │          │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

