┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬──────┬──────────┬──────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │  auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │  uk  │  val_uk  │ ruk  │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼──────┼──────────┼──────┤
│    0    │ 9000 │ 9000 │ 9000 │ 9000 │ 100 │ 900000  │    100    │   100   │  900000  │  900000  │ 1676883600000 │ '2023-02-20T09:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 263.6 │ 27.3 │ 245.5 │ 3.7 │ -100  │  -900000  │ 2372727.3  │  243636.4  │   -100    │    -900000    │      0      │   900000    │ -0.4  │      │         │     │      │          │      │
│    1    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   1000    │   900   │ 8100000  │ 9000000  │ 1676883900000 │ '2023-02-20T09:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │  900  │  8100000  │ 2372727.3  │  243636.4  │    800    │    7200000    │   8100000   │   900000    │  3.8  │ 900  │ 8100000 │ 3.4 │      │          │      │
│    2    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   1100    │   100   │  900000  │ 9900000  │ 1676885100000 │ '2023-02-20T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │  100  │  900000   │ 2372727.3  │  243636.4  │    900    │    8100000    │   9000000   │   900000    │  0.4  │ 100  │ 900000  │ 0.4 │      │          │      │
│    3    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   3700    │  2600   │ 23400000 │ 33300000 │ 1676885400000 │ '2023-02-20T09:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 263.6 │ 27.3 │ 245.5 │     │   0   │     0     │ 2372727.3  │  243636.4  │    900    │    8100000    │   9000000   │   900000    │   0   │      │         │     │ 2600 │ 23400000 │ 10.6 │
│    4    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   4100    │   400   │ 3600000  │ 36900000 │ 1676886300000 │ '2023-02-20T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │  400  │  3600000  │ 2372727.3  │  243636.4  │   1300    │   11700000    │  12600000   │   900000    │  1.7  │ 400  │ 3600000 │ 1.5 │      │          │      │
│    5    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   5100    │  1000   │ 9000000  │ 45900000 │ 1676886600000 │ '2023-02-20T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │ 1000  │  9000000  │ 2372727.3  │  243636.4  │   2300    │   20700000    │  21600000   │   900000    │  4.2  │ 1000 │ 9000000 │ 3.8 │      │          │      │
│    6    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   5200    │   100   │  900000  │ 46800000 │ 1676887500000 │ '2023-02-20T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │  100  │  900000   │ 2372727.3  │  243636.4  │   2400    │   21600000    │  22500000   │   900000    │  0.4  │ 100  │ 900000  │ 0.4 │      │          │      │
│    7    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   5300    │   100   │  900000  │ 47700000 │ 1676887800000 │ '2023-02-20T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │  100  │  900000   │ 2372727.3  │  243636.4  │   2500    │   22500000    │  23400000   │   900000    │  0.4  │ 100  │ 900000  │ 0.4 │      │          │      │
│    8    │ 8900 │ 8900 │ 8900 │ 8900 │ 200 │ 1780000 │   5500    │   200   │ 1780000  │ 49480000 │ 1676898000000 │ '2023-02-20T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 263.6 │ 27.3 │ 245.5 │ 7.3 │ -200  │ -1780000  │ 2372727.3  │  243636.4  │   2300    │   20720000    │  23400000   │   2680000   │ -0.8  │      │         │     │      │          │      │
│    9    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   5800    │   300   │ 2700000  │ 52180000 │ 1676901900000 │ '2023-02-20T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 263.6 │ 27.3 │ 245.5 │     │  300  │  2700000  │ 2372727.3  │  243636.4  │   2600    │   23420000    │  26100000   │   2680000   │  1.3  │ 300  │ 2700000 │ 1.1 │      │          │      │
│   10    │ 9000 │ 9000 │ 9000 │ 9000 │     │         │   5900    │   100   │  900000  │ 53080000 │ 1676904300000 │ '2023-02-20T14:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 263.6 │ 27.3 │ 245.5 │     │   0   │     0     │ 2372727.3  │  243636.4  │   2600    │   23420000    │  26100000   │   2680000   │   0   │      │         │     │ 100  │  900000  │ 0.4  │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┴──────┴──────────┴──────┘

