┌─────────┬──────┬──────┬──────┬──────┬────────┬────────────┬───────────┬─────────┬────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬─────────┬─────┬──────┬─────────┬─────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │   asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼────────┼────────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼─────────┼─────┼──────┼─────────┼─────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 3070 │ 3070 │ 3070 │ 3070 │ 333900 │ 1025073000 │  333900   │ 333900  │ 1025073000 │ 1025073000 │ 1676884500000 │ '2023-02-20T09:15:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 19.9 │ -333900 │ -1025073000 │     0      │ 51470973.7 │  -333900  │  -1025073000  │      0      │ 1025073000  │ 19.9  │
│    1    │ 3070 │ 3070 │ 3070 │ 3070 │ 30500  │  93635000  │  364400   │  30500  │  93635000  │ 1118708000 │ 1676884800000 │ '2023-02-20T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 1.8  │ -30500  │  -93635000  │     0      │ 51470973.7 │  -364400  │  -1118708000  │      0      │ 1118708000  │  1.8  │
│    2    │ 3070 │ 3070 │ 3070 │ 3070 │  8100  │  24867000  │  372500   │  8100   │  24867000  │ 1143575000 │ 1676885100000 │ '2023-02-20T09:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 0.5  │  -8100  │  -24867000  │     0      │ 51470973.7 │  -372500  │  -1143575000  │      0      │ 1143575000  │  0.5  │
│    3    │ 3070 │ 3070 │ 3070 │ 3070 │ 34100  │ 104687000  │  406600   │  34100  │ 104687000  │ 1248262000 │ 1676885400000 │ '2023-02-20T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │  2   │ -34100  │ -104687000  │     0      │ 51470973.7 │  -406600  │  -1248262000  │      0      │ 1248262000  │   2   │
│    4    │ 3070 │ 3070 │ 3070 │ 3070 │ 23000  │  70610000  │  429600   │  23000  │  70610000  │ 1318872000 │ 1676885700000 │ '2023-02-20T09:35:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 1.4  │ -23000  │  -70610000  │     0      │ 51470973.7 │  -429600  │  -1318872000  │      0      │ 1318872000  │  1.4  │
│    5    │ 3070 │ 3070 │ 3070 │ 3070 │  5500  │  16885000  │  435100   │  5500   │  16885000  │ 1335757000 │ 1676886000000 │ '2023-02-20T09:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 0.3  │  -5500  │  -16885000  │     0      │ 51470973.7 │  -435100  │  -1335757000  │      0      │ 1335757000  │  0.3  │
│    6    │ 3070 │ 3070 │ 3070 │ 3070 │  6100  │  18727000  │  441200   │  6100   │  18727000  │ 1354484000 │ 1676886300000 │ '2023-02-20T09:45:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 0.4  │  -6100  │  -18727000  │     0      │ 51470973.7 │  -441200  │  -1354484000  │      0      │ 1354484000  │  0.4  │
│    7    │ 3070 │ 3070 │ 3070 │ 3070 │  700   │  2149000   │  441900   │   700   │  2149000   │ 1356633000 │ 1676886600000 │ '2023-02-20T09:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │  0   │  -700   │  -2149000   │     0      │ 51470973.7 │  -441900  │  -1356633000  │      0      │ 1356633000  │   0   │
│    8    │ 3070 │ 3070 │ 3070 │ 3070 │ 28800  │  88416000  │  470700   │  28800  │  88416000  │ 1445049000 │ 1676886900000 │ '2023-02-20T09:55:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 16765.8 │  0  │ 1.7  │ -28800  │  -88416000  │     0      │ 51470973.7 │  -470700  │  -1445049000  │      0      │ 1445049000  │  1.7  │
