┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │ val_bu  │ rbu │ sd  │ val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼─────┼─────────┼─────┤
│    0    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │ 200 │ 3260000 │    200    │   200   │ 3260000 │ 3260000  │ 1672996500000 │ '2023-01-06T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 120 │ 10  │ 20  │ 10  │   0   │     0     │  1955500   │   162000   │     0     │       0       │      0      │      0      │   0   │     │         │     │     │         │     │
│    1    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │    500    │   300   │ 4890000 │ 8150000  │ 1672997700000 │ '2023-01-06T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  300  │  4890000  │  1955500   │   162000   │    300    │    4890000    │   4890000   │      0      │  2.7  │ 300 │ 4890000 │ 2.5 │     │         │     │
│    2    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │    600    │   100   │ 1630000 │ 9780000  │ 1672998300000 │ '2023-01-06T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  100  │  1630000  │  1955500   │   162000   │    400    │    6520000    │   6520000   │      0      │  0.9  │ 100 │ 1630000 │ 0.8 │     │         │     │
│    3    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │    700    │   100   │ 1630000 │ 11410000 │ 1672998600000 │ '2023-01-06T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  100  │  1630000  │  1955500   │   162000   │    500    │    8150000    │   8150000   │      0      │  0.9  │ 100 │ 1630000 │ 0.8 │     │         │     │
│    4    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │    800    │   100   │ 1630000 │ 13040000 │ 1672999800000 │ '2023-01-06T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  100  │  1630000  │  1955500   │   162000   │    600    │    9780000    │   9780000   │      0      │  0.9  │ 100 │ 1630000 │ 0.8 │     │         │     │
│    5    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │    900    │   100   │ 1630000 │ 14670000 │ 1673001000000 │ '2023-01-06T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  100  │  1630000  │  1955500   │   162000   │    700    │   11410000    │  11410000   │      0      │  0.9  │ 100 │ 1630000 │ 0.8 │     │         │     │
│    6    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │   1000    │   100   │ 1630000 │ 16300000 │ 1673002800000 │ '2023-01-06T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  100  │  1630000  │  1955500   │   162000   │    800    │   13040000    │  13040000   │      0      │  0.9  │ 100 │ 1630000 │ 0.8 │     │         │     │
│    7    │ 16.3  │ 16.3  │ 16.3  │ 16.3  │     │         │   1300    │   300   │ 4890000 │ 21190000 │ 1673003100000 │ '2023-01-06T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  300  │  4890000  │  1955500   │   162000   │   1100    │   17930000    │  17930000   │      0      │  2.7  │ 300 │ 4890000 │ 2.5 │     │         │     │
│    8    │ 16.2  │ 16.2  │ 16.2  │ 16.2  │     │         │   1400    │   100   │ 1620000 │ 22810000 │ 1673013300000 │ '2023-01-06T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 120 │ 10  │ 20  │     │ -100  │ -1620000  │  1955500   │   162000   │   1000    │   16310000    │  17930000   │   1620000   │ -0.9  │     │         │     │ 100 │ 1620000 │ 10  │
│    9    │ 16.25 │ 16.25 │ 16.25 │ 16.25 │     │         │   1500    │   100   │ 1625000 │ 24435000 │ 1673013900000 │ '2023-01-06T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 120 │ 10  │ 20  │     │  100  │  1625000  │  1955500   │   162000   │   1100    │   17935000    │  19555000   │   1620000   │  0.9  │ 100 │ 1625000 │ 0.8 │     │         │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴─────┴─────────┴─────┘

