┌─────────┬─────┬─────┬─────┬─────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬─────┬──────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  bu  │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │ auk │ rbu  │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd  │ rsd │
├─────────┼─────┼─────┼─────┼─────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼─────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┤
│    0    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │ 100  │  250000  │    100    │   100   │  250000  │  250000   │ 1672999560000 │ '2023-01-06T10:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 3044.4 │  0  │ 0.2  │  100   │  250000   │ 1333888.9  │ 7306666.7  │    100    │    250000     │   250000    │      0      │   0   │       │          │     │
│    1    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   10100   │  10000  │ 24000000 │ 24250000  │ 1673000160000 │ '2023-01-06T10:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │ -10000 │ -24000000 │ 1333888.9  │ 7306666.7  │   -9900   │   -23750000   │   250000    │  24000000   │   4   │ 10000 │ 24000000 │ 3.3 │
│    2    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   20100   │  10000  │ 24000000 │ 48250000  │ 1673000760000 │ '2023-01-06T10:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │ -10000 │ -24000000 │ 1333888.9  │ 7306666.7  │  -19900   │   -47750000   │   250000    │  48000000   │   4   │ 10000 │ 24000000 │ 3.3 │
│    3    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │ 9900 │ 23760000 │   30000   │  9900   │ 23760000 │ 72010000  │ 1673001240000 │ '2023-01-06T10:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 3044.4 │  0  │ 17.8 │  9900  │ 23760000  │ 1333888.9  │ 7306666.7  │  -10000   │   -23990000   │  24010000   │  48000000   │   4   │       │          │     │
│    4    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   33300   │  3300   │ 7920000  │ 79930000  │ 1673001360000 │ '2023-01-06T10:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │ -3300  │ -7920000  │ 1333888.9  │ 7306666.7  │  -13300   │   -31910000   │  24010000   │  55920000   │  1.3  │ 3300  │ 7920000  │ 1.1 │
│    5    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   34300   │  1000   │ 2400000  │ 82330000  │ 1673001720000 │ '2023-01-06T10:42:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │ -1000  │ -2400000  │ 1333888.9  │ 7306666.7  │  -14300   │   -34310000   │  24010000   │  58320000   │  0.4  │ 1000  │ 2400000  │ 0.3 │
│    6    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   35300   │  1000   │ 2400000  │ 84730000  │ 1673001960000 │ '2023-01-06T10:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │ -1000  │ -2400000  │ 1333888.9  │ 7306666.7  │  -15300   │   -36710000   │  24010000   │  60720000   │  0.4  │ 1000  │ 2400000  │ 0.3 │
│    7    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   46300   │  11000  │ 26400000 │ 111130000 │ 1673010000000 │ '2023-01-06T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │ -11000 │ -26400000 │ 1333888.9  │ 7306666.7  │  -26300   │   -63110000   │  24010000   │  87120000   │  4.4  │ 11000 │ 26400000 │ 3.6 │
│    8    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   46600   │   300   │  720000  │ 111850000 │ 1673010480000 │ '2023-01-06T13:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │  -300  │  -720000  │ 1333888.9  │ 7306666.7  │  -26600   │   -63830000   │  24010000   │  87840000   │  0.1  │  300  │  720000  │ 0.1 │
│    9    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   46900   │   300   │  720000  │ 112570000 │ 1673010600000 │ '2023-01-06T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │  -300  │  -720000  │ 1333888.9  │ 7306666.7  │  -26900   │   -64550000   │  24010000   │  88560000   │  0.1  │  300  │  720000  │ 0.1 │
│   10    │ 2.4 │ 2.4 │ 2.4 │ 2.4 │      │          │   47500   │   600   │ 1440000  │ 114010000 │ 1673011080000 │ '2023-01-06T13:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 3044.4 │  0  │      │  -600  │ -1440000  │ 1333888.9  │ 7306666.7  │  -27500   │   -65990000   │  24010000   │  90000000   │  0.2  │  600  │ 1440000  │ 0.2 │
