┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬────────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk   │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │  val_uk   │ ruk │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼────────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┼──────┼──────────┼─────┤
│    0    │ 16.3 │ 16.5 │ 16.3 │ 16.5 │ 6000 │ 98400000 │   6000    │  6000   │ 98400000  │ 98400000  │ 1671701400000 │ '2022-12-22T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 877.8 │ 666.7 │ 1333.3 │  9  │ -6000 │ -98400000 │ 15902222.2 │ 10933333.3 │   -6000   │   -98400000   │      0      │  98400000   │ -19.8 │      │           │     │      │          │     │
│    1    │ 16.3 │ 16.3 │ 16.3 │ 16.3 │      │          │   12200   │  6200   │ 101060000 │ 199460000 │ 1671702000000 │ '2022-12-22T09:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 877.8 │ 666.7 │ 1333.3 │     │   0   │     0     │ 15902222.2 │ 10933333.3 │   -6000   │   -98400000   │      0      │  98400000   │   0   │ 6200 │ 101060000 │ 4.7 │      │          │     │
│    2    │ 17.5 │ 17.5 │ 17.5 │ 17.5 │      │          │   13200   │  1000   │ 17500000  │ 216960000 │ 1671703200000 │ '2022-12-22T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 877.8 │ 666.7 │ 1333.3 │     │ 1000  │ 17500000  │ 15902222.2 │ 10933333.3 │   -5000   │   -80900000   │  17500000   │  98400000   │  3.5  │      │           │     │ 1000 │ 17500000 │ 1.1 │
│    3    │ 17.8 │ 17.8 │ 17.8 │ 17.8 │      │          │   16100   │  2900   │ 51620000  │ 268580000 │ 1671703500000 │ '2022-12-22T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 877.8 │ 666.7 │ 1333.3 │     │ 2900  │ 51620000  │ 15902222.2 │ 10933333.3 │   -2100   │   -29280000   │  69120000   │  98400000   │ 10.4  │      │           │     │ 2900 │ 51620000 │ 3.3 │
│    4    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │      │          │   19100   │  3000   │ 55500000  │ 324080000 │ 1671704100000 │ '2022-12-22T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 877.8 │ 666.7 │ 1333.3 │     │ 3000  │ 55500000  │ 15902222.2 │ 10933333.3 │    900    │   26220000    │  124620000  │  98400000   │ 11.2  │      │           │     │ 3000 │ 55500000 │ 3.4 │
│    5    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │      │          │   20100   │  1000   │ 18500000  │ 342580000 │ 1671704400000 │ '2022-12-22T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 877.8 │ 666.7 │ 1333.3 │     │ 1000  │ 18500000  │ 15902222.2 │ 10933333.3 │   1900    │   44720000    │  143120000  │  98400000   │  3.7  │      │           │     │ 1000 │ 18500000 │ 1.1 │
│    6    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │      │          │   23100   │  3000   │ 55500000  │ 398080000 │ 1671705000000 │ '2022-12-22T10:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 877.8 │ 666.7 │ 1333.3 │     │   0   │     0     │ 15902222.2 │ 10933333.3 │   1900    │   44720000    │  143120000  │  98400000   │   0   │ 3000 │ 55500000  │ 2.3 │      │          │     │
│    7    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │      │          │   24100   │  1000   │ 18500000  │ 416580000 │ 1671705300000 │ '2022-12-22T10:35:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 877.8 │ 666.7 │ 1333.3 │     │   0   │     0     │ 15902222.2 │ 10933333.3 │   1900    │   44720000    │  143120000  │  98400000   │   0   │ 1000 │ 18500000  │ 0.8 │      │          │     │
│    8    │ 18.2 │ 18.2 │ 18.2 │ 18.2 │      │          │   25900   │  1800   │ 32760000  │ 449340000 │ 1671706200000 │ '2022-12-22T10:50:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 877.8 │ 666.7 │ 1333.3 │     │   0   │     0     │ 15902222.2 │ 10933333.3 │   1900    │   44720000    │  143120000  │  98400000   │   0   │ 1800 │ 32760000  │ 1.4 │      │          │     │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴────────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴───────────┴─────┴──────┴──────────┴─────┘

