┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │  8  │  8  │  8  │  8  │ 200 │  1600  │    200    │   200   │  1600   │   1600   │ 1671700200000 │ '2022-12-22T09:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 345.5 │ 54.5 │  0  │ 3.7 │ -200  │   -1600   │  297018.2  │   436.4    │   -200    │     -1600     │      0      │    1600     │  -0   │      │         │     │
│    1    │  8  │  8  │  8  │  8  │     │        │    400    │   200   │  1600   │   3200   │ 1671701400000 │ '2022-12-22T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  200  │   1600    │  297018.2  │   436.4    │     0     │       0       │    1600     │    1600     │   0   │ 200  │  1600   │ 0.6 │
│    2    │  8  │  8  │  8  │  8  │     │        │    600    │   200   │  1600   │   4800   │ 1671702300000 │ '2022-12-22T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  200  │   1600    │  297018.2  │   436.4    │    200    │     1600      │    3200     │    1600     │   0   │ 200  │  1600   │ 0.6 │
│    3    │  8  │  8  │  8  │  8  │ 400 │  3200  │   1000    │   400   │  3200   │   8000   │ 1671702600000 │ '2022-12-22T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 345.5 │ 54.5 │  0  │ 7.3 │ -400  │   -3200   │  297018.2  │   436.4    │   -200    │     -1600     │    3200     │    4800     │  -0   │      │         │     │
│    4    │ 8.1 │ 8.1 │ 8.1 │ 8.1 │     │        │   1400    │   400   │ 3240000 │ 3248000  │ 1671704100000 │ '2022-12-22T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  400  │  3240000  │  297018.2  │   436.4    │    200    │    3238400    │   3243200   │    4800     │ 10.9  │ 400  │ 3240000 │ 1.2 │
│    5    │  8  │  8  │  8  │  8  │     │        │   2300    │   900   │  7200   │ 3255200  │ 1671707700000 │ '2022-12-22T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  900  │   7200    │  297018.2  │   436.4    │   1100    │    3245600    │   3250400   │    4800     │   0   │ 900  │  7200   │ 2.6 │
│    6    │  8  │  8  │  8  │  8  │     │        │   3300    │  1000   │  8000   │ 3263200  │ 1671715500000 │ '2022-12-22T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │ 1000  │   8000    │  297018.2  │   436.4    │   2100    │    3253600    │   3258400   │    4800     │   0   │ 1000 │  8000   │ 2.9 │
│    7    │  8  │  8  │  8  │  8  │     │        │   3400    │   100   │   800   │ 3264000  │ 1671716700000 │ '2022-12-22T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  100  │    800    │  297018.2  │   436.4    │   2200    │    3254400    │   3259200   │    4800     │   0   │ 100  │   800   │ 0.3 │
│    8    │  8  │  8  │  8  │  8  │     │        │   3500    │   100   │   800   │ 3264800  │ 1671717900000 │ '2022-12-22T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  100  │    800    │  297018.2  │   436.4    │   2300    │    3255200    │   3260000   │    4800     │   0   │ 100  │   800   │ 0.3 │
│    9    │  8  │  8  │  8  │  8  │     │        │   3600    │   100   │   800   │ 3265600  │ 1671720000000 │ '2022-12-22T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  100  │    800    │  297018.2  │   436.4    │   2400    │    3256000    │   3260800   │    4800     │   0   │ 100  │   800   │ 0.3 │
│   10    │  8  │  8  │  8  │  8  │     │        │   4400    │   800   │  6400   │ 3272000  │ 1671720600000 │ '2022-12-22T14:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 345.5 │ 54.5 │  0  │     │  800  │   6400    │  297018.2  │   436.4    │   3200    │    3262400    │   3267200   │    4800     │   0   │ 800  │  6400   │ 2.3 │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┘

