┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬────────────────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬────────┬─────────────────────┬────────────┬────────────┬───────────┬────────────────────┬───────────────────┬─────────────┬───────┬───────┬────────────────────┬─────┬──────┬───────────────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │        val         │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ ruk │ bu-sd  │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │   acum_busd_val    │    acum_val_bu    │ acum_val_sd │ rbusd │  sd   │       val_sd       │ rsd │  bu  │      val_bu       │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼────────────────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼────────┼─────────────────────┼────────────┼────────────┼───────────┼────────────────────┼───────────────────┼─────────────┼───────┼───────┼────────────────────┼─────┼──────┼───────────────────┼─────┤
│    0    │ 17.3 │ 17.3 │ 17.3 │ 17.3 │ 200 │ 3460000 │    200    │   200   │      3460000       │  3460000  │ 1671794040000 │ '2022-12-23T11:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 640 │ 3690 │ 20  │ 10  │   0    │          0          │  7186940   │  2499550   │     0     │         0          │         0         │      0      │   0   │       │                    │     │      │                   │     │
│    1    │ 17.3 │ 17.3 │ 17.3 │ 17.3 │     │         │    500    │   300   │      5190000       │  8650000  │ 1671800400000 │ '2022-12-23T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 640 │ 3690 │ 20  │     │  -300  │      -5190000       │  7186940   │  2499550   │   -300    │      -5190000      │         0         │   5190000   │  1.1  │  300  │      5190000       │ 0.1 │      │                   │     │
│    2    │ 17.4 │ 17.4 │ 17.4 │ 17.4 │     │         │    600    │   100   │ 1739999.9999999998 │ 10390000  │ 1671801480000 │ '2022-12-23T13:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 640 │ 3690 │ 20  │     │  -100  │ -1739999.9999999998 │  7186940   │  2499550   │   -400    │      -6930000      │         0         │   6930000   │  0.4  │  100  │ 1739999.9999999998 │  0  │      │                   │     │
│    3    │ 17.3 │ 17.3 │ 17.3 │ 17.3 │     │         │   1400    │   800   │      13840000      │ 24230000  │ 1671801600000 │ '2022-12-23T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 640 │ 3690 │ 20  │     │  -800  │      -13840000      │  7186940   │  2499550   │   -1200   │     -20770000      │         0         │  20770000   │   3   │  800  │      13840000      │ 0.2 │      │                   │     │
│    4    │  19  │  19  │  19  │  19  │     │         │   4000    │  2600   │       49400        │ 24279400  │ 1671802440000 │ '2022-12-23T13:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 640 │ 3690 │ 20  │     │  2600  │        49400        │  7186940   │  2499550   │   1400    │     -20720600      │       49400       │  20770000   │   0   │       │                    │     │ 2600 │       49400       │ 4.1 │
│    5    │ 18.9 │ 18.9 │ 18.9 │ 18.9 │     │         │   7000    │  3000   │ 56699999.99999999  │ 80979400  │ 1671802560000 │ '2022-12-23T13:36:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 640 │ 3690 │ 20  │     │  3000  │  56699999.99999999  │  7186940   │  2499550   │   4400    │ 35979399.99999999  │ 56749399.99999999 │  20770000   │ 12.1  │       │                    │     │ 3000 │ 56699999.99999999 │ 4.7 │
│    6    │ 17.4 │ 17.4 │ 17.4 │ 17.4 │     │         │   7200    │   200   │ 3479999.9999999995 │ 84459400  │ 1671803760000 │ '2022-12-23T13:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 640 │ 3690 │ 20  │     │  -200  │ -3479999.9999999995 │  7186940   │  2499550   │   4200    │ 32499399.999999993 │ 56749399.99999999 │  24250000   │  0.7  │  200  │ 3479999.9999999995 │ 0.1 │      │                   │     │
│    7    │ 18.9 │ 18.9 │ 18.9 │ 18.9 │     │         │   7700    │   500   │      9450000       │ 93909400  │ 1671805080000 │ '2022-12-23T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 640 │ 3690 │ 20  │     │  500   │       9450000       │  7186940   │  2499550   │   4700    │ 41949399.99999999  │ 66199399.99999999 │  24250000   │   2   │       │                    │     │ 500  │      9450000      │ 0.8 │
│    8    │ 18.9 │ 18.9 │ 18.9 │ 18.9 │     │         │   8000    │   300   │      5670000       │ 99579400  │ 1671805560000 │ '2022-12-23T14:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 640 │ 3690 │ 20  │     │  300   │       5670000       │  7186940   │  2499550   │   5000    │ 47619399.99999999  │     71869400      │  24250000   │  1.2  │       │                    │     │ 300  │      5670000      │ 0.5 │
│    9    │  21  │  21  │  21  │  21  │     │         │   43500   │  35500  │       745500       │ 100324900 │ 1671806640000 │ '2022-12-23T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 640 │ 3690 │ 20  │     │ -35500 │       -745500       │  7186940   │  2499550   │  -30500   │ 46873899.99999999  │     71869400      │  24995500   │  0.2  │ 35500 │       745500       │ 9.6 │      │                   │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴────────────────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴────────┴─────────────────────┴────────────┴────────────┴───────────┴────────────────────┴───────────────────┴─────────────┴───────┴───────┴────────────────────┴─────┴──────┴───────────────────┴─────┘
