┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 23.05 │ 23.05 │ 23.05 │ 23.05 │ 1100 │ 25355000 │   1100    │  1100   │ 25355000 │ 25355000 │ 1671786900000 │ '2022-12-23T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 33.3 │ 777.8 │ 122.2 │  9  │   0   │     0     │   750000   │ 1943888.9  │     0     │       0       │      0      │      0      │  -0   │      │          │     │     │         │     │
│    1    │  21   │ 22.1  │  21   │ 22.1  │      │          │   3800    │  2700   │ 6501400  │ 31856400 │ 1671792600000 │ '2022-12-23T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -2700 │ -6501400  │   750000   │ 1943888.9  │   -2700   │   -6501400    │      0      │   6501400   │  5.4  │ 2700 │ 6501400  │ 3.5 │     │         │     │
│    2    │  22   │  22   │  22   │  22   │      │          │   3900    │   100   │   2200   │ 31858600 │ 1671800400000 │ '2022-12-23T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -100  │   -2200   │   750000   │ 1943888.9  │   -2800   │   -6503600    │      0      │   6503600   │   0   │ 100  │   2200   │ 0.1 │     │         │     │
│    3    │  22   │  22   │  22   │  22   │      │          │   4100    │   200   │   4400   │ 31863000 │ 1671801900000 │ '2022-12-23T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -200  │   -4400   │   750000   │ 1943888.9  │   -3000   │   -6508000    │      0      │   6508000   │   0   │ 200  │   4400   │ 0.3 │     │         │     │
│    4    │  22   │  22   │  22   │  22   │      │          │   6600    │  2500   │  55000   │ 31918000 │ 1671803400000 │ '2022-12-23T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -2500 │  -55000   │   750000   │ 1943888.9  │   -5500   │   -6563000    │      0      │   6563000   │   0   │ 2500 │  55000   │ 3.2 │     │         │     │
│    5    │  22   │  22   │  22   │  22   │      │          │   7100    │   500   │  11000   │ 31929000 │ 1671803700000 │ '2022-12-23T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -500  │  -11000   │   750000   │ 1943888.9  │   -6000   │   -6574000    │      0      │   6574000   │   0   │ 500  │  11000   │ 0.6 │     │         │     │
│    6    │  22   │  22   │  22   │  22   │      │          │   7600    │   500   │  11000   │ 31940000 │ 1671804000000 │ '2022-12-23T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -500  │  -11000   │   750000   │ 1943888.9  │   -6500   │   -6585000    │      0      │   6585000   │   0   │ 500  │  11000   │ 0.6 │     │         │     │
│    7    │ 21.8  │ 21.9  │ 21.8  │ 21.9  │      │          │   8100    │   500   │ 10910000 │ 42850000 │ 1671805200000 │ '2022-12-23T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 777.8 │ 122.2 │     │ -500  │ -10910000 │   750000   │ 1943888.9  │   -7000   │   -17495000   │      0      │  17495000   │  9.1  │ 500  │ 10910000 │ 0.6 │     │         │     │
│    8    │ 22.5  │ 22.5  │ 22.5  │ 22.5  │      │          │   8400    │   300   │ 6750000  │ 49600000 │ 1671806700000 │ '2022-12-23T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 33.3 │ 777.8 │ 122.2 │     │  300  │  6750000  │   750000   │ 1943888.9  │   -6700   │   -10745000   │   6750000   │  17495000   │ -5.7  │      │          │     │ 300 │ 6750000 │  9  │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘

