┌─────────┬─────┬─────┬─────┬─────┬────────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬────────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │   uk   │  val_uk   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk   │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼────────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼────────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 4.2 │ 4.2 │ 4.2 │ 4.2 │ 100000 │ 420000000 │  100000   │ 100000  │ 420000000 │ 420000000 │ 1671786000000 │ '2022-12-23T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 322.2 │ 955.6 │ 5555.6 │ 18  │   0   │     0     │ 1150111.1  │ 3618888.9  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │         │     │
│    1    │ 4.2 │ 4.2 │ 4.2 │ 4.2 │        │           │  100200   │   200   │  840000   │ 420840000 │ 1671786600000 │ '2022-12-23T09:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -200  │  -840000  │ 1150111.1  │ 3618888.9  │   -200    │    -840000    │      0      │   840000    │  0.3  │ 200  │  840000  │ 0.2 │      │         │     │
│    2    │ 4.2 │ 4.2 │ 4.2 │ 4.2 │        │           │  100300   │   100   │  420000   │ 421260000 │ 1671787200000 │ '2022-12-23T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 322.2 │ 955.6 │ 5555.6 │     │  100  │  420000   │ 1150111.1  │ 3618888.9  │   -100    │    -420000    │   420000    │   840000    │ -0.2  │      │          │     │ 100  │ 420000  │ 0.3 │
│    3    │  4  │  4  │  4  │  4  │        │           │  100800   │   500   │   2000    │ 421262000 │ 1671789900000 │ '2022-12-23T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 322.2 │ 955.6 │ 5555.6 │     │  500  │   2000    │ 1150111.1  │ 3618888.9  │    400    │    -418000    │   422000    │   840000    │  -0   │      │          │     │ 500  │  2000   │ 1.6 │
│    4    │ 3.9 │ 3.9 │ 3.9 │ 3.9 │        │           │  101100   │   300   │  1170000  │ 422432000 │ 1671790500000 │ '2022-12-23T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -300  │ -1170000  │ 1150111.1  │ 3618888.9  │    100    │   -1588000    │   422000    │   2010000   │  0.5  │ 300  │ 1170000  │ 0.3 │      │         │     │
│    5    │ 3.9 │ 3.9 │ 3.9 │ 3.9 │        │           │  101300   │   200   │  780000   │ 423212000 │ 1671790800000 │ '2022-12-23T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -200  │  -780000  │ 1150111.1  │ 3618888.9  │   -100    │   -2368000    │   422000    │   2790000   │  0.3  │ 200  │  780000  │ 0.2 │      │         │     │
│    6    │ 3.9 │ 3.9 │ 3.9 │ 3.9 │        │           │  101400   │   100   │  390000   │ 423602000 │ 1671791100000 │ '2022-12-23T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -100  │  -390000  │ 1150111.1  │ 3618888.9  │   -200    │   -2758000    │   422000    │   3180000   │  0.2  │ 100  │  390000  │ 0.1 │      │         │     │
│    7    │ 3.9 │ 3.9 │ 3.9 │ 3.9 │        │           │  101900   │   500   │  1950000  │ 425552000 │ 1671800400000 │ '2022-12-23T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 322.2 │ 955.6 │ 5555.6 │     │  500  │  1950000  │ 1150111.1  │ 3618888.9  │    300    │    -808000    │   2372000   │   3180000   │ -0.8  │      │          │     │ 500  │ 1950000 │ 1.6 │
│    8    │ 3.9 │ 3.9 │ 3.9 │ 3.9 │        │           │  102800   │   900   │  3510000  │ 429062000 │ 1671803100000 │ '2022-12-23T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -900  │ -3510000  │ 1150111.1  │ 3618888.9  │   -600    │   -4318000    │   2372000   │   6690000   │  1.4  │ 900  │ 3510000  │ 0.9 │      │         │     │
│    9    │ 3.8 │ 3.8 │ 3.8 │ 3.8 │        │           │  107800   │  5000   │ 19000000  │ 448062000 │ 1671803400000 │ '2022-12-23T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -5000 │ -19000000 │ 1150111.1  │ 3618888.9  │   -5600   │   -23318000   │   2372000   │  25690000   │  7.7  │ 5000 │ 19000000 │ 5.2 │      │         │     │
│   10    │ 3.7 │ 3.7 │ 3.7 │ 3.7 │        │           │  112800   │  5000   │ 18500000  │ 466562000 │ 1671803700000 │ '2022-12-23T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 322.2 │ 955.6 │ 5555.6 │     │ -5000 │ -18500000 │ 1150111.1  │ 3618888.9  │  -10600   │   -41818000   │   2372000   │  44190000   │  7.5  │ 5000 │ 18500000 │ 5.2 │      │         │     │
