┌─────────┬───────┬───────┬───────┬───────┬──────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬─────┬─────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │ auk │ rbu │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd  │ rsd │ uk  │ val_uk  │ ruk │
├─────────┼───────┼───────┼───────┼───────┼──────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼─────┼─────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 22.4  │ 22.4  │ 22.4  │ 22.4  │ 200  │ 4480000 │    200    │   200   │ 4480000  │  4480000  │ 1671616680000 │ '2022-12-21T09:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 109.1 │ 3481.8 │ 9.1 │ 1.8 │  200   │  4480000  │  409272.7  │ 26531563.6 │    200    │    4480000    │   4480000   │      0      │  0.2  │       │          │     │     │         │     │
│    1    │ 22.1  │ 22.1  │ 22.1  │ 22.1  │      │         │    900    │   700   │ 15470000 │ 19950000  │ 1671617760000 │ '2022-12-21T10:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │  -700  │ -15470000 │  409272.7  │ 26531563.6 │   -500    │   -10990000   │   4480000   │  15470000   │  0.6  │  700  │ 15470000 │ 0.2 │     │         │     │
│    2    │  22   │ 22.05 │  22   │ 22.05 │      │         │   6200    │  5300   │ 88228600 │ 108178600 │ 1671617880000 │ '2022-12-21T10:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │ -5300  │ -88228600 │  409272.7  │ 26531563.6 │   -5800   │   -99218600   │   4480000   │  103698600  │  3.4  │ 5300  │ 88228600 │ 1.5 │     │         │     │
│    3    │  22   │  22   │  22   │  22   │ 1000 │  22000  │   7200    │  1000   │  22000   │ 108200600 │ 1671618120000 │ '2022-12-21T10:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 109.1 │ 3481.8 │ 9.1 │ 9.2 │  1000  │   22000   │  409272.7  │ 26531563.6 │   -4800   │   -99196600   │   4502000   │  103698600  │   0   │       │          │     │     │         │     │
│    4    │  22   │  22   │  22   │  22   │      │         │   14400   │  7200   │  158400  │ 108359000 │ 1671618240000 │ '2022-12-21T10:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │ -7200  │  -158400  │  409272.7  │ 26531563.6 │  -12000   │   -99355000   │   4502000   │  103857000  │   0   │ 7200  │  158400  │ 2.1 │     │         │     │
│    5    │  22   │ 22.05 │  22   │ 22.05 │      │         │   20200   │  5800   │ 55197600 │ 163556600 │ 1671620640000 │ '2022-12-21T11:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │ -5800  │ -55197600 │  409272.7  │ 26531563.6 │  -17800   │  -154552600   │   4502000   │  159054600  │  2.1  │ 5800  │ 55197600 │ 1.7 │     │         │     │
│    6    │  22   │  22   │  22   │  22   │      │         │   20600   │   400   │   8800   │ 163565400 │ 1671622080000 │ '2022-12-21T11:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │  -400  │   -8800   │  409272.7  │ 26531563.6 │  -18200   │  -154561400   │   4502000   │  159063400  │   0   │  400  │   8800   │ 0.1 │     │         │     │
│    7    │ 22.1  │ 22.1  │ 22.1  │ 22.1  │      │         │   22600   │  2000   │ 44200000 │ 207765400 │ 1671628200000 │ '2022-12-21T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │ -2000  │ -44200000 │  409272.7  │ 26531563.6 │  -20200   │  -198761400   │   4502000   │  203263400  │  1.7  │ 2000  │ 44200000 │ 0.6 │     │         │     │
│    8    │ 22.1  │ 22.1  │ 22.1  │ 22.1  │      │         │   24500   │  1900   │ 41990000 │ 249755400 │ 1671630120000 │ '2022-12-21T13:42:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │ -1900  │ -41990000 │  409272.7  │ 26531563.6 │  -22100   │  -240751400   │   4502000   │  245253400  │  1.6  │ 1900  │ 41990000 │ 0.5 │     │         │     │
│    9    │  22   │ 22.1  │  22   │ 22.1  │      │         │   39500   │  15000  │ 46593800 │ 296349200 │ 1671632640000 │ '2022-12-21T14:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 3481.8 │ 9.1 │     │ -15000 │ -46593800 │  409272.7  │ 26531563.6 │  -37100   │  -287345200   │   4502000   │  291847200  │  1.8  │ 15000 │ 46593800 │ 4.3 │     │         │     │
│   10    │ 22.35 │ 22.35 │ 22.35 │ 22.35 │      │         │   39600   │   100   │ 2235000  │ 298584200 │ 1671633840000 │ '2022-12-21T14:44:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 109.1 │ 3481.8 │ 9.1 │     │   0    │     0     │  409272.7  │ 26531563.6 │  -37100   │  -287345200   │   4502000   │  291847200  │   0   │       │          │     │ 100 │ 2235000 │ 11  │
