┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬─────┬───────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb  │  abu  │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼─────┼───────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 22.6 │ 22.6 │ 22.6 │ 22.6 │ 100 │ 2260000 │    100    │   100   │ 2260000  │ 2260000  │ 1672132440000 │ '2022-12-27T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │ NaN │ 333.3 │  0  │ 11.1 │  9  │   0   │     0     │  7500000   │     0      │     0     │       0       │      0      │      0      │   0   │      │          │     │
│    1    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │    500    │   400   │ 9000000  │ 11260000 │ 1672134480000 │ '2022-12-27T09:48:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  400  │  9000000  │  7500000   │     0      │    400    │    9000000    │   9000000   │      0      │  1.2  │ 400  │ 9000000  │ 1.2 │
│    2    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   1000    │   500   │ 11250000 │ 22510000 │ 1672134600000 │ '2022-12-27T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  500  │ 11250000  │  7500000   │     0      │    900    │   20250000    │  20250000   │      0      │  1.5  │ 500  │ 11250000 │ 1.5 │
│    3    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   1100    │   100   │ 2250000  │ 24760000 │ 1672135800000 │ '2022-12-27T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  100  │  2250000  │  7500000   │     0      │   1000    │   22500000    │  22500000   │      0      │  0.3  │ 100  │ 2250000  │ 0.3 │
│    4    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   1200    │   100   │ 2250000  │ 27010000 │ 1672136160000 │ '2022-12-27T10:16:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  100  │  2250000  │  7500000   │     0      │   1100    │   24750000    │  24750000   │      0      │  0.3  │ 100  │ 2250000  │ 0.3 │
│    5    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   1600    │   400   │ 9000000  │ 36010000 │ 1672136280000 │ '2022-12-27T10:18:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  400  │  9000000  │  7500000   │     0      │   1500    │   33750000    │  33750000   │      0      │  1.2  │ 400  │ 9000000  │ 1.2 │
│    6    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   2800    │  1200   │ 27000000 │ 63010000 │ 1672140000000 │ '2022-12-27T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │ 1200  │ 27000000  │  7500000   │     0      │   2700    │   60750000    │  60750000   │      0      │  3.6  │ 1200 │ 27000000 │ 3.6 │
│    7    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   2900    │   100   │ 2250000  │ 65260000 │ 1672140480000 │ '2022-12-27T11:28:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  100  │  2250000  │  7500000   │     0      │   2800    │   63000000    │  63000000   │      0      │  0.3  │ 100  │ 2250000  │ 0.3 │
│    8    │ 22.5 │ 22.5 │ 22.5 │ 22.5 │     │         │   3100    │   200   │ 4500000  │ 69760000 │ 1672146000000 │ '2022-12-27T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 333.3 │  0  │ 11.1 │     │  200  │  4500000  │  7500000   │     0      │   3000    │   67500000    │  67500000   │      0      │  0.6  │ 200  │ 4500000  │ 0.6 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴─────┴───────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

