┌─────────┬─────┬─────┬─────┬─────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬───────┬───────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │ val_uk  │ ruk │  bu   │  val_bu   │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼───────┼───────────┼─────┤
│    0    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │ 500 │ 4450000 │    500    │   500   │  4450000  │  4450000  │ 1672134600000 │ '2022-12-27T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1850 │ 41.7 │ 125 │ 12  │ -500  │ -4450000  │ 16341816.7 │  370833.3  │   -500    │   -4450000    │      0      │   4450000   │  0.3  │      │         │     │       │           │     │
│    1    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   1500    │  1000   │  8900000  │ 13350000  │ 1672135440000 │ '2022-12-27T10:04:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1850 │ 41.7 │ 125 │     │   0   │     0     │ 16341816.7 │  370833.3  │   -500    │   -4450000    │      0      │   4450000   │   0   │ 1000 │ 8900000 │  8  │       │           │     │
│    2    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   2500    │  1000   │  8900000  │ 22250000  │ 1672135920000 │ '2022-12-27T10:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 1000  │  8900000  │ 16341816.7 │  370833.3  │    500    │    4450000    │   8900000   │   4450000   │  0.6  │      │         │     │ 1000  │  8900000  │ 0.5 │
│    3    │  9  │  9  │  9  │  9  │     │         │   2600    │   100   │    900    │ 22250900  │ 1672136160000 │ '2022-12-27T10:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │  100  │    900    │ 16341816.7 │  370833.3  │    600    │    4450900    │   8900900   │   4450000   │   0   │      │         │     │  100  │    900    │ 0.1 │
│    4    │  9  │  9  │  9  │  9  │     │         │   2700    │   100   │    900    │ 22251800  │ 1672148640000 │ '2022-12-27T13:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │  100  │    900    │ 16341816.7 │  370833.3  │    700    │    4451800    │   8901800   │   4450000   │   0   │      │         │     │  100  │    900    │ 0.1 │
│    5    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   4700    │  2000   │ 17800000  │ 40051800  │ 1672149480000 │ '2022-12-27T13:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 2000  │ 17800000  │ 16341816.7 │  370833.3  │   2700    │   22251800    │  26701800   │   4450000   │  1.1  │      │         │     │ 2000  │ 17800000  │ 1.1 │
│    6    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   5700    │  1000   │  8900000  │ 48951800  │ 1672149960000 │ '2022-12-27T14:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 1000  │  8900000  │ 16341816.7 │  370833.3  │   3700    │   31151800    │  35601800   │   4450000   │  0.6  │      │         │     │ 1000  │  8900000  │ 0.5 │
│    7    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   8200    │  2500   │ 22250000  │ 71201800  │ 1672150080000 │ '2022-12-27T14:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 2500  │ 22250000  │ 16341816.7 │  370833.3  │   6200    │   53401800    │  57851800   │   4450000   │  1.4  │      │         │     │ 2500  │ 22250000  │ 1.4 │
│    8    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   10200   │  2000   │ 17800000  │ 89001800  │ 1672150440000 │ '2022-12-27T14:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 2000  │ 17800000  │ 16341816.7 │  370833.3  │   8200    │   71201800    │  75651800   │   4450000   │  1.1  │      │         │     │ 2000  │ 17800000  │ 1.1 │
│    9    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   22200   │  12000  │ 106800000 │ 195801800 │ 1672151040000 │ '2022-12-27T14:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 12000 │ 106800000 │ 16341816.7 │  370833.3  │   20200   │   178001800   │  182451800  │   4450000   │  6.7  │      │         │     │ 12000 │ 106800000 │ 6.5 │
│   10    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │     │         │   22700   │   500   │  4450000  │ 200251800 │ 1672151280000 │ '2022-12-27T14:28:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1850 │ 41.7 │ 125 │     │   0   │     0     │ 16341816.7 │  370833.3  │   20200   │   178001800   │  182451800  │   4450000   │   0   │ 500  │ 4450000 │  4  │       │           │     │
│   11    │ 9.1 │ 9.1 │ 9.1 │ 9.1 │     │         │   24200   │  1500   │ 13650000  │ 213901800 │ 1672152840000 │ '2022-12-27T14:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1850 │ 41.7 │ 125 │     │ 1500  │ 13650000  │ 16341816.7 │  370833.3  │   21700   │   191651800   │  196101800  │   4450000   │  0.9  │      │         │     │ 1500  │ 13650000  │ 0.8 │
└─────────┴─────┴─────┴─────┴─────┴─────┴─────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┴───────┴───────────┴─────┘

