┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬────────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │  auk   │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk   │  val_uk   │ ruk │ bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼────────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼─────┼─────────┼─────┤
│    0    │ 14.5 │ 14.5 │ 14.5 │ 14.5 │ 2000 │ 29000000 │   2000    │  2000   │ 29000000  │ 29000000  │ 1672320300000 │ '2022-12-29T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 88.9 │ 222.2 │ 3833.3 │  9  │ -2000 │ -29000000 │  800533.3  │ 3222222.2  │   -2000   │   -29000000   │      0      │  29000000   │  12   │       │           │     │     │         │     │
│    1    │ 14.4 │ 14.4 │ 14.4 │ 14.4 │      │          │   4600    │  2600   │ 37440000  │ 66440000  │ 1672320600000 │ '2022-12-29T13:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 88.9 │ 222.2 │ 3833.3 │     │   0   │     0     │  800533.3  │ 3222222.2  │   -2000   │   -29000000   │      0      │  29000000   │  -0   │ 2600  │ 37440000  │ 0.7 │     │         │     │
│    2    │ 14.4 │ 14.4 │ 14.4 │ 14.4 │      │          │   6100    │  1500   │ 21600000  │ 88040000  │ 1672320900000 │ '2022-12-29T13:35:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 88.9 │ 222.2 │ 3833.3 │     │   0   │     0     │  800533.3  │ 3222222.2  │   -2000   │   -29000000   │      0      │  29000000   │  -0   │ 1500  │ 21600000  │ 0.4 │     │         │     │
│    3    │ 14.4 │ 14.4 │ 14.4 │ 14.4 │      │          │   6200    │   100   │  1440000  │ 89480000  │ 1672321800000 │ '2022-12-29T13:50:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 88.9 │ 222.2 │ 3833.3 │     │   0   │     0     │  800533.3  │ 3222222.2  │   -2000   │   -29000000   │      0      │  29000000   │  -0   │  100  │  1440000  │  0  │     │         │     │
│    4    │ 14.4 │ 14.4 │ 14.4 │ 14.4 │      │          │   6700    │   500   │  7200000  │ 96680000  │ 1672322400000 │ '2022-12-29T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 88.9 │ 222.2 │ 3833.3 │     │  500  │  7200000  │  800533.3  │ 3222222.2  │   -1500   │   -21800000   │   7200000   │  29000000   │  -3   │       │           │     │ 500 │ 7200000 │ 5.6 │
│    5    │ 15.9 │ 15.9 │ 15.9 │ 15.9 │      │          │   6800    │   100   │  1590000  │ 98270000  │ 1672323000000 │ '2022-12-29T14:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 88.9 │ 222.2 │ 3833.3 │     │   0   │     0     │  800533.3  │ 3222222.2  │   -1500   │   -21800000   │   7200000   │  29000000   │  -0   │  100  │  1590000  │  0  │     │         │     │
│    6    │ 14.4 │ 14.4 │ 14.4 │ 14.4 │      │          │   7000    │   200   │  2880000  │ 101150000 │ 1672323600000 │ '2022-12-29T14:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 88.9 │ 222.2 │ 3833.3 │     │   0   │     0     │  800533.3  │ 3222222.2  │   -1500   │   -21800000   │   7200000   │  29000000   │  -0   │  200  │  2880000  │ 0.1 │     │         │     │
│    7    │ 14.4 │ 14.4 │ 14.4 │ 14.4 │      │          │   37000   │  30000  │ 432000000 │ 533150000 │ 1672323900000 │ '2022-12-29T14:25:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 88.9 │ 222.2 │ 3833.3 │     │   0   │     0     │  800533.3  │ 3222222.2  │   -1500   │   -21800000   │   7200000   │  29000000   │  -0   │ 30000 │ 432000000 │ 7.8 │     │         │     │
│    8    │  16  │  16  │  16  │  16  │      │          │   37300   │   300   │   4800    │ 533154800 │ 1672324800000 │ '2022-12-29T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 88.9 │ 222.2 │ 3833.3 │     │  300  │   4800    │  800533.3  │ 3222222.2  │   -1200   │   -21795200   │   7204800   │  29000000   │  -0   │       │           │     │ 300 │  4800   │ 3.4 │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴────────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴───────────┴─────┴─────┴─────────┴─────┘

