┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 4800 │ 4800 │ 4800 │ 4800 │ 900 │ 4320000 │    900    │   900   │ 4320000  │ 4320000  │ 1679307600000 │ '2023-03-20T10:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 255.6 │ 777.8 │ 100 │  9  │   0   │     0     │ 1226666.7  │ 3665555.6  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │         │     │
│    1    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   1800    │   900   │ 4320000  │ 8640000  │ 1679309100000 │ '2023-03-20T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 255.6 │ 777.8 │ 100 │     │ -900  │ -4320000  │ 1226666.7  │ 3665555.6  │   -900    │   -4320000    │      0      │   4320000   │  1.8  │ 900  │ 4320000  │ 1.2 │      │         │     │
│    2    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   1900    │   100   │  480000  │ 9120000  │ 1679310000000 │ '2023-03-20T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 777.8 │ 100 │     │  100  │  480000   │ 1226666.7  │ 3665555.6  │   -800    │   -3840000    │   480000    │   4320000   │ -0.2  │      │          │     │ 100  │ 480000  │ 0.4 │
│    3    │ 4700 │ 4700 │ 4700 │ 4700 │     │         │   3000    │  1100   │ 5170000  │ 14290000 │ 1679310900000 │ '2023-03-20T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 255.6 │ 777.8 │ 100 │     │ -1100 │ -5170000  │ 1226666.7  │ 3665555.6  │   -1900   │   -9010000    │   480000    │   9490000   │  2.1  │ 1100 │ 5170000  │ 1.4 │      │         │     │
│    4    │ 4700 │ 4700 │ 4700 │ 4700 │     │         │   3100    │   100   │  470000  │ 14760000 │ 1679317200000 │ '2023-03-20T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 255.6 │ 777.8 │ 100 │     │ -100  │  -470000  │ 1226666.7  │ 3665555.6  │   -2000   │   -9480000    │   480000    │   9960000   │  0.2  │ 100  │  470000  │ 0.1 │      │         │     │
│    5    │ 4700 │ 4700 │ 4700 │ 4700 │     │         │   8000    │  4900   │ 23030000 │ 37790000 │ 1679318100000 │ '2023-03-20T13:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 255.6 │ 777.8 │ 100 │     │ -4900 │ -23030000 │ 1226666.7  │ 3665555.6  │   -6900   │   -32510000   │   480000    │  32990000   │  9.4  │ 4900 │ 23030000 │ 6.3 │      │         │     │
│    6    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   9600    │  1600   │ 7680000  │ 45470000 │ 1679319900000 │ '2023-03-20T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 777.8 │ 100 │     │ 1600  │  7680000  │ 1226666.7  │ 3665555.6  │   -5300   │   -24830000   │   8160000   │  32990000   │ -3.1  │      │          │     │ 1600 │ 7680000 │ 6.3 │
│    7    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   10100   │   500   │ 2400000  │ 47870000 │ 1679321100000 │ '2023-03-20T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 777.8 │ 100 │     │  500  │  2400000  │ 1226666.7  │ 3665555.6  │   -4800   │   -22430000   │  10560000   │  32990000   │  -1   │      │          │     │ 500  │ 2400000 │  2  │
│    8    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   10200   │   100   │  480000  │ 48350000 │ 1679323500000 │ '2023-03-20T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 777.8 │ 100 │     │  100  │  480000   │ 1226666.7  │ 3665555.6  │   -4700   │   -21950000   │  11040000   │  32990000   │ -0.2  │      │          │     │ 100  │ 480000  │ 0.4 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴─────────┴─────┘

