┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬──────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │  auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu   │ rbu  │  uk  │  val_uk  │ ruk │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼──────┼──────┼──────────┼─────┤
│    0    │ 4300 │ 4300 │ 4300 │ 4300 │ 100 │ 430000 │    100    │   100   │  430000   │  430000   │ 1679303700000 │ '2023-03-20T09:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 3242.9 │ 21.4 │ 221.4 │ 4.7 │ -100  │  -430000  │ 13593571.4 │  92142.9   │   -100    │    -430000    │      0      │   430000    │  -0   │       │           │      │      │          │     │
│    1    │ 4300 │ 4300 │ 4300 │ 4300 │ 200 │ 860000 │    300    │   200   │  860000   │  1290000  │ 1679304000000 │ '2023-03-20T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 3242.9 │ 21.4 │ 221.4 │ 9.3 │ -200  │  -860000  │ 13593571.4 │  92142.9   │   -300    │   -1290000    │      0      │   1290000   │ -0.1  │       │           │      │      │          │     │
│    2    │ 4400 │ 4400 │ 4400 │ 4400 │     │        │    400    │   100   │  440000   │  1730000  │ 1679304600000 │ '2023-03-20T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  100  │  440000   │ 13593571.4 │  92142.9   │   -200    │    -850000    │   440000    │   1290000   │   0   │  100  │  440000   │  0   │      │          │     │
│    3    │ 4400 │ 4400 │ 4400 │ 4400 │     │        │    500    │   100   │  440000   │  2170000  │ 1679306100000 │ '2023-03-20T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  100  │  440000   │ 13593571.4 │  92142.9   │   -100    │    -410000    │   880000    │   1290000   │   0   │  100  │  440000   │  0   │      │          │     │
│    4    │ 4300 │ 4300 │ 4300 │ 4300 │     │        │    900    │   400   │  1720000  │  3890000  │ 1679307300000 │ '2023-03-20T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  400  │  1720000  │ 13593571.4 │  92142.9   │    300    │    1310000    │   2600000   │   1290000   │  0.1  │  400  │  1720000  │ 0.1  │      │          │     │
│    5    │ 4300 │ 4300 │ 4300 │ 4300 │     │        │   1000    │   100   │  430000   │  4320000  │ 1679308200000 │ '2023-03-20T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  100  │  430000   │ 13593571.4 │  92142.9   │    400    │    1740000    │   3030000   │   1290000   │   0   │  100  │  430000   │  0   │      │          │     │
│    6    │ 4200 │ 4200 │ 4200 │ 4200 │     │        │   39500   │  38500  │ 161700000 │ 166020000 │ 1679309100000 │ '2023-03-20T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │ 38500 │ 161700000 │ 13593571.4 │  92142.9   │   38900   │   163440000   │  164730000  │   1290000   │  12   │ 38500 │ 161700000 │ 11.9 │      │          │     │
│    7    │ 4200 │ 4200 │ 4200 │ 4200 │     │        │   40000   │   500   │  2100000  │ 168120000 │ 1679317200000 │ '2023-03-20T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  500  │  2100000  │ 13593571.4 │  92142.9   │   39400   │   165540000   │  166830000  │   1290000   │  0.2  │  500  │  2100000  │ 0.2  │      │          │     │
│    8    │ 4200 │ 4200 │ 4200 │ 4200 │     │        │   40200   │   200   │  840000   │ 168960000 │ 1679317800000 │ '2023-03-20T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  200  │  840000   │ 13593571.4 │  92142.9   │   39600   │   166380000   │  167670000  │   1290000   │  0.1  │  200  │  840000   │ 0.1  │      │          │     │
│    9    │ 4200 │ 4200 │ 4200 │ 4200 │     │        │   40800   │   600   │  2520000  │ 171480000 │ 1679318100000 │ '2023-03-20T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  600  │  2520000  │ 13593571.4 │  92142.9   │   40200   │   168900000   │  170190000  │   1290000   │  0.2  │  600  │  2520000  │ 0.2  │      │          │     │
│   10    │ 4200 │ 4200 │ 4200 │ 4200 │     │        │   41100   │   300   │  1260000  │ 172740000 │ 1679318400000 │ '2023-03-20T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3242.9 │ 21.4 │ 221.4 │     │  300  │  1260000  │ 13593571.4 │  92142.9   │   40500   │   170160000   │  171450000  │   1290000   │  0.1  │  300  │  1260000  │ 0.1  │      │          │     │
